1	Später	spät	A	ADJD	_|	3	adv	_	_
2	einmal	einmal	A	ADV	_	1	adv	_	_
3	vielleicht	vielleicht	A	ADV	_	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	Graf	Graf	N	NE	_|_|Sg	0	root	648	648
2	Die	die	A	ART	Def|Neut|_|Pl	3	det	374	374
3	Augen	Auge	N	NN	Neut|_|Pl	0	root	374	374
4	...	...	$	$.	_	0	root	_	_
5	ganz	ganz	A	ADV	_	7	adv	_	_
6	die	die	A	ART	Def|Neut|_|Pl	7	det	_	_
7	Augen	Auge	N	NN	Neut|_|Pl	0	root	_	_
8	...	...	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|_|_|_	0	root	_	_
2	Lulu	Lulu	N	NN	Masc|_|Sg	6	obja	_	_
3	möcht	möcht	F	FM	Masc|_|Sg	2	app	_	_
4	'	'	$	$(	_	0	root	_	_
5	sicher	sicher	A	ADJD	Pos|	6	adv	_	_
6	sagen	sagen	V	VVINF	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	785	785
9	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
10	ein	eine	A	ART	Indef|Masc|Nom|Sg	11	det	_	_
11	Narr	Narr	N	NN	Masc|Nom|Sg	9	pred	_	_
12	-	-	$	$(	_	0	root	_	_
13	aber	aber	K	KON	_	9	kon	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	785	785
15	will	wollen	V	VMFIN	1|Sg|Pres|Ind	13	cj	_	_
16	dir	du	P	PRF	2|Sg|Dat	21	objd	_	_
17	noch	noch	A	ADV	_	21	adv	_	_
18	einmal	einmal	A	ADV	_	21	adv	_	_
19	die	die	A	ART	Def|Neut|_|Pl	20	det	374	374
20	Augen	Auge	N	NN	Neut|_|Pl	21	obja	374	374
21	küssen	küssen	V	VVINF	_	15	aux	_	_
22	...	...	$	$.	_	0	root	_	_
23	so	so	A	ADV	_	0	root	_	_
24	...	...	$	$.	_	0	root	_	_
25	und	und	K	KON	_	0	root	_	_
26	jetzt	jetzt	A	ADV	_	29	adv	_	_
27	grüß	grüß	A	ADJD	_	29	adv	_	_
28	'	'	$	$(	_	0	root	_	_
29	dich	du	P	PPER	Masc|Acc|Sg	25	cj	786	786
30	Gott	Gott	N	NN	Masc|_|Sg	29	app	786	786
31	,	,	$	$,	_	0	root	_	_
32	jetzt	jetzt	A	ADV	_	35	adv	_	_
33	geh	geh	A	ADJD	_	35	adv	_	_
34	'	'	$	$(	_	0	root	_	_
35	ich	ich	P	PPER	1|Sg|_|Nom	0	root	785	785
36	.	.	$	$.	_	0	root	_	_

1	Dirne	Dirne	N	NN	Fem|_|Sg	0	root	_	_
2	Servus	Servus	F	FM	Fem|_|Sg	1	app	_	_
