1	Graf-	Graf-	T	TRUNC	_	2	attr	_	_
2	Wissen	Wissen	N	NN	Neut|_|_	10	vok	_	_
3	S	S	N	NN	Neut|_|_	2	app	_	_
4	'	'	$	$(	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	Fräulein	Fräulein	N	NN	Neut|_|_	3	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	mit	mit	P	APPR	Dat	10	pp	_	_
9	Ihnen	sie	P	PPER	3|Pl|_|Dat	8	pn	_	_
10	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
11	man	man	P	PIS	_|Nom|Sg	10	subj	_	_
12	plaudern	plaudern	V	VVINF	_	10	aux	_	_
13	,	,	$	$,	_	0	root	_	_
14	das	die	P	PDS	Neut|Nom|Sg	15	subj	_	_
15	hat	haben	V	VAFIN	3|Sg|Pres|Ind	10	kon	_	_
16	mir	ich	P	PPER	1|Sg|_|Dat	15	objd	672	672
17	der	die	A	ART	Def|Masc|Nom|Sg	18	det	676	676
18	Lulu	Lulu	N	NN	Masc|Nom|Sg	22	subj	676	676
19	schon	schon	A	ADV	_	20	adv	676	676
20	g	g	N	NN	Masc|Nom|Sg	18	app	676	676
21	'	'	$	$(	_	0	root	_	_
22	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	15	s	_	_
23	,	,	$	$,	_	0	root	_	_
24	und	und	K	KON	_	22	kon	_	_
25	das	die	P	PDS	Neut|Nom|Sg	26	subj	_	_
26	ist	sein	V	VAFIN	3|Sg|Pres|Ind	24	cj	_	_
27	'	'	$	$(	_	0	root	_	_
28	s	s	P	PPER	_|_|_|Nom	26	pred	676	676
29	,	,	$	$,	_	0	root	_	_
30	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
31	man	man	P	PIS	_|Nom|Sg	0	root	_	_
32	selten	selten	A	ADJD	Pos|	0	root	_	_
33	find	find	F	FM	_	0	root	_	_
34	'	'	$	$(	_	0	root	_	_
35	t.	t.	N	NE	_	33	app	_	_

1	Schauspielerin	Schauspielerin	N	NN	Fem|_|Sg	0	root	_	_
2	Nun	nun	A	ADV	_	1	adv	_	_
3	freilich	freilich	A	ADV	_	1	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	in	in	P	APPR	_	1	pp	_	_
6	Ungarn	Ungarn	N	NE	Neut|_|Sg	5	pn	670	670
7	.	.	$	$.	_	0	root	_	_

1	Graf	Graf	N	NE	_|_|Sg	0	root	648	648
2	Aber	aber	K	KON	_	0	root	_	_
3	in	in	P	APPR	_	2	cj	_	_
4	Wien	Wien	N	NE	_|_|Sg	3	pn	433	433
5	grad	grad	A	ADV	_	4	adv	433	433
6	so	so	A	ADV	_	3	adv	_	_
7	!	!	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	2	det	639	639
2	Menschen	Mensch	N	NN	Masc|Nom|Pl	3	subj	639	639
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
