1	Oho	Oho	N	NE	_	3	vok	208	208
2	,	,	$	$,	_	0	root	_	_
3	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	336	336
5	vielleicht	vielleicht	A	ADV	_	3	adv	_	_
6	deshalb	deshalb	P	PROAV	_	3	pp	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	ruhig	ruhig	A	ADJD	Pos|	3	pred	_	_
9	,	,	$	$,	_	0	root	_	_
10	weil	weil	K	KOUS	_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	0	root	336	336
12	mir	ich	P	PRF	1|Sg|Dat	0	root	_	_
13	noch	noch	A	ADV	_	14	adv	_	_
14	immer	immer	A	ADV	_	15	adv	_	_
15	einbild	einbild	A	ADJD	_	0	root	_	_
16	'	'	$	$(	_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	336	336
19	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
20	nicht	nicht	P	PTKNEG	_	19	adv	_	_
21	?	?	$	$.	_	0	root	_	_
22	...	...	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	336	336
2	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	336	336
2	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	Nein	nein	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	336	336
4	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
5	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Kannst	können	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
3	du	du	P	PPER	2|Sg|_|Nom	2	subj	341	341
4	dir	du	P	PPER	2|Sg|_|Dat	7	objd	342	342
5	denn	denn	A	ADV	_	7	adv	_	_
6	überhaupt	überhaupt	A	ADV	_	7	adv	_	_
7	vorstellen	vorstellen	V	VVINF	_	2	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	Gustl	Gustl	N	NE	_|_|Sg	0	root	167	167
10	,	,	$	$,	_	0	root	_	_
11	daß	daß	K	KOUS	_	16	konj	_	_
12	du	du	P	PPER	2|Sg|_|Nom	16	subj	341	341
13	dir	du	P	PPER	2|Sg|_|Dat	16	objd	342	342
14	die	die	A	ART	Def|Fem|_|Sg	15	det	_	_
15	Uniform	Uniform	N	NN	Fem|_|Sg	16	obja	_	_
16	ausziehst	auszeihen	V	VVFIN	2|Sg|_|Ind	0	root	_	_
17	und	und	K	KON	_	16	kon	_	_
18	durchgehst	durchgehen	V	VVFIN	2|Sg|Pres|Ind	17	cj	_	_
19	?	?	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	4	det	343	343
3	verfluchte	verflucht	A	ADJA	Pos|Masc|Nom|Sg|Wk|	4	attr	343	343
4	Hund	Hund	N	NN	Masc|Nom|Sg	5	subj	343	343
5	lacht	lachen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
6	sich	sie	P	PRF	3|_|Dat	5	objd	_	_
7	den	die	A	ART	Def|Masc|Acc|Sg	8	det	_	_
8	Buckel	Buckel	N	NN	Masc|Acc|Sg	5	obja	_	_
9	voll	voll	A	ADJD	Pos|	5	adv	_	_
10	-	-	$	$(	_	0	root	_	_
