1	Hilf	helfen	V	VVIMP	Sg	0	root	_	_
2	mir	ich	P	PPER	1|Sg|_|Dat	1	objd	383	383
3	doch	doch	A	ADV	_	1	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	die	die	A	ART	Def|Neut|_|Pl	6	det	_	_
6	Haare	Haar	N	NN	Neut|_|Pl	7	obja	_	_
7	aufstecken	aufstecken	V	VVINF	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	Marie	Marie	N	NE	_	0	root	8	8
10	,	,	$	$,	_	0	root	_	_
11	-	-	$	$(	_	0	root	_	_
12	rasch	rasch	A	ADJD	Pos|	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	ehe	ehe	K	KOUS	_	17	konj	_	_
15	die	die	A	ART	Def|Fem|Nom|Sg	16	det	357	357
16	Mutter	Mutter	N	NN	Fem|Nom|Sg	17	subj	357	357
17	hereinkommt	hereinkommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
18	.	.	$	$.	_	0	root	_	_

1	Marie	Marie	N	NE	_	0	root	8	8
2	.	.	$	$.	_	0	root	_	_

1	Bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
2	du	du	P	PPER	2|Sg|_|Nom	1	subj	_	_
3	so	so	A	ADV	_	1	adv	_	_
4	durch	durch	P	APPR	Acc	1	pp	_	_
5	die	die	A	ART	Def|Fem|Acc|Pl	6	det	341	341
6	Straßen	Straß	N	NN	Fem|Acc|Pl	4	pn	341	341
7	?	?	$	$.	_	0	root	_	_

1	Katharina	Katharina	N	NN	Fem|_|Sg	0	root	24	24
2	.	.	$	$.	_	0	root	_	_

1	Wer	wer	P	PWS	_|Nom|Sg	2	subj	_	_
2	kümmert	kümmern	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	heute	heute	A	ADV	_	2	adv	_	_
5	drum	drum	P	PROAV	_	2	pp	_	_
6	!	!	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	auch	auch	A	ADV	_	2	adv	_	_
4	schon	schon	A	ADV	_	2	adv	_	_
5	dunkel	dunkel	A	ADJD	Pos|	2	pred	_	_
6	.	.	$	$.	_	0	root	_	_

1	Marie	Marie	N	NE	_|Nom|Sg	2	subj	8	8
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	ihr	ihr	P	PPER	3|Sg|Fem|Dat	2	objd	_	_
4	behilflich	behilflich	A	ADJD	_	2	pred	_	_
5	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|Nom|Sg	2	pred	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
4	?	?	$	$.	_	0	root	_	_

1	Katharina	Katharina	N	NN	Fem|_|Sg	0	root	24	24
2	.	.	$	$.	_	0	root	_	_

1	Ah	Ah	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	383	383
6	noch	noch	A	ADV	_	3	adv	_	_
7	Blüten	Blüte	N	NN	Fem|_|Pl	3	obja	358	358
8	im	in	P	APPRART	Dat	3	pp	_	_
9	Haar	Haar	N	NN	Neut|Dat|Sg	8	pn	359	359
10	?	?	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	358	358
2	gleiten	gleiten	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	herunter	herunter	A	ADV	_	2	adv	_	_
4	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Warum	Warum	P	PWAV	_	0	root	_	_
3	so	so	A	ADV	_	4	adv	_	_
4	still	still	A	ADJD	Pos|	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	Marie	Marie	N	NE	_	0	root	8	8
7	?	?	$	$.	_	0	root	_	_

1	Wann	Wann	P	PWAV	_	2	adv	_	_
2	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	Hochzeit	Hochzeit	N	NN	Fem|Nom|Sg	2	subj	181	181
4	sein	sein	V	VAINF	_	2	aux	_	_
5	?	?	$	$.	_	0	root	_	_

1	Marie	Marie	N	NE	_	0	root	8	8
2	.	.	$	$.	_	0	root	_	_

