1	Gott	Gott	N	NN	Masc|Nom|Sg	2	subj	39	39
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	mein	meine	A	PPOSAT	Masc|Nom|Sg	4	det	155	155
4	Zeuge	Zeug	N	NN	Masc|Nom|Sg	2	pred	_	_
5	-	-	$	$(	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	155	155
7	habe	haben	V	VAFIN	1|Sg|Pres|_	2	kon	_	_
8	es	es	P	PPER	3|Sg|Neut|_	10	obja	_	_
9	nicht	nicht	P	PTKNEG	_	10	adv	_	_
10	tun	tun	V	VVINF	_	11	aux	_	_
11	wollen	wollen	V	VMINF	_	7	aux	_	_
12	...	...	$	$.	_	0	root	_	_

1	Gestern	gestern	A	ADV	_	2	adv	_	_
2	war	sein	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	155	155
4	fest	fest	A	ADJD	Pos|	5	adv	_	_
5	entschlossen	entschlossen	V	VVPP	_	2	aux	_	_
6	...	...	$	$.	_	0	root	_	_
7	Wissen	wissen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
8	Sie	sie	P	PPER	3|Pl|_|Nom	7	subj	156	156
9	,	,	$	$,	_	0	root	_	_
10	daß	daß	K	KOUS	_	20	konj	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	20	subj	155	155
12	Ihnen	sie	P	PPER	3|Pl|_|Dat	19	objd	156	156
13	gestern	gestern	A	ADV	_	19	adv	_	_
14	abend	abend	A	ADV	_	19	adv	_	_
15	sogar	sogar	A	ADV	_	19	adv	_	_
16	einen	eine	A	ART	Indef|Masc|Acc|Sg	18	det	_	_
17	langen	lang	A	ADJA	Pos|Masc|Acc|Sg|_|	18	attr	_	_
18	Brief	Brief	N	NN	Masc|Acc|Sg	19	obja	_	_
19	geschrieben	schreiben	V	VVPP	_	20	aux	_	_
20	habe	haben	V	VAFIN	1|Sg|Pres|_	7	objc	_	_
21	?	?	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	89	89
2	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	89	89
3	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	89	89
4	Ich	ich	P	PPER	1|Sg|_|Nom	5	subj	155	155
5	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
6	keinen	keine	P	PIS	_|_|_	7	obja	_	_
7	bekommen	bekommen	V	VVPP	_	5	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	132	132
2	junge	jung	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	132	132
3	Frau	Frau	N	NN	Fem|_|Sg	0	root	132	132
4	Ich	ich	P	PPER	1|Sg|_|Nom	5	subj	155	155
5	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
6	ihn	er	P	PPER	3|Sg|Masc|Acc	8	obja	1	1
7	wieder	wieder	A	ADV	_	8	adv	_	_
8	zerrissen	zerreißen	V	VVPP	_	5	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Oh	oh	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	155	155
4	hätte	haben	V	VAFIN	1|Sg|Past|Subj	0	root	_	_
