1	Wär	Wär	N	NE	_	0	root	844	844
2	'	'	$	$(	_	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
4	nicht	nicht	P	PTKNEG	_	7	adv	_	_
5	beinahe	beinahe	A	ADV	_	4	adv	_	_
6	meine	meine	A	PPOSAT	Fem|_|Sg	7	det	837	837
7	Verpflichtung	Verpflichtung	N	NN	Fem|_|Sg	0	root	_	_
8	?	?	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	ja	ja	A	ADV	_	2	adv	_	_
4	das	die	A	ART	Def|Neut|Nom|Sg	5	det	_	_
5	Gold	Gold	N	NN	Neut|Nom|Sg	2	pred	_	_
6	des	die	A	ART	Def|_|Gen|Sg	7	det	326	326
7	Marchese	Marchese	N	NN	_|Gen|Sg	5	gmod	326	326
8	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Doch	doch	K	KON	_	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	4	subj	332	332
4	schwieg	schweigen	V	VVFIN	3|Sg|Past|Ind	2	cj	_	_
5	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	332	332
2	fühlte	fühlen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	wie	wie	P	PWAV	_	10	adv	_	_
5	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	845	845
6	Plan	Plan	N	NN	Masc|Nom|Sg	10	subj	845	845
7	in	in	P	APPR	Dat	10	pp	845	845
8	ihm	er	P	PPER	3|Sg|_|Dat	7	pn	332	332
9	dumpf	dumpf	A	ADJD	Pos|	10	adv	_	_
10	erstand	erstehen	V	VVFIN	3|Sg|Past|Ind	2	objc	_	_
11	,	,	$	$,	_	0	root	_	_
12	dem	die	P	PRELS	Masc|Dat|Sg	17	objd	332	332
13	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	845	845
14	vor	vor	P	APPR	Dat	17	pp	_	_
15	allem	alle	P	PIS	_|Dat|Sg	14	pn	_	_
16	Zeit	Zeit	N	NN	Fem|_|Sg	17	obja	846	846
17	lassen	lassen	V	VVINF	_	18	aux	_	_
18	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	6	rel	_	_
19	,	,	$	$,	_	0	root	_	_
20	sich	sie	P	PRF	3|_|_	23	obja	_	_
21	klar	klar	A	ADJD	Pos|	23	pred	_	_
22	zu	zu	P	PTKZU	_	23	part	_	_
23	gestalten	gestalten	V	VVINF	_	17	obji	_	_
24	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	847	847
3	sollen	sollen	V	VMFIN	3|Pl|Pres|_	15	s	_	_
4	Ihr	ihre	A	PPOSAT	Neut|_|Sg	5	det	847	847
5	Geld	Geld	N	NN	Neut|_|Sg	12	obja	_	_
6	noch	noch	A	ADV	_	12	adv	_	_
7	heute	heute	A	ADV	_	12	adv	_	_
8	vor	vor	P	APPR	_	12	pp	_	_
9	Anbruch	Anbruch	N	NN	_|_|_	8	pn	_	_
10	der	die	A	ART	Def|Fem|Gen|Sg	11	det	446	446
11	Nacht	Nacht	N	NN	Fem|Gen|Sg	9	gmod	446	446
12	haben	haben	V	VAINF	_	3	aux	_	_
13	«	«	$	$(	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
16	Lorenzi	Lorenzi	N	NE	_|Nom|Sg	15	subj	126	126
17	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	In	in	P	APPR	Dat	5	pp	_	_
3	einer	eine	A	ART	Indef|Fem|Dat|Sg	4	det	_	_
4	Stunde	Stunde	N	NN	Fem|Dat|Sg	2	pn	_	_
5	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	126	126
7	in	in	P	APPR	_	5	pp	_	_
8	Mantua	Mantua	N	NE	_|_|_	7	pn	51	51
9	.	.	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_
11	-	-	$	$(	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	Ihr	ihre	A	PPOSAT	Neut|Nom|Sg	14	det	51	51
14	Pferd	Pferd	N	NN	Neut|Nom|Sg	15	subj	849	849
15	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
16	den	die	A	ART	Def|Masc|Acc|Sg	17	det	848	848
17	Hals	Hals	N	NN	Masc|Acc|Sg	18	obja	848	848
18	brechen	brechen	V	VVINF	_	15	aux	_	_
19	«	«	$	$(	_	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	erwiderte	erwidern	V	VVFIN	3|Sg|Past|_	18	par	_	_
22	der	die	A	ART	Def|Masc|Nom|Sg	23	det	332	332
23	Marchese	Marchese	N	NN	Masc|Nom|Sg	21	subj	332	332
24	,	,	$	$,	_	0	root	_	_
25	»	»	$	$(	_	0	root	_	_
26	Sie	sie	P	PPER	3|_|_|_	0	root	849	849
27	auch	auch	A	ADV	_	26	adv	_	_
28	...	...	$	$.	_	0	root	_	_
29	am	an	P	APPRART	Dat	0	root	_	_
30	Ende	Ende	N	NN	Neut|Dat|Sg	29	pn	_	_
31	gar	gar	A	ADV	_	32	adv	_	_
