1	Ah	Ah	N	NN	Fem|_|Sg	0	root	498	498
2	!	!	$	$.	_	0	root	_	_

1	Stubenmädchen	Stubenmädchen	N	NN	Neut|_|_	7	vok	_	_
2	Gehn	Gehn	N	NE	Neut|_|_	1	app	_	_
3	S	S	N	NN	Neut|_|_	2	app	_	_
4	'	'	$	$(	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	es	es	P	PPER	3|Sg|Neut|Nom	7	subj	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	traurig	traurig	A	ADJD	Pos|	7	pred	_	_
10	,	,	$	$,	_	0	root	_	_
11	allein	allein	A	ADV	_	12	adv	71	71
12	z	z	N	NN	Neut|_|Sg	0	root	71	71
13	'	'	$	$(	_	0	root	71	71
14	Haus	Haus	N	NN	Neut|_|Sg	12	app	71	71
15	gehn	gehn	N	NE	Neut|_|Sg	14	app	71	71
16	.	.	$	$.	_	0	root	_	_

1	Soldat	Soldat	N	NN	Masc|_|Sg	0	root	_	_
2	Wo	Wo	P	PWAV	_	3	adv	_	_
3	wohnen	wohnen	V	VVFIN	3|Pl|Pres|_	1	objc	_	_
4	S	S	N	NN	Neut|Nom|Pl	3	subj	35	35
5	'	'	$	$(	_	0	root	_	_
6	denn	denn	A	ADV	_	3	adv	_	_
7	?	?	$	$.	_	0	root	_	_

1	Stubenmädchen	Stubenmädchen	N	NN	Neut|_|_	0	root	34	34
2	Es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	gar	gar	A	ADV	_	5	adv	_	_
5	nicht	nicht	P	PTKNEG	_	3	adv	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	weit	weit	A	ADJD	Pos|	3	pred	_	_
8	-	-	$	$(	_	0	root	_	_
9	in	in	P	APPR	Dat	3	pp	_	_
10	der	die	A	ART	Def|Fem|Dat|Sg	11	det	_	_
11	Porzellangasse	Porzellangasse	N	NN	Fem|Dat|Sg	9	pn	_	_
12	.	.	$	$.	_	0	root	_	_

1	Soldat	Soldat	N	NN	Masc|_|Sg	0	root	_	_
2	So	so	A	ADV	_	1	adv	_	_
3	?	?	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	da	da	A	ADV	_	4	adv	_	_
4	haben	haben	V	VAFIN	1|Pl|Pres|_	0	root	_	_
5	wir	wir	P	PPER	1|Pl|_|Nom	4	subj	_	_
6	ja	ja	A	ADV	_	4	adv	_	_
7	einen	eine	A	ART	Indef|Masc|Acc|Sg	8	det	_	_
8	Weg	Weg	N	NN	Masc|Acc|Sg	4	obja	_	_
9	...	...	$	$.	_	0	root	_	_
10	aber	aber	A	ADV	_	11	adv	_	_
11	jetzt	jetzt	A	ADV	_	12	adv	_	_
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
13	'	'	$	$(	_	0	root	_	_
14	s	s	P	PPER	_|Sg|_|Nom	12	subj	1	1
15	mir	ich	P	PPER	1|Sg|_|Dat	12	objd	72	72
16	zu	zu	P	PTKA	_	17	adv	_	_
17	früh	früh	A	ADJD	Pos|	12	pred	_	_
18	...	...	$	$.	_	0	root	_	_
19	jetzt	jetzt	A	ADV	_	20	adv	_	_
20	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
21	noch	noch	A	ADV	_	20	adv	_	_
22	'	'	$	$(	_	0	root	_	_
23	draht	draht	F	FM	_|Nom|Sg	20	subj	_	_
24	,	,	$	$,	_	0	root	_	_
25	heut	heuen	V	VVPP	_	0	root	_	_
26	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
27	'	'	$	$(	_	0	root	_	_
28	ich	ich	P	PPER	1|Sg|_|Nom	26	subj	72	72
29	über	über	P	APPR	_	26	pp	_	_
30	Zeit	Zeit	N	NN	Fem|_|Sg	29	pn	277	277
31	...	...	$	$.	_	0	root	_	_
32	Vor	vor	P	APPR	_	34	pp	_	_
33	zwölf	zwölf	C	CARD	_	32	pn	_	_
34	brauch	brauch	V	VVFIN	1|Sg|_|_	0	root	_	_
35	'	'	$	$(	_	0	root	_	_
36	ich	ich	P	PPER	1|Sg|_|Nom	34	subj	72	72
37	nicht	nicht	P	PTKNEG	_	34	adv	_	_
38	in	in	P	APPR	Dat	43	pp	_	_
39	der	die	A	ART	Def|Fem|Dat|Sg	40	det	73	73
40	Kasern	Kasern	N	NN	Fem|Dat|Sg	38	pn	73	73
41	'	'	$	$(	_	0	root	_	_
42	zu	zu	P	PTKZU	_	43	part	_	_
43	sein	sein	V	VAINF	_	34	obji	_	_
44	.	.	$	$.	_	0	root	_	_

1	I	I	F	FM	_	0	root	_	_
2	'	'	$	$(	_	0	root	_	_
3	geh	gehen	V	VVIMP	Sg	0	root	_	_
4	'	'	$	$(	_	0	root	_	_
5	noch	noch	A	ADV	_	3	adv	_	_
6	tanzen	tanzen	V	VVINF	_	0	root	_	_
7	.	.	$	$.	_	0	root	_	_

1	Stubenmädchen	Stubenmädchen	N	NN	Neut|_|_	5	vok	_	_
2	Freilich	freilich	A	ADV	_	1	adv	_	_
3	,	,	$	$,	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	72	72
5	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
6	schon	schon	A	ADV	_	5	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	jetzt	jetzt	A	ADV	_	9	adv	_	_
9	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	5	kon	_	_
10	die	die	A	ART	Def|Fem|Nom|Sg	11	det	75	75
11	Blonde	Blonde	N	NN	Fem|Nom|Sg	9	subj	75	75
12	mit	mit	P	APPR	Dat	9	pp	_	_
13	dem	die	A	ART	Def|Neut|Dat|Sg	15	det	74	74
14	schiefen	schief	A	ADJA	Pos|Neut|Dat|Sg|Wk|	15	attr	74	74
15	Gesicht	Gesicht	N	NN	Neut|Dat|Sg	12	pn	74	74
16	dran	dran	P	PROAV	_	9	pp	_	_
17	!	!	$	$.	_	0	root	_	_

1	Soldat	Soldat	N	NN	Masc|_|Sg	0	root	28	28
2	Ha	Ha	N	NE	Masc|_|Sg	1	app	28	28
3	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Der	die	A	ART	Def|_|_|_	0	root	_	_
3	ihr	ihre	A	PPOSAT	Neut|Nom|Sg	4	det	75	75
4	G	G	N	NN	Neut|Nom|Sg	7	subj	_	_
5	'	'	$	$(	_	0	root	_	_
6	sicht	sicht	F	FM	Neut|Nom|Sg	4	app	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	gar	gar	A	ADV	_	9	adv	_	_
9	nicht	nicht	P	PTKNEG	_	7	adv	_	_
10	so	so	A	ADV	_	11	adv	_	_
11	schief	schief	A	ADJD	Pos|	7	pred	_	_
12	.	.	$	$.	_	0	root	_	_

1	Stubenmädchen	Stubenmädchen	N	NN	Masc|_|Sg	0	root	76	76
2	O	O	N	NN	Masc|_|Sg	1	app	76	76
3	Gott	Gott	N	NN	Masc|_|Sg	2	app	76	76
4	,	,	$	$,	_	0	root	_	_
