1	Ah	Ah	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	der	die	P	PRELS	_|_|Sg	0	root	_	_
4	da	da	A	ADV	_	0	root	_	_
5	...	...	$	$.	_	0	root	_	_
6	dem	die	P	PDS	_|Dat|Sg	11	objd	_	_
7	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	113	113
9	ein	eine	A	ART	Indef|_|_|Sg	10	det	_	_
10	Sechserl	Sechserl	N	NN	_|_|Sg	11	obja	_	_
11	geben	geben	V	VVINF	_	7	aux	_	_
12	...	...	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_
3	...	...	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	was	was	P	PWS	Neut|Nom|Sg	3	pred	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
4	denn	denn	A	ADV	_	3	adv	_	_
5	das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
6	?	?	$	$.	_	0	root	_	_

1	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
2	es	es	P	PPER	3|Sg|Neut|Nom	1	subj	_	_
3	denn	denn	A	ADV	_	1	adv	_	_
4	wirklich	wirklich	A	ADJD	Pos|	5	adv	121	121
5	gescheh	gescheh	A	ADJA	_	7	attr	121	121
6	'	'	$	$(	_	0	root	121	121
7	n	n	N	NN	_|Nom|_	1	pred	121	121
8	?	?	$	$.	_	0	root	_	_

1	Hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
2	wirklich	wirklich	A	ADJD	Pos|	1	adv	_	_
3	einer	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	zu	zu	P	APPR	Dat	0	root	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	5	pn	122	122
7	geredet	reden	V	VVPP	_	0	root	_	_
8	?	?	$	$.	_	0	root	_	_

1	Hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
2	mir	ich	P	PPER	Fem|Dat|Sg	0	root	121	121
3	wirklich	wirklich	A	ADJD	Pos|	7	adv	_	_
4	einer	eine	A	ART	Indef|Fem|_|Sg	7	det	_	_
5	»	»	$	$(	_	0	root	_	_
6	dummer	dumm	A	ADJA	Pos|Fem|_|Sg|St|	7	attr	_	_
7	Bub	Bub	N	NN	Fem|_|Sg	2	app	_	_
8	«	«	$	$(	_	0	root	_	_
9	gesagt	sagen	V	VVPP	_	0	root	_	_
10	?	?	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	122	122
3	hab	hab	V	VAFIN	1|Sg|_|_	1	cj	_	_
4	'	'	$	$(	_	0	root	_	_
5	ihn	er	P	PPER	3|Sg|Masc|Acc	10	obja	121	121
6	nicht	nicht	P	PTKNEG	_	10	adv	_	_
7	auf	auf	P	APPR	Dat	10	pp	_	_
8	der	die	A	ART	Def|Fem|Dat|Sg	9	det	123	123
9	Stelle	Stelle	N	NN	Fem|Dat|Sg	7	pn	123	123
10	zusammengehauen	zusammenhauen	V	VVPP	_	3	aux	_	_
11	?	?	$	$.	_	0	root	_	_
12	...	...	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	122	122
3	hab	hab	V	VAFIN	1|Sg|_|_	1	cj	_	_
4	'	'	$	$(	_	0	root	_	_
5	ja	ja	A	ADV	_	7	adv	_	_
6	nicht	nicht	P	PTKNEG	_	7	adv	_	_
7	können	können	V	VMINF	_	3	aux	_	_
8	...	...	$	$.	_	0	root	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	121	121
10	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
11	ja	ja	A	ADV	_	14	adv	_	_
12	eine	eine	A	ART	Indef|Fem|_|Sg	13	det	_	_
13	Faust	Faust	N	NN	Fem|_|Sg	14	obja	_	_
14	gehabt	haben	V	VAPP	_	10	aux	_	_
15	wie	wie	K	KOKOM	_	14	kom	_	_
16	Eisen	Eisen	N	NN	Neut|_|_	15	cj	_	_
17	...	...	$	$.	_	0	root	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	122	122
19	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
20	ja	ja	A	ADV	_	19	adv	_	_
21	dagestanden	dagestanden	A	ADJD	Pos|	19	adv	_	_
22	wie	wie	K	KOKOM	_	19	kom	_	_
23	angenagelt	annageln	V	VVPP	_	22	cj	_	_
24	...	...	$	$.	_	0	root	_	_
25	Nein	nein	P	PTKANT	_	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	ich	ich	P	PPER	1|Sg|_|Nom	28	subj	122	122
28	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
29	den	die	A	ART	Def|Masc|Acc|Sg	30	det	_	_
30	Verstand	Verstand	N	NN	Masc|Acc|Sg	31	obja	_	_
31	verloren	verlieren	V	VVPP	_	32	aux	_	_
32	gehabt	haben	V	VAPP	_	33	aux	_	_
33	haben	haben	V	VAINF	_	28	aux	_	_
34	,	,	$	$,	_	0	root	_	_
35	sonst	sonst	A	ADV	_	36	adv	_	_
36	hätt	hätt	V	VVFIN	1|Sg|_|_	28	kon	_	_
37	'	'	$	$(	_	0	root	_	_
38	ich	ich	P	PPER	1|Sg|_|Nom	36	subj	122	122
39	mit	mit	P	APPR	Dat	36	pp	_	_
40	der	die	A	ART	Def|Fem|Dat|Sg	42	det	_	_
41	anderen	anderen	A	ADJA	_|Fem|Dat|Sg|_	42	attr	_	_
42	Hand	Hand	N	NN	Fem|Dat|Sg	39	pn	_	_
43	...	...	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	da	da	A	ADV	_	3	adv	_	_
3	hätt	hätt	V	VVFIN	3|Sg|_|_	1	cj	_	_
4	'	'	$	$(	_	0	root	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	121	121
6	ja	ja	A	ADV	_	3	adv	_	_
7	meinen	meine	A	PPOSAT	Masc|_|_	8	det	122	122
8	Säbel	Säbel	N	NN	Masc|_|_	3	obja	_	_
9	herausgezogen	herausziehen	V	VVPP	_	3	neb	_	_
10	und	und	K	KON	_	9	kon	_	_
11	zerbrochen	zerbrechen	V	VVPP	_	10	cj	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	11	kon	_	_
14	aus	aus	P	APPR	Dat	18	pp	_	_
15	wär	wär	F	FM	_|Dat|_	14	pn	_	_
16	'	'	$	$(	_	0	root	_	_
17	s	s	P	PPER	_|_|_|Nom	18	pred	121	121
18	gewesen	sein	V	VAPP	_	13	cj	_	_
19	-	-	$	$(	_	0	root	_	_
20	Alles	Alles	F	FM	_	0	root	_	_
21	wär	wär	F	FM	_	20	app	_	_
22	'	'	$	$(	_	0	root	_	_
23	aus	aus	P	PTKVZ	_	0	root	_	_
24	gewesen	sein	V	VAPP	_	0	root	_	_
25	!	!	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	nachher	nachher	A	ADV	_	1	cj	_	_
3	,	,	$	$,	_	0	root	_	_
4	wie	wie	P	PWAV	_	6	adv	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	121	121
6	fortgegangen	fortgehen	V	VVPP	_	7	aux	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	9	objc	_	_
8	,	,	$	$,	_	0	root	_	_
9	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
10	'	'	$	$(	_	0	root	_	_
11	s	s	P	PPER	_|Sg|_|Nom	9	subj	121	121
12	zu	zu	P	PTKA	_	13	adv	_	_
13	spät	spät	A	ADJD	Pos|	9	pred	_	_
14	...	...	$	$.	_	0	root	_	_
15	ich	ich	P	PPER	1|Sg|_|Nom	16	subj	122	122
16	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
17	'	'	$	$(	_	0	root	_	_
18	ihm	er	P	PPER	3|Sg|_|Dat	28	objd	121	121
19	doch	doch	A	ADV	_	28	adv	_	_
20	nicht	nicht	P	PTKNEG	_	28	adv	_	_
21	den	die	A	ART	Def|Masc|Acc|Sg	22	det	_	_
22	Säbel	Säbel	N	NN	Masc|Acc|Sg	28	obja	_	_
23	von	von	P	APPR	_	22	pp	_	_
24	hinten	hinten	A	ADV	_	23	adv	_	_
25	in	in	P	APPR	Acc	28	pp	_	_
26	den	die	A	ART	Def|Masc|Acc|Sg	27	det	_	_
27	Leib	Leib	N	NN	Masc|Acc|Sg	25	pn	_	_
28	rennen	rennen	V	VVINF	_	29	aux	_	_
29	können	können	V	VMINF	_	16	aux	_	_
30	...	...	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	122	122
4	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
5	schon	schon	A	ADV	_	4	adv	_	_
6	auf	auf	P	APPR	Dat	4	pp	_	_
7	der	die	A	ART	Def|Fem|Dat|Sg	8	det	137	137
8	Straße	Straß	N	NN	Fem|Dat|Sg	6	pn	137	137
9	?	?	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	2	adv	_	_
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	122	122
4	denn	denn	A	ADV	_	6	adv	_	_
5	da	da	A	ADV	_	6	adv	_	_
6	herausgekommen	herauskommen	V	VVPP	_	2	aux	_	_
7	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	So	so	A	ADV	_	3	adv	_	_
3	kühl	kühl	A	ADJD	Pos|	4	pred	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
6	...	...	$	$.	_	0	root	_	_
7	ah	ah	F	FM	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	der	die	P	PRELS	_|_|Sg	0	root	_	_
10	Wind	Wind	N	NE	Neut|_|Sg	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	der	die	P	PDS	Masc|Nom|Sg	13	subj	_	_
13	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
14	gut	gut	A	ADJD	Pos|	13	pred	_	_
15	...	...	$	$.	_	0	root	_	_

1	Wer	wer	P	PWS	_|Nom|Sg	2	pred	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	denn	denn	A	ADV	_	2	adv	_	_
4	das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
5	da	da	A	ADV	_	4	adv	_	_
6	drüben	drüben	C	CARD	_	2	objd	_	_
7	?	?	$	$.	_	0	root	_	_

1	Warum	Warum	P	PWAV	_	0	root	_	_
2	schau	schau	A	ADJD	Pos|	4	adv	124	124
3	'	'	$	$(	_	0	root	124	124
4	n	n	N	NN	_	0	root	124	124
5	denn	denn	A	ADV	_	4	adv	124	124
6	die	die	A	ART	Def|_|_|_	0	root	_	_
7	zu	zu	P	APPR	Dat	0	root	_	_
8	mir	ich	P	PPER	1|Sg|_|Dat	7	pn	122	122
9	herüber	herüber	A	ADV	_	8	adv	_	_
10	?	?	$	$.	_	0	root	_	_

1	Am	an	P	APPRART	Dat	4	pp	_	_
2	End	End	N	NN	Neut|Dat|Sg	1	pn	106	106
3	'	'	$	$(	_	0	root	_	_
4	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
5	die	die	A	ART	Def|_|_|_	6	part	_	_
6	was	was	P	PIS	_|Nom|Pl	4	subj	_	_
7	gehört	gehören	V	VVPP	_	4	aux	_	_
8	...	...	$	$.	_	0	root	_	_
9	Nein	nein	P	PTKANT	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	es	es	P	PPER	3|Sg|Neut|_	15	expl	_	_
12	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
13	niemand	niemand	P	PIS	_|Nom|Sg	12	subj	_	_
14	was	was	P	PIS	_|Dat|_	15	objd	_	_
15	gehört	gehören	V	VVPP	_	16	aux	_	_
16	haben	haben	V	VAINF	_	12	aux	_	_
17	...	...	$	$.	_	0	root	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	122	122
19	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
20	ja	ja	A	ADV	_	19	adv	_	_
21	,	,	$	$,	_	0	root	_	_
22	ich	ich	P	PPER	1|Sg|_|Nom	23	subj	122	122
23	hab	hab	V	VAFIN	1|Sg|_|_	19	kon	_	_
24	'	'	$	$(	_	0	root	_	_
25	mich	ich	P	PRF	1|Sg|Acc	28	obja	_	_
26	gleich	gleich	A	ADJD	Pos|	28	adv	_	_
27	nachher	nachher	A	ADV	_	28	adv	_	_
28	umgeschaut	umschauen	V	VVPP	_	23	aux	_	_
29	!	!	$	$.	_	0	root	_	_

1	Keiner	keine	P	PIS	Masc|Nom|Sg	2	subj	_	_
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	6	obja	_	_
4	um	um	P	APPR	Acc	6	objp	_	_
5	mich	ich	P	PPER	1|Sg|_|Acc	4	pn	122	122
6	gekümmert	kümmern	V	VVPP	_	2	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	niemand	niemand	P	PIS	_|Nom|Sg	9	subj	_	_
9	hat	haben	V	VAFIN	3|Sg|Pres|Ind	2	kon	_	_
10	was	was	P	PIS	_|Dat|_	11	objd	_	_
11	gehört	gehören	V	VVPP	_	9	aux	_	_
12	...	...	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	gesagt	sagen	V	VVPP	_	3	aux	_	_
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	124	124
5	'	'	$	$(	_	0	root	_	_
6	s	s	P	PPER	_	2	obja	125	125
7	,	,	$	$,	_	0	root	_	_
8	wenn	wenn	K	KOUS	_	14	konj	_	_
9	'	'	$	$(	_	0	root	_	_
10	s	s	P	PPER	_|Sg|_|Nom	14	subj	124	124
11	auch	auch	A	ADV	_	13	adv	_	_
12	niemand	niemand	P	PIS	_|Dat|_	13	objd	_	_
13	gehört	gehören	V	VVPP	_	14	aux	_	_
14	hat	haben	V	VAFIN	3|Sg|Pres|Ind	3	neb	_	_
15	;	;	$	$.	_	0	root	_	_
16	gesagt	sagen	V	VVPP	_	17	aux	_	_
17	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
18	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	124	124
19	'	'	$	$(	_	0	root	_	_
20	s	s	P	PPER	_	16	obja	125	125
21	doch	doch	A	ADV	_	16	adv	_	_
22	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	122	122
3	bin	sein	V	VAFIN	1|Sg|Pres|Ind	1	cj	_	_
4	dagestanden	dagestehen	V	VVPP	_	3	aux	_	_
5	und	und	K	KON	_	0	root	_	_
6	hab	hab	F	FM	_	12	obja	_	_
7	'	'	$	$(	_	0	root	_	_
8	mir	ich	P	PPER	1|Sg|_|Dat	12	objd	122	122
9	'	'	$	$(	_	0	root	_	_
10	s	s	P	PPER	_|_|_|Dat	11	objd	124	124
11	gefallen	gefallen	V	VVINF	_	12	aux	_	_
12	lassen	lassen	V	VVINF	_	5	cj	_	_
13	,	,	$	$,	_	0	root	_	_
14	wie	wie	K	KOKOM	_	0	root	_	_
15	wenn	wenn	K	KOUS	_	0	root	_	_
16	mich	ich	P	PPER	1|Sg|_|Acc	0	root	122	122
17	einer	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
18	vor	vor	P	APPR	Acc	21	pp	_	_
19	den	die	A	ART	Def|Masc|Acc|Sg	20	det	140	140
20	Kopf	Kopf	N	NN	Masc|Acc|Sg	18	pn	140	140
21	geschlagen	schlagen	V	VVPP	_	0	root	_	_
22	hätt	hätt	V	VVIMP	_	0	root	_	_
23	'	'	$	$(	_	0	root	_	_
24	!	!	$	$.	_	0	root	_	_
25	...	...	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	122	122
3	hab	hab	V	VAFIN	1|Sg|_|_	1	cj	_	_
4	'	'	$	$(	_	0	root	_	_
5	ja	ja	A	ADV	_	7	adv	_	_
6	nichts	nichts	P	PIS	_	7	obja	_	_
7	sagen	sagen	V	VVINF	_	8	aux	_	_
8	können	können	V	VMINF	_	3	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	nichts	nichts	P	PIS	_	11	obja	_	_
11	tun	tun	V	VVINF	_	12	aux	_	_
12	können	können	V	VMINF	_	8	kon	_	_
13	;	;	$	$.	_	0	root	_	_
14	es	es	P	PPER	3|Sg|Neut|Nom	15	subj	_	_
15	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
16	ja	ja	A	ADV	_	15	adv	_	_
17	noch	noch	A	ADV	_	15	adv	_	_
18	das	die	A	ART	Def|Neut|_|Sg	19	det	_	_
19	einzige	einzig	A	ADJA	Neut|_|Sg	15	pred	_	_
20	,	,	$	$,	_	0	root	_	_
21	was	was	P	PRELS	Neut|Nom|Sg	25	subj	126	126
22	mir	ich	P	PPER	1|Sg|_|Dat	24	objd	122	122
23	übrig	übrig	A	ADJD	Pos|	24	pred	_	_
24	geblieben	bleiben	V	VVPP	_	25	aux	_	_
25	ist	sein	V	VAFIN	3|Sg|Pres|Ind	15	objc	_	_
26	:	\:	$	$.	_	0	root	_	_
27	stad	stad	A	ADJD	Pos|	28	pred	_	_
28	sein	sein	V	VAINF	_	0	root	_	_
29	,	,	$	$,	_	0	root	_	_
30	stad	stad	A	ADJD	Pos|	31	pred	_	_
31	sein	sein	V	VAINF	_	28	kon	_	_
32	!	!	$	$.	_	0	root	_	_
33	...	...	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	s	s	P	PPER	_|Sg|_|Nom	3	subj	126	126
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	fürchterlich	fürchterlich	A	ADJD	Pos|	3	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	es	es	P	PPER	3|Sg|Neut|Nom	7	subj	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	3	kon	_	_
8	nicht	nicht	P	PTKNEG	_	7	adv	_	_
9	zum	zu	P	APPRART	Dat	7	pp	_	_
10	Aushalten	Aushalt	N	NN	_|Dat|_	9	pn	127	127
11	;	;	$	$.	_	0	root	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	122	122
13	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
14	ihn	er	P	PPER	3|Sg|Masc|Acc	15	obja	127	127
15	totschlagen	totschlagen	V	VVINF	_	13	aux	_	_
16	,	,	$	$,	_	0	root	_	_
17	wo	wo	P	PWAV	_	0	root	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	0	root	122	122
19	ihn	er	P	PPER	3|Sg|Masc|Acc	20	obja	127	127
20	treff	treff	V	VVINF	_	0	root	_	_
21	!	!	$	$.	_	0	root	_	_
22	...	...	$	$.	_	0	root	_	_

1	Mir	ich	P	PPER	1|Sg|_|Dat	2	objd	122	122
2	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	das	die	P	PDS	Neut|_|Sg	2	obja	_	_
4	einer	eine	P	PIS	Masc|Nom|Sg	2	subj	_	_
5	!	!	$	$.	_	0	root	_	_

1	Mir	ich	P	PPER	1|Sg|_|Dat	2	objd	122	122
2	sagt	sagen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
4	so	so	A	ADV	_	6	adv	_	_
5	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	_	_
