1	Jugend	Jugend	N	NN	Fem|Nom|Sg	10	subj	1100	1100
2	und	und	K	KON	_	1	kon	_	_
3	Alter	Alter	N	NN	_|Nom|_	2	cj	1133	1133
4	nur	nur	A	ADV	_	10	adv	_	_
5	eine	eine	A	ART	Indef|Fem|_|Sg	6	det	_	_
6	Fabel	Fabel	N	NN	Fem|_|Sg	10	obja	_	_
7	,	,	$	$,	_	0	root	_	_
8	von	von	P	APPR	_	10	pp	_	_
9	Menschen	Mensch	N	NN	Masc|_|_	8	pn	1044	1044
10	erfunden	erfinden	V	VVPP	_	0	root	_	_
11	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Heimat	Heimat	N	NN	Fem|Dat|Sg	29	objd	1045	1045
3	und	und	K	KON	_	2	kon	_	_
4	Fremde	Fremde	N	NN	Fem|Dat|Sg	3	cj	_	_
5	,	,	$	$,	_	0	root	_	_
6	Glanz	Glanz	N	NN	Masc|Dat|Sg	4	kon	_	_
7	und	und	K	KON	_	6	kon	_	_
8	Elend	Elend	N	NN	Neut|Dat|Sg	7	cj	_	_
9	,	,	$	$,	_	0	root	_	_
10	Ruhm	Ruhm	N	NN	Masc|Dat|Sg	8	kon	878	878
11	und	und	K	KON	_	10	kon	_	_
12	Vergessensein	Vergessensein	N	NN	Neut|Dat|Sg	11	cj	_	_
13	-	-	$	$(	_	0	root	_	_
14	wesenlose	wesenlos	A	ADJA	Pos|Fem|Nom|Pl|St|	15	attr	_	_
15	Unterscheidungen	Unterscheidung	N	NN	Fem|Nom|Pl	29	pred	_	_
16	zum	zu	P	APPRART	Dat	29	pp	_	_
17	Gebrauch	Gebrauch	N	NN	Masc|Dat|Sg	16	pn	_	_
18	von	von	P	APPR	_	17	pp	_	_
19	Ruhelosen	Ruhelos	N	NN	_|_|_	18	pn	_	_
20	,	,	$	$,	_	0	root	_	_
21	von	von	P	APPR	_	18	kon	_	_
22	Einsamen	Einsame	N	NN	_|_|_	21	pn	_	_
23	,	,	$	$,	_	0	root	_	_
24	von	von	P	APPR	_	21	kon	_	_
25	Eiteln	Eiteln	N	NE	_|_|_	24	pn	_	_
26	-	-	$	$(	_	0	root	_	_
27	und	und	K	KON	_	24	kon	_	_
28	sinnlos	sinnlos	A	ADJD	Pos|	27	cj	_	_
29	geworden	werden	V	VAPP	_	0	root	_	_
30	,	,	$	$,	_	0	root	_	_
31	wenn	wenn	K	KOUS	_	34	konj	_	_
32	man	man	P	PIS	_|Nom|Sg	34	subj	_	_
33	Casanova	Casanova	N	NN	Masc|Nom|Sg	34	pred	11	11
34	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
35	und	und	K	KON	_	34	kon	_	_
36	Marcolina	Marcolina	N	NE	_|Nom|_	37	subj	119	119
37	gefunden	finden	V	VVPP	_	35	cj	_	_
38	?	?	$	$.	_	0	root	_	_

1	Unwürdig	unwürdig	A	ADJD	Pos|	9	pred	_	_
2	,	,	$	$,	_	0	root	_	_
3	ja	ja	A	ADV	_	5	adv	_	_
4	lächerlicher	lächerlich	A	ADJD	Comp|	5	adv	_	_
5	von	von	P	APPR	_	1	kon	_	_
6	Minute	Minute	N	NN	Fem|_|Sg	5	pn	1046	1046
7	zu	zu	P	APPR	Dat	5	kon	_	_
8	Minute	Minute	N	NN	Fem|Dat|Sg	7	pn	1046	1046
9	erschien	erscheinen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
10	es	es	P	PPER	3|Sg|Neut|Nom	9	subj	_	_
11	ihm	er	P	PPER	3|Sg|_|Dat	9	objd	11	11
12	,	,	$	$,	_	0	root	_	_
13	sich	sie	P	PRF	3|_|_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	einem	eine	A	ART	Indef|_|Dat|Sg	16	det	1047	1047
16	Vorsatz	Vorsatz	N	NN	_|Dat|Sg	0	root	1047	1047
17	getreu	getreu	A	ADJD	Pos|	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	den	die	P	PRELS	Masc|Acc|Sg	0	root	1047	1047
20	er	er	P	PPER	3|Sg|Masc|Nom	24	subj	11	11
21	früher	früh	A	ADJD	_|	24	adv	_	_
22	als	als	K	KOKOM	_	21	kom	_	_
23	Kleinmütiger	Kleinmütige	N	NN	_|_|_	22	cj	_	_
24	gefaßt	gefaßt	V	VVPP	_	0	root	_	_
25	,	,	$	$,	_	0	root	_	_
26	aus	aus	P	APPR	Dat	24	pp	_	_
27	dieser	diese	A	PDAT	Fem|Dat|Sg	28	det	_	_
28	Wundernacht	Wundernacht	N	NN	Fem|Dat|Sg	26	pn	_	_
29	stumm	stumm	A	ADJD	Pos|	0	root	_	_
30	,	,	$	$,	_	0	root	_	_
31	unerkannt	unerkannt	A	ADJD	Pos|	0	root	_	_
32	,	,	$	$,	_	0	root	_	_
33	wie	wie	P	PWAV	_	0	root	_	_
34	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
35	Dieb	Dieb	N	NN	Masc|_|Sg	37	obja	_	_
36	zu	zu	P	PTKZU	_	37	part	_	_
37	flüchten	flüchten	V	VVINF	_	0	root	_	_
