1	Fridolins	Fridolins	N	NE	_|Gen|_	2	gmod	99	99
2	Augen	Auge	N	NN	Neut|Nom|Pl	3	subj	_	_
3	irrten	irren	V	VVFIN	3|Pl|Past|_	0	root	_	_
4	durstig	durstig	A	ADJD	Pos|	3	adv	_	_
5	von	von	P	APPR	_	4	pp	_	_
6	üppigen	üppig	A	ADJA	Pos|_|_|_|_|	15	attr	_	_
7	zu	zu	P	PTKZU	_	8	part	_	_
8	schlanken	schlank	A	ADJA	Pos|_|_|_|_|	15	attr	_	_
9	,	,	$	$,	_	0	root	_	_
10	von	von	P	APPR	_	14	pp	_	_
11	zarten	zart	A	ADJA	Pos|_|_|_|_|	10	pn	_	_
12	zu	zu	P	PTKA	_	13	adv	_	_
13	prangend	prangen	A	ADJD	_|<PPRES	14	adv	_	_
14	erblühten	erblüht	A	ADJA	Pos|_|_|_|_|	8	kon	_	_
15	Gestalten	Gestalt	N	NN	_|_|_	5	pn	_	_
16	;	;	$	$.	_	0	root	_	_
17	-	-	$	$(	_	0	root	_	_
18	und	und	K	KON	_	0	root	_	_
19	daß	daß	K	KOUS	_	26	konj	_	_
20	jede	jede	P	PIS	_|Nom|Sg	26	subj	_	_
21	dieser	diese	A	PDAT	_|Gen|_	22	det	_	_
22	Unverhüllten	Unverhüllte	N	NN	_|Gen|_	20	gmod	_	_
23	doch	doch	A	ADV	_	26	adv	_	_
24	ein	eine	A	ART	Indef|Neut|Nom|Sg	25	det	_	_
25	Geheimnis	Geheimnis	N	NN	Neut|Nom|Sg	26	pred	_	_
26	blieb	bleiben	V	VVFIN	3|Sg|Past|Ind	18	cj	_	_
27	und	und	K	KON	_	26	kon	_	_
28	aus	aus	P	APPR	Dat	39	pp	_	_
29	den	die	A	ART	Def|Fem|Dat|Pl	31	det	_	_
30	schwarzen	schwarz	A	ADJA	Pos|Fem|Dat|Pl|_|	31	attr	_	_
31	Masken	Maske	N	NN	Fem|Dat|Pl	28	pn	_	_
32	als	als	K	KOKOM	_	39	kom	_	_
33	unlöslichste	unlöslich	A	ADJA	Sup|Neut|_|_|_|	34	attr	_	_
34	Rätsel	Rätsel	N	NN	Neut|_|_	32	cj	_	_
35	große	groß	A	ADJA	Pos|Neut|Nom|Pl|St|	36	attr	382	382
36	Augen	Auge	N	NN	Neut|Nom|Pl	39	subj	382	382
37	zu	zu	P	APPR	Dat	39	pp	_	_
38	ihm	er	P	PPER	3|Sg|_|Dat	37	pn	380	380
39	herüberstrahlten	herüberstrahlen	V	VVFIN	3|Pl|Past|_	27	cj	_	_
40	,	,	$	$,	_	0	root	_	_
41	das	die	P	PDS	Neut|Nom|Sg	42	subj	_	_
42	wandelte	wandeln	V	VVFIN	3|Sg|Past|_	0	root	_	_
43	ihm	er	P	PPER	3|Sg|_|Dat	42	objd	380	380
44	die	die	A	ART	Def|Fem|_|Sg	46	det	_	_
45	unsägliche	unsäglich	A	ADJA	Pos|Fem|_|Sg|_|	46	attr	_	_
46	Lust	Lust	N	NN	Fem|_|Sg	42	obja	_	_
47	des	die	A	ART	Def|Neut|Gen|Sg	48	det	_	_
48	Schauens	Schauen	N	NN	Neut|Gen|Sg	46	gmod	_	_
49	in	in	P	APPR	Acc	42	pp	_	_
50	eine	eine	A	ART	Indef|Fem|Acc|Sg	53	det	_	_
51	fast	fast	A	ADV	_	52	adv	_	_
52	unerträgliche	unerträglich	A	ADJA	Pos|Fem|Acc|Sg|_|	53	attr	_	_
53	Qual	Qual	N	NN	Fem|Acc|Sg	49	pn	_	_
54	des	die	A	ART	Def|Neut|Gen|Sg	55	det	_	_
55	Verlangens	Verlangen	N	NN	Neut|Gen|Sg	53	gmod	_	_
56	.	.	$	$.	_	0	root	_	_

1	Doch	doch	K	KON	_	0	root	_	_
2	wie	wie	P	PWAV	_	4	adv	_	_
3	ihm	er	P	PPER	3|Sg|_|Dat	4	objd	380	380
4	erging	ergehen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
6	wohl	wohl	A	ADV	_	4	adv	_	_
7	auch	auch	A	ADV	_	4	adv	_	_
8	den	die	A	ART	Def|_|_|_	9	det	_	_
9	andern	andern	A	ADJA	_|_|_	4	obja	_	_
10	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	4	det	_	_
2	ersten	erst	A	ADJA	_|Masc|Nom|Pl|Wk|	4	attr	_	_
3	entzückten	entzückt	A	ADJA	Pos|Masc|Nom|Pl|Wk|	4	attr	_	_
4	Atemzüge	Atemzug	N	NN	Masc|Nom|Pl	5	subj	_	_
5	wandelten	wandeln	V	VVFIN	3|Pl|Past|_	0	root	_	_
6	sich	sie	P	PRF	3|_|_	5	obja	_	_
7	zu	zu	P	APPR	Dat	5	pp	_	_
8	Seufzern	Seufzer	N	NN	Masc|Dat|Pl	7	pn	381	381
9	,	,	$	$,	_	0	root	381	381
10	die	die	P	PRELS	Masc|Nom|Pl	15	subj	381	381
11	nach	nach	P	APPR	Dat	15	pp	_	_
12	einem	eine	A	ART	Indef|Neut|Dat|Sg	14	det	_	_
13	tiefen	tief	A	ADJA	Pos|Neut|Dat|Sg|Wk|	14	attr	_	_
14	Weh	Weh	N	NN	Neut|Dat|Sg	11	pn	_	_
15	klangen	klingen	V	VVFIN	3|Pl|Past|Ind	8	rel	_	_
16	;	;	$	$.	_	0	root	_	_
17	irgendwo	irgendwo	A	ADV	_	18	adv	_	_
18	entrang	entringen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
19	sich	sie	P	PRF	3|_|_	18	obja	_	_
20	ein	eine	A	ART	Indef|Masc|Nom|Sg	21	det	383	383
21	Schrei	Schrei	N	NN	Masc|Nom|Sg	18	subj	383	383
22	;	;	$	$.	_	0	root	_	_
23	-	-	$	$(	_	0	root	_	_
24	und	und	K	KON	_	0	root	_	_
25	plötzlich	plötzlich	A	ADJD	Pos|	24	cj	_	_
26	,	,	$	$,	_	0	root	_	_
27	als	als	K	KOKOM	_	28	konj	_	_
28	wären	sein	V	VAFIN	3|Pl|Past|Subj	32	neb	_	_
29	sie	sie	P	PPER	3|Pl|_|Nom	28	subj	382	382
30	gejagt	jagen	V	VVPP	_	28	aux	_	_
31	,	,	$	$,	_	0	root	_	_
32	stürzten	stürzen	V	VVFIN	3|Pl|Past|_	0	root	_	_
33	sie	sie	P	PPER	3|Pl|_|Nom	32	subj	382	382
34	alle	alle	P	PIS	_|Nom|_	33	app	_	_
35	,	,	$	$,	_	0	root	_	_
36	nicht	nicht	P	PTKNEG	_	38	adv	_	_
37	mehr	mehr	A	ADV	_	36	adv	_	_
38	in	in	P	APPR	_	32	pp	_	_
39	ihren	ihre	A	PPOSAT	Fem|_|Pl	40	det	382	382
40	Mönchskutten	Mönchskutte	N	NN	Fem|_|Pl	38	pn	_	_
41	,	,	$	$,	_	0	root	_	_
42	sondern	sondern	K	KON	_	38	kon	_	_
43	in	in	P	APPR	_	42	cj	_	_
44	festlichen	festlich	A	ADJA	Pos|_|_|_|_|	52	attr	_	_
45	weißen	weiß	A	ADJA	Pos|_|_|_|_|	52	attr	_	_
46	,	,	$	$,	_	0	root	_	_
47	gelben	gelb	A	ADJA	Pos|_|_|_|_|	45	kon	_	_
48	,	,	$	$,	_	0	root	_	_
49	blauen	blau	A	ADJA	Pos|_|_|_|_|	47	kon	_	_
50	,	,	$	$,	_	0	root	_	_
51	roten	rot	A	ADJA	Pos|_|_|_|_|	49	kon	_	_
52	Kavalierstrachten	Kavalierstracht	N	NN	_|_|_	43	pn	_	_
53	aus	aus	P	APPR	Dat	32	pp	_	_
54	dem	die	A	ART	Def|Masc|Dat|Sg	56	det	_	_
55	dämmerigen	dämmerig	A	ADJA	Pos|Masc|Dat|Sg|Wk|	56	attr	_	_
