1	Schritte	Schritt	N	NN	Masc|_|_	0	root	177	177
2	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	171	171
2	dachte	denken	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	176	176
5	wär	wär	V	VAFIN	3|Sg|_|_	2	s	_	_
6	es	es	P	PPER	3|Sg|Neut|_	5	obja	_	_
7	...	...	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	6	obja	171	171
4	die	die	A	ART	Def|Fem|Nom|Sg	5	det	_	_
5	Furcht	Furcht	N	NN	Fem|Nom|Sg	2	subj	_	_
6	gepackt	packen	V	VVPP	_	2	aux	_	_
7	-	-	$	$(	_	0	root	_	_
8	denn	denn	K	KON	_	2	kon	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
10	wäre	sein	V	VAFIN	_|Sg|Past|Subj	8	cj	_	_
11	entsetzlich	entsetzlich	A	ADJD	Pos|	12	pred	_	_
12	gewesen	sein	V	VAPP	_	10	aux	_	_
13	,	,	$	$,	_	0	root	_	_
14	wenn	wenn	K	KOUS	_	0	root	_	_
15	er	er	P	PPER	3|Sg|Masc|Nom	0	root	176	176
16	-	-	$	$(	_	0	root	_	_
17	oh	oh	I	ITJ	_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	ich	ich	P	PPER	1|Sg|_|Nom	20	subj	171	171
20	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
21	gar	gar	A	ADV	_	22	adv	_	_
22	nicht	nicht	P	PTKNEG	_	20	adv	_	_
23	daran	daran	P	PROAV	_	20	pp	_	_
24	denken	denken	V	VVINF	_	0	root	_	_
25	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	niemand	niemand	P	PIS	_|Nom|Sg	4	subj	_	_
4	war	sein	V	VAFIN	3|Sg|Past|Ind	2	cj	_	_
5	da	da	A	ADV	_	4	adv	_	_
6	-	-	$	$(	_	0	root	_	_
7	niemand	niemand	P	PIS	_	0	root	_	_
8	.	.	$	$.	_	0	root	_	_

1	Erst	erst	A	ADV	_	2	adv	_	_
2	spät	spät	A	ADJD	Pos|	5	adv	_	_
3	am	an	P	APPRART	Dat	2	pp	_	_
4	Abend	Abend	N	NN	Masc|Dat|Sg	3	pn	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	176	176
7	nach	nach	P	APPR	Dat	9	pp	_	_
8	Hause	Haus	N	NN	Neut|Dat|Sg	7	pn	17	17
9	gekommen	kommen	V	VVPP	_	5	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	du	du	P	PPER	2|Sg|_|Nom	12	subj	178	178
12	warst	sein	V	VAFIN	2|Sg|Past|Ind	5	kon	_	_
13	längst	längst	A	ADV	_	12	adv	_	_
14	,	,	$	$,	_	0	root	_	_
15	längst	längst	A	ADV	_	0	root	_	_
16	fort	fort	P	PTKVZ	_	0	root	_	_
17	.	.	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_
19	-	-	$	$(	_	0	root	_	_

1	Während	während	K	KOUS	_	4	konj	_	_
2	sie	sie	P	PPER	3|Sg|Fem|Nom	4	subj	21	21
3	das	die	P	PDS	Neut|_|Sg	4	obja	_	_
4	erzählte	erzählen	V	VVFIN	3|Sg|Past|_	6	neb	_	_
5	,	,	$	$,	_	0	root	_	_
6	fühlte	fühlen	V	VVFIN	1|Sg|Past|_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	171	171
8	,	,	$	$,	_	0	root	_	_
9	wie	wie	P	PWAV	_	15	adv	_	_
10	irgend	irgend	A	ADV	_	11	adv	_	_
11	etwas	etwas	P	PIS	_|Nom|Sg	15	subj	_	_
12	in	in	P	APPR	Dat	15	pp	_	_
13	meinem	meine	A	PPOSAT	Masc|Dat|Sg	14	det	171	171
14	Innern	Inner	N	NN	Masc|Dat|Sg	12	pn	_	_
15	erstarrte	erstarren	V	VVFIN	3|Sg|Past|_	6	objc	_	_
16	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	als	als	K	KOUS	_	5	konj	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	5	subj	21	21
4	geendet	enden	V	VVPP	_	5	aux	_	_
5	hatte	haben	V	VAFIN	3|Sg|Past|Ind	7	neb	_	_
6	,	,	$	$,	_	0	root	_	_
7	schaute	schauen	V	VVFIN	1|Sg|Past|_	1	cj	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	171	171
9	sie	sie	P	PPER	3|_|_|_	7	obja	21	21
10	an	an	P	PTKVZ	_	7	avz	_	_
11	,	,	$	$,	_	0	root	_	_
12	als	als	K	KOKOM	_	13	konj	_	_
13	müßte	müssen	V	VMFIN	1|Sg|Past|Subj	7	neb	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	171	171
15	sie	sie	P	PPER	3|_|_|_	16	obja	21	21
16	fragen	fragen	V	VVINF	_	13	aux	_	_
17	:	\:	$	$.	_	0	root	_	_
18	Wer	wer	P	PWS	_|Nom|Sg	19	pred	_	_
19	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
20	du	du	P	PPER	2|Sg|_|Nom	19	subj	178	178
21	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	171	171
3	wandte	wandte	V	VVFIN	1|Sg|_|_	0	root	_	_
4	mich	ich	P	PRF	1|Sg|Acc	3	obja	_	_
5	unwillkürlich	unwillkürlich	A	ADJD	Pos|	3	adv	_	_
6	nach	nach	P	APPR	Dat	3	pp	_	_
7	dem	die	A	ART	Def|Masc|Dat|Sg	8	det	_	_
8	Hafen	Hafen	N	NN	Masc|Dat|Sg	6	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	wo	wo	P	PWAV	_	17	adv	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	171	171
12	die	die	A	ART	Def|Neut|_|Pl	13	det	_	_
13	Segel	Segel	N	NN	Neut|_|Pl	17	obja	_	_
14	unseres	unsre	A	PPOSAT	Neut|Gen|Sg	15	det	179	179
15	Bootes	Boot	N	NN	Neut|Gen|Sg	13	gmod	_	_
16	glänzen	glänzen	V	VVINF	_	17	obji	_	_
17	sah	sehen	V	VVFIN	1|Sg|Past|Ind	8	rel	_	_
18	,	,	$	$,	_	0	root	_	_
19	und	und	K	KON	_	17	kon	_	_
20	ich	ich	P	PPER	1|Sg|_|Nom	21	subj	171	171
21	dachte	denken	V	VVFIN	1|Sg|Past|Ind	19	cj	_	_
22	:	\:	$	$.	_	0	root	_	_
23	Wie	Wie	P	PWAV	_	24	adv	_	_
24	lange	lange	A	ADJD	_	0	root	_	_
25	,	,	$	$,	_	0	root	_	_
26	wie	wie	P	PWAV	_	27	adv	_	_
