1	Wär	Wär	N	NE	_	0	root	333	333
2	'	'	$	$(	_	0	root	_	_
3	so	so	A	ADV	_	5	adv	141	141
4	das	die	A	ART	Def|Neut|_|Sg	5	det	141	141
5	Gescheiteste	Gescheiteste	N	NN	Neut|_|Sg	0	root	141	141
6	!	!	$	$.	_	0	root	_	_
7	...	...	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|_|Sg	2	det	141	141
2	Gescheiteste	Gescheiteste	N	NN	Neut|_|Sg	0	root	141	141
3	?	?	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|_|Sg	2	det	141	141
2	Gescheiteste	Gescheiteste	N	NN	Neut|_|Sg	0	root	141	141
3	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	ja	ja	A	ADV	_	2	adv	_	_
4	überhaupt	überhaupt	A	ADV	_	5	adv	_	_
5	nichts	nichts	A	PIAT	_|Nom|Sg	2	subj	_	_
6	anderes	andere	P	PIS	_|_|Sg	2	obja	_	_
7	...	...	$	$.	_	0	root	_	_
8	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
9	nichts	nichts	A	PIAT	_|Nom|Sg	8	subj	_	_
10	anderes	andere	P	PIS	_|_|Sg	8	obja	_	_
11	...	...	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	0	root	143	143
3	den	die	A	ART	Def|Masc|Acc|Sg	4	det	130	130
4	Oberst	Oberst	N	NN	Masc|Acc|Sg	5	obja	130	130
5	fragen	fragen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
6	möcht	möcht	N	NE	_|Nom|Pl	5	subj	94	94
7	'	'	$	$(	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	oder	oder	K	KON	_	0	root	_	_
10	den	die	A	ART	Def|_|_|_	11	det	27	27
11	Kopetzky	Kopetzky	N	NN	_|_|_	9	cj	27	27
12	-	-	$	$(	_	0	root	27	27
13	oder	oder	K	KON	_	11	kon	27	27
14	den	die	A	ART	Def|_|_|_	15	det	27	27
15	Blany	Blany	N	NN	_|_|_	13	cj	27	27
16	-	-	$	$(	_	0	root	27	27
17	oder	oder	K	KON	_	11	kon	27	27
18	den	die	A	ART	Def|_|_|_	19	det	142	142
19	Friedmaier	Friedmaier	N	NN	_|_|_	17	cj	27	27
20	:	\:	$	$.	_	0	root	_	_
21	-	-	$	$(	_	0	root	_	_
22	jeder	jede	A	PIDAT	Fem|Dat|Sg	23	det	94	94
23	möcht	möcht	N	NN	Fem|Dat|Sg	25	objd	94	94
24	'	'	$	$(	_	0	root	_	_
25	sagen	sagen	V	VVINF	_	0	root	_	_
26	:	\:	$	$.	_	0	root	_	_
27	Es	es	P	PPER	3|Sg|Neut|_	28	expl	_	_
28	bleibt	bleiben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
29	dir	du	P	PPER	2|Sg|_|Dat	28	objd	_	_
30	nichts	nichts	A	PIAT	_|Nom|Sg	28	subj	_	_
31	anderes	andere	P	PIS	Neut|Nom|Sg	28	pred	_	_
