1	Ihr	ihre	A	PPOSAT	Neut|Nom|Sg	2	det	55	55
2	Personal	Personal	N	NN	Neut|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	bald	bald	A	ADV	_	3	adv	_	_
5	für	für	P	APPR	Acc	3	pp	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	_	_
7	Jahrmarkt	Jahrmarkt	N	NN	Masc|Acc|Sg	5	pn	_	_
8	reif	reif	A	ADJD	Pos|	3	pred	_	_
9	.	.	$	$.	_	0	root	_	_

1	Rakkóx	Rakkóx	N	NE	_	0	root	0	0
2	.	.	$	$.	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_

1	An	an	P	APPR	Acc	16	pp	_	_
2	den	die	A	ART	Def|Masc|Acc|Sg	3	det	56	56
3	Direktor	Direktor	N	NN	Masc|Acc|Sg	1	pn	56	56
4	seiner	seine	A	PPOSAT	Fem|Gen|Sg	6	det	56	56
5	kaufmännischen	kaufmännisch	A	ADJA	Pos|Fem|Gen|Sg|Wk|	6	attr	57	57
6	Abteilung	Abteilung	N	NN	Fem|Gen|Sg	3	gmod	57	57
7	,	,	$	$,	_	0	root	57	57
8	in	in	P	APPR	Dat	13	pp	57	57
9	der	die	P	PRELS	Fem|Dat|Sg	8	pn	57	57
10	fünfzehnhundert	fünfzehnhundert	C	CARD	_	12	attr	_	_
11	verkrachte	verkracht	A	ADJA	Pos|Masc|Nom|Pl|St|	12	attr	_	_
12	Gründer	Gründer	N	NN	Masc|Nom|Pl	14	subj	_	_
13	beschäftigt	beschäftigen	V	VVPP	_	14	aux	_	_
14	sind	sein	V	VAFIN	3|Pl|Pres|Ind	6	rel	_	_
15	,	,	$	$,	_	0	root	_	_
16	telegraphiert	telegraphieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
17	der	die	A	ART	Def|Masc|Nom|Sg	18	det	17	17
18	Billionär	Billionär	N	NN	Masc|Nom|Sg	16	subj	17	17
19	:	\:	$	$.	_	0	root	_	_
20	»	»	$	$(	_	0	root	_	_
21	Schnell	schnell	A	ADJD	Pos|	26	adv	_	_
22	zehntausend	zehntausend	C	CARD	_	24	attr	_	_
23	submaritime	submaritim	A	ADJA	Pos|Neut|_|Pl|St|	24	attr	_	_
24	Torpedoboote	Torpedoboot	N	NN	Neut|_|Pl	26	obja	_	_
25	bauen	bauen	V	VVINF	_	26	aux	_	_
26	lassen	lassen	V	VVINF	_	0	root	_	_
27	-	-	$	$(	_	0	root	_	_
28	aber	aber	K	KON	_	0	root	_	_
29	beste	gut	A	ADJA	Sup|_|_|Sg|_|	30	attr	_	_
30	Konstruktion	Konstruktion	N	NN	_|_|Sg	28	cj	_	_
31	.	.	$	$.	_	0	root	_	_

1	Rakkóx	Rakkóx	N	NE	_	0	root	0	0
2	.	.	$	$.	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	Danach	Danach	P	PROAV	_	5	pp	_	_
5	ruht	ruhen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	0	0
7	in	in	P	APPR	Dat	5	pp	_	_
8	seinem	seine	A	PPOSAT	Neut|Dat|Sg	9	det	0	0
9	Perlmutterzimmer	Perlmutterzimmer	N	NN	Neut|Dat|Sg	7	pn	_	_
10	von	von	P	APPR	_	9	pp	_	_
11	seiner	seine	A	PPOSAT	Fem|_|Sg	12	det	0	0
12	Arbeit	Arbeit	N	NN	Fem|_|Sg	10	pn	_	_
13	aus	aus	P	PTKVZ	_	5	avz	_	_
14	.	.	$	$.	_	0	root	_	_

1	Auf	auf	P	APPR	Dat	12	pp	_	_
2	den	die	A	ART	Def|Neut|Dat|Pl	4	det	58	58
3	weißen	weiß	A	ADJA	Pos|Neut|Dat|Pl|_|	4	attr	58	58
4	Eisbärfellen	Eisbärfell	N	NN	Neut|Dat|Pl	1	pn	58	58
5	,	,	$	$,	_	0	root	58	58
6	die	die	P	PRELS	Neut|Nom|Pl	10	subj	58	58
7	den	die	A	ART	Def|Masc|Acc|Sg	9	det	_	_
8	ganzen	ganz	A	ADJA	Pos|Masc|Acc|Sg|_|	9	attr	_	_
9	Fußboden	Fußboden	N	NN	Masc|Acc|Sg	10	obja	_	_
10	bedecken	bedecken	V	VVFIN	3|Pl|Pres|_	4	rel	_	_
11	,	,	$	$,	_	0	root	_	_
12	spielen	spielen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
13	gelbliche	gelblich	A	ADJA	Pos|Neut|Nom|Pl|St|	16	attr	59	59
14	und	und	K	KON	_	13	kon	59	59
15	grünliche	grünlich	A	ADJA	Pos|_|Nom|_|_|	14	cj	59	59
16	Lichtbüschel	Lichtbüschel	N	NN	Neut|Nom|Pl	12	subj	59	59
17	,	,	$	$,	_	0	root	59	59
18	die	die	P	PRELS	Neut|Nom|Pl	23	subj	59	59
19	oben	oben	A	ADV	_	20	adv	_	_
20	durch	durch	P	APPR	Acc	23	pp	_	_
21	die	die	A	ART	Def|Fem|Acc|Sg	22	det	60	60
22	Glaskuppel	Glaskuppel	N	NN	Fem|Acc|Sg	20	pn	60	60
23	hineinkamen	hineinkommen	V	VVFIN	3|Pl|Past|Ind	16	rel	_	_
24	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	60	60
2	Glaskuppel	Glaskuppel	N	NN	Fem|Nom|Sg	3	subj	60	60
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	bunt	bunt	A	ADJD	Pos|	3	pred	_	_
6	wie	wie	K	KOKOM	_	3	kom	_	_
7	ein	eine	A	ART	Indef|Masc|Nom|Sg	9	det	_	_
8	alter	alt	A	ADJA	Pos|Masc|Nom|Sg|St|	9	attr	_	_
9	Krötenbauch	Krötenbauch	N	NN	Masc|Nom|Sg	6	cj	_	_
10	,	,	$	$,	_	0	root	_	_
11	und	und	K	KON	_	3	kon	_	_
12	viele	viele	A	PIDAT	Neut|Nom|Pl	14	det	_	_
13	weiße	weiß	A	ADJA	Pos|Neut|Nom|Pl|St|	14	attr	_	_
14	Pelzhaare	Pelzhaar	N	NN	Neut|Nom|Pl	15	subj	_	_
15	werden	werden	V	VAFIN	3|Pl|Pres|_	11	cj	_	_
16	zu	zu	P	APPR	Dat	15	pp	_	_
17	Rakkóxens	Rakkóxens	N	NE	_|Dat|_	16	pn	61	61
18	Füßen	Fuß	N	NN	Masc|Dat|Pl	15	objd	14	14
19	auch	auch	A	ADV	_	15	adv	_	_
20	so	so	A	ADV	_	21	adv	_	_
21	bunt	bunt	A	ADJD	Pos|	15	pred	_	_
22	.	.	$	$.	_	0	root	_	_

1	An	an	P	APPR	Dat	0	root	_	_
2	den	die	A	ART	Def|Fem|Dat|Pl	4	det	62	62
3	welligen	wellig	A	ADJA	Pos|Fem|Dat|Pl|_|	4	attr	62	62
4	Wänden	Wand	N	NN	Fem|Dat|Pl	1	pn	62	62
5	,	,	$	$,	_	0	root	62	62
6	die	die	P	PRELS	Fem|Nom|Pl	10	subj	62	62
7	aus	aus	P	APPR	Dat	10	objp	_	_
8	zehntausend	zehntausend	C	CARD	_	9	attr	_	_
9	Perlmutterbuckeln	Perlmutterbuckel	N	NN	Masc|Dat|Pl	7	pn	_	_
10	bestehen	bestehen	V	VVFIN	3|Pl|Pres|_	4	rel	_	_
11	,	,	$	$,	_	0	root	_	_
12	glitzerts	glitzerts	N	NE	Fem|Dat|Pl	4	app	_	_
13	;	;	$	$.	_	0	root	_	_
14	mitten	mitten	A	ADV	_	15	adv	_	_
15	auf	auf	P	APPR	Dat	18	pp	_	_
16	jedem	jede	A	PIAT	Masc|Dat|Sg	17	det	_	_
17	Buckel	Buckel	N	NN	Masc|Dat|Sg	15	pn	_	_
18	sitzt	sitzen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
19	ein	eine	A	ART	Indef|Masc|Nom|Sg	22	det	_	_
20	kleiner	klein	A	ADJA	Pos|Masc|Nom|Sg|St|	22	attr	_	_
21	hellblauer	hellblau	A	ADJA	Pos|Masc|Nom|Sg|St|	22	attr	_	_
22	Saphir	Saphir	N	NN	Masc|Nom|Sg	18	subj	_	_
23	.	.	$	$.	_	0	root	_	_

1	Rakkóx	Rakkóx	N	NE	_|Nom|Sg	2	subj	0	0
2	liegt	liegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	auf	auf	P	APPR	Dat	2	pp	_	_
4	seinem	seine	A	PPOSAT	Masc|Dat|Sg	6	det	0	0
5	weißen	weiß	A	ADJA	Pos|Masc|Dat|Sg|Wk|	6	attr	_	_
6	Sammetdivan	Sammetdivan	N	NN	Masc|Dat|Sg	3	pn	_	_
7	und	und	K	KON	_	2	kon	_	_
8	schlummert	schlummern	V	VVFIN	_|_|Pres|_	7	cj	_	_
9	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Masc|Nom|Sg	4	det	_	_
2	kurzer	kurz	A	ADJA	Pos|Masc|Nom|Sg|St|	4	attr	_	_
3	kompakter	kompakt	A	ADJA	Pos|Masc|Nom|Sg|St|	4	attr	_	_
4	Herr	Herr	N	NN	Masc|Nom|Sg	0	root	_	_
5	mit	mit	P	APPR	Dat	4	pp	_	_
6	dickem	dick	A	ADJA	Pos|Masc|Dat|Sg|St|	7	attr	_	_
7	Kopf	Kopf	N	NN	Masc|Dat|Sg	5	pn	_	_
8	.	.	$	$.	_	0	root	_	_

1	Kurz	kurz	A	ADJD	Pos|	2	pred	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	5	det	_	_
4	graue	grau	A	ADJA	Pos|Masc|Nom|Sg|Wk|	5	attr	_	_
5	Bart	Bart	N	NN	Masc|Nom|Sg	2	subj	_	_
6	,	,	$	$,	_	0	root	_	_
7	kurz	kurz	A	ADJD	Pos|	8	pred	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	kon	_	_
9	das	die	A	ART	Def|Neut|Nom|Sg	11	det	_	_
10	graue	grau	A	ADJA	Pos|Neut|Nom|Sg|Wk|	11	attr	_	_
11	Haupthaar	Haupthaar	N	NN	Neut|Nom|Sg	8	subj	_	_
12	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Pl	3	det	_	_
2	weißen	weiß	A	ADJA	Pos|Fem|Nom|Pl|Wk|	3	attr	_	_
3	Augenbrauen	Augenbraue	N	NN	Fem|Nom|Pl	4	subj	_	_
4	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
5	so	so	A	ADV	_	6	adv	_	_
6	buschig	buschig	A	ADJD	Pos|	4	pred	_	_
7	wie	wie	K	KOKOM	_	4	kom	_	_
8	die	die	A	ART	Def|Neut|_|Pl	9	det	58	58
9	Eisbärfelle	Eisbärfell	N	NN	Neut|_|Pl	7	cj	58	58
10	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	_	_
2	breite	breit	A	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	_	_
3	Brust	Brust	N	NN	Fem|Nom|Sg	4	subj	_	_
4	hebt	heben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	sich	sie	P	PRF	3|_|_	4	obja	_	_
6	und	und	K	KON	_	4	kon	_	_
7	senkt	senken	V	VVFIN	_|_|Pres|Ind	6	cj	_	_
8	sich	sie	P	PRF	3|_|_	7	obja	_	_
9	wie	wie	K	KOKOM	_	7	kom	_	_
10	eine	eine	A	ART	Indef|Fem|_|Sg	12	det	_	_
11	feste	fest	A	ADJA	Pos|Fem|_|Sg|_|	12	attr	_	_
12	Maschine	Maschine	N	NN	Fem|_|Sg	9	cj	_	_
13	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	4	det	63	63
2	lose	los	A	ADJA	Pos|Masc|Nom|Sg|Wk|	4	attr	63	63
3	perlgraue	perlgrau	A	ADJA	Pos|Masc|Nom|Sg|Wk|	4	attr	63	63
4	Anzug	Anzug	N	NN	Masc|Nom|Sg	5	subj	63	63
5	hängt	hängen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	schlaff	schlaff	A	ADJD	Pos|	5	adv	_	_
7	und	und	K	KON	_	6	kon	_	_
8	unordentlich	unordentlich	A	ADJD	Pos|	7	cj	_	_
9	an	an	P	APPR	Dat	5	objp	_	_
10	dem	die	A	ART	Def|Masc|Dat|Sg	13	det	_	_
11	kurzen	kurz	A	ADJA	Pos|Masc|Dat|Sg|Wk|	13	attr	_	_
12	dicken	dick	A	ADJA	Pos|Masc|Dat|Sg|Wk|	13	attr	_	_
13	Körper	Körper	N	NN	Masc|Dat|Sg	9	pn	_	_
14	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	60	60
2	Glaskuppel	Glaskuppel	N	NN	Fem|Nom|Sg	3	subj	60	60
3	macht	machen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
