1	Salmanassar	Salmanassar	N	NN	_	0	root	24	24
2	der	die	A	ART	Def|_|_|_	3	det	_	_
3	Zweite	zweit	A	ADJA	Masc|Nom|Sg	4	subj	_	_
4	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	sich	sie	P	PRF	3|_|_	4	obja	_	_
6	in	in	P	APPR	_	4	pp	_	_
7	Kalach	Kalach	N	NE	_|_|_	6	pn	20	20
8	am	an	P	APPRART	Dat	4	pp	_	_
9	Tigris	Tigris	N	NE	Masc|Dat|Sg	8	pn	47	47
10	,	,	$	$,	_	0	root	_	_
11	nicht	nicht	P	PTKNEG	_	13	adv	_	_
12	weit	weit	A	ADJD	Pos|	13	adv	_	_
13	ab	ab	P	APPR	Dat	8	kon	_	_
14	von	von	P	APPR	_	13	pp	_	_
15	Ninive	Ninive	N	NE	_|_|_	14	pn	_	_
16	,	,	$	$,	_	0	root	_	_
17	einen	eine	A	ART	Indef|Masc|Acc|Sg	19	det	_	_
18	riesigen	riesig	A	ADJA	Pos|Masc|Acc|Sg|_|	19	attr	_	_
19	Palast	Palast	N	NN	Masc|Acc|Sg	0	root	_	_
20	erbaut	erbauen	V	VVPP	_	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	dicht	dicht	A	ADJD	Pos|	23	adv	_	_
23	neben	neben	P	APPR	Dat	0	root	_	_
24	dem	die	A	ART	Def|Masc|Dat|Sg	26	det	0	0
25	großen	groß	A	ADJA	Pos|Masc|Dat|Sg|Wk|	26	attr	0	0
26	Palast	Palast	N	NN	Masc|Dat|Sg	23	pn	0	0
27	seines	seine	A	PPOSAT	Masc|Gen|Sg	29	det	0	0
28	verstorbenen	verstorben	A	ADJA	Pos|Masc|Gen|Sg|_|	29	attr	_	_
29	Vaters	Vater	N	NN	Masc|Gen|Sg	26	gmod	_	_
30	,	,	$	$,	_	0	root	_	_
31	des	die	A	ART	Def|Masc|Gen|Sg	32	det	1	1
32	Königs	König	N	NN	Masc|Gen|Sg	29	kon	1	1
33	Assurnasirabal	Assurnasirabal	N	NE	Masc|Gen|Sg	32	app	1	1
34	,	,	$	$,	_	0	root	_	_
35	den	die	P	PRELS	Masc|Acc|Sg	39	obja	1	1
36	alle	alle	A	PIDAT	Masc|Nom|Pl	37	det	55	55
37	Götter	Gott	N	NN	Masc|Nom|Pl	39	subj	55	55
38	sehr	sehr	A	ADV	_	39	adv	_	_
39	liebten	lieben	V	VVFIN	3|Pl|Past|_	33	rel	_	_
40	und	und	K	KON	_	39	kon	_	_
41	sehr	sehr	A	ADV	_	42	adv	_	_
42	verehrten	verehren	V	VVFIN	_|Pl|Past|_	40	cj	_	_
43	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	Salmanassars	Salmanassars	N	NE	_|Gen|_	3	gmod	2	2
3	Palast	Palast	N	NN	Masc|Nom|Sg	4	subj	2	2
