1	Es	es	P	PPER	3|Sg|Neut|_	4	expl	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	uns	wir	P	PPER	1|Pl|_|Dat	4	objd	849	849
4	gelungen	gelingen	V	VVPP	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	Ihre	ihre	A	PPOSAT	Fem|_|Sg	7	det	848	848
7	Natur	Natur	N	NN	Fem|_|Sg	9	obja	_	_
8	zu	zu	P	PTKZU	_	9	part	_	_
9	spalten	spalten	V	VVINF	_	4	obji	_	_
10	.	.	$	$.	_	0	root	_	_

1	Derjenige	diejenige	P	PDS	Masc|Nom|Sg	9	subj	_	_
2	,	,	$	$,	_	0	root	_	_
3	den	die	P	PRELS	Masc|Acc|Sg	6	obja	_	_
4	wir	wir	P	PPER	1|Pl|_|Nom	7	subj	849	849
5	soeben	soeben	A	ADV	_	6	adv	_	_
6	gerüttelt	rütteln	V	VVPP	_	7	aux	_	_
7	haben	haben	V	VAFIN	1|Pl|Pres|_	1	rel	_	_
8	,	,	$	$,	_	0	root	_	_
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
10	die	die	A	ART	Def|Fem|Nom|Sg	12	det	850	850
11	andre	andre	A	ADJA	_|Fem|Nom|Sg|_	12	attr	850	850
12	Hälfte	Hälfte	N	NN	Fem|Nom|Sg	9	pred	850	850
13	Ihres	ihre	A	PPOSAT	Neut|Gen|Sg	14	det	850	850
14	Ichs	Ich	N	NN	Neut|Gen|Sg	12	gmod	_	_
15	,	,	$	$,	_	0	root	_	_
16	die	die	P	PRELS	Fem|Nom|Sg	19	subj	_	_
17	phantomhaft	phantomhaft	A	ADJD	Pos|	19	adv	_	_
18	leicht	leicht	A	ADJD	Pos|	19	pred	_	_
19	ist	sein	V	VAFIN	3|Sg|Pres|Ind	12	rel	_	_
20	und	und	K	KON	_	19	kon	_	_
21	als	als	K	KOKOM	_	28	kom	_	_
22	solche	solche	P	PIS	_|_|_	21	cj	_	_
23	eine	eine	A	ART	Indef|Fem|Nom|Sg	24	det	_	_
24	Reise	Reis	N	NN	Fem|Nom|Sg	29	subj	_	_
25	durch	durch	P	APPR	Acc	28	pp	_	_
26	den	die	A	ART	Def|Masc|Acc|Sg	27	det	_	_
27	Kosmos	Kosmos	N	NN	Masc|Acc|Sg	25	pn	_	_
28	machen	machen	V	VVINF	_	29	aux	_	_
29	kann	können	V	VMFIN	3|Sg|Pres|Ind	20	cj	_	_
30	.	.	$	$.	_	0	root	_	_
31	‹	‹	F	FM	_	0	root	_	_

1	Gestatten	gestatten	V	VVFIN	3|Pl|Pres|_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	848	848
3	,	,	$	$,	_	0	root	_	_
4	daß	daß	K	KOUS	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	0	root	843	843
6	mein	meine	A	PPOSAT	_|_|Sg	0	root	843	843
7	andres	andere	P	PIS	_|_|Sg	9	obja	_	_
8	Ich	ich	P	PPER	1|Sg|_|Nom	9	subj	843	843
9	berühre	berühren	V	VVFIN	1|Sg|Pres|_	0	root	_	_
10	!	!	$	$.	_	0	root	_	_

1	sagte	sagen	V	VVFIN	1|Sg|Past|_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	subj	843	843
3	dazu	dazu	P	PROAV	_	1	pp	_	_
4	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	4	koord	_	_
2	die	die	A	ART	Def|Masc|Nom|Pl	3	det	52	52
3	Herren	Herr	N	NN	Masc|Nom|Pl	4	subj	52	52
4	erklärten	erklären	V	VVFIN	3|Pl|Past|_	0	root	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	4	objd	843	843
6	,	,	$	$,	_	0	root	_	_
7	daß	daß	K	KOUS	_	0	root	_	_
8	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
9	unmöglich	unmöglich	A	ADJD	Pos|	10	pred	_	_
10	wäre	sein	V	VAFIN	_|Sg|Past|Subj	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	10	kon	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	843	843
14	bemerkte	bemerken	V	VVFIN	1|Sg|Past|_	12	cj	_	_
15	,	,	$	$,	_	0	root	_	_
16	daß	daß	K	KOUS	_	22	konj	_	_
17	meine	meine	A	PPOSAT	Fem|Nom|Pl	18	det	843	843
18	Hände	Hand	N	NN	Fem|Nom|Pl	22	subj	851	851
19	auf	auf	P	APPR	Dat	22	pp	_	_
20	dem	die	A	ART	Def|_|Dat|Sg	21	det	866	866
21	Rücken	Rücken	N	NN	_|Dat|Sg	19	pn	866	866
22	festlagen	festliegen	V	VVFIN	3|Pl|Past|Ind	14	objc	_	_
23	,	,	$	$,	_	0	root	_	_
24	als	als	K	KOKOM	_	25	konj	_	_
25	wären	sein	V	VAFIN	3|Pl|Past|Subj	22	neb	_	_
26	sie	sie	P	PPER	3|Pl|_|Nom	25	subj	851	851
27	angeklebt	ankleben	V	VVPP	_	25	aux	_	_
28	.	.	$	$.	_	0	root	_	_

1	Angebunden	anbinden	V	VVPP	_	2	aux	_	_
2	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
3	meine	meine	A	PPOSAT	Fem|Nom|Pl	4	det	843	843
4	Hände	Hand	N	NN	Fem|Nom|Pl	2	subj	_	_
5	nicht	nicht	P	PTKNEG	_	1	adv	_	_
6	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	843	843
2	wollte	wollen	V	VMFIN	1|Sg|Past|_	0	root	_	_
3	nun	nun	A	ADV	_	2	adv	_	_
4	noch	noch	A	ADV	_	2	adv	_	_
5	einmal	einmal	A	ADV	_	2	adv	_	_
6	mein	meine	A	PPOSAT	_|_|Sg	0	root	843	843
7	andres	andere	P	PIS	_|_|Sg	0	root	_	_
8	Ich	ich	P	PPER	1|Sg|_|Nom	0	root	843	843
9	deutlicher	deutlich	A	ADJD	Comp|	0	root	_	_
10	sehen	sehen	V	VVINF	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	843	843
14	sah	sehen	V	VVFIN	1|Sg|Past|Ind	12	cj	_	_
15	auch	auch	A	ADV	_	14	adv	_	_
16	für	für	P	APPR	Acc	14	pp	_	_
17	ein	eine	A	ART	Indef|_|_|Sg	19	det	_	_
18	paar	paar	A	PIDAT	Masc|Acc|Pl	19	attr	_	_
19	Augenblicke	Augenblick	N	NN	Masc|Acc|Pl	16	pn	_	_
20	ganz	ganz	A	ADV	_	21	adv	_	_
21	deutlich	deutlich	A	ADJD	Pos|	14	adv	_	_
22	,	,	$	$,	_	0	root	_	_
23	daß	daß	K	KOUS	_	30	konj	_	_
24	der	die	A	ART	Def|Masc|Nom|Sg	26	det	_	_
25	schlafende	schlafend	A	ADJA	Pos|Masc|Nom|Sg|Wk|<PPRES	26	attr	_	_
26	Mann	Mann	N	NN	Masc|Nom|Sg	30	subj	_	_
27	genau	genau	A	ADJD	Pos|	30	adv	_	_
28	das	die	A	ART	Def|Neut|_|Sg	29	det	852	852
29	Gesicht	Gesicht	N	NN	Neut|_|Sg	30	obja	852	852
30	hatte	haben	V	VAFIN	3|Sg|Past|Ind	14	objc	852	852
31	,	,	$	$,	_	0	root	852	852
32	das	die	P	PRELS	Neut|_|Sg	35	obja	852	852
33	ich	ich	P	PPER	1|Sg|_|Nom	35	subj	843	843
34	selber	selber	A	ADV	_	33	adv	_	_
35	habe	haben	V	VAFIN	1|Sg|Pres|_	29	rel	_	_
36	-	-	$	$(	_	0	root	_	_
37	auch	auch	A	ADV	_	39	adv	_	_
38	meine	meine	A	PPOSAT	_|_|_	39	det	843	843
39	Kleider	Kleid	N	NN	_|_|_	40	obja	_	_
40	erkannte	erkennen	V	VVFIN	1|Sg|Past|Ind	14	kon	_	_
41	ich	ich	P	PPER	1|Sg|_|Nom	40	subj	843	843
42	.	.	$	$.	_	0	root	_	_

1	Darauf	Darauf	P	PROAV	_	2	pp	_	_
2	wurde	werden	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	843	843
4	hinausgeführt	hinausführen	V	VVPP	_	2	aux	_	_
5	und	und	K	KON	_	4	kon	_	_
6	durch	durch	P	APPR	Acc	14	pp	_	_
7	eine	eine	A	ART	Indef|Fem|Acc|Sg	9	det	_	_
8	niedrige	niedrig	A	ADJA	Pos|Fem|Acc|Sg|_|	9	attr	_	_
9	Türe	Türe	N	NN	Fem|Acc|Sg	6	pn	_	_
10	in	in	P	APPR	Acc	14	objp	_	_
11	einen	eine	A	ART	Indef|Masc|Acc|Sg	13	det	853	853
12	länglichen	länglich	A	ADJA	Pos|Masc|Acc|Sg|_|	13	attr	853	853
13	Raum	Raum	N	NN	Masc|Acc|Sg	10	pn	853	853
14	geschoben	schieben	V	VVPP	_	5	cj	853	853
15	,	,	$	$,	_	0	root	853	853
16	in	in	P	APPR	Dat	21	objp	853	853
17	dem	die	P	PRELS	Masc|Dat|Sg	16	pn	853	853
18	sich	sie	P	PRF	3|_|_	21	obja	_	_
19	jener	jene	A	PDAT	Masc|Nom|Sg	20	det	854	854
20	Professor	Professor	N	NN	Masc|Nom|Sg	21	subj	854	854
21	befand	befinden	V	VVFIN	3|Sg|Past|Ind	13	rel	854	854
22	,	,	$	$,	_	0	root	854	854
23	der	die	P	PRELS	Masc|Nom|Sg	33	subj	854	854
24	schon	schon	A	ADV	_	33	adv	_	_
25	in	in	P	APPR	Dat	33	pp	_	_
26	den	die	A	ART	Def|Fem|Dat|Pl	28	det	_	_
27	unterirdischen	unterirdisch	A	ADJA	Pos|Fem|Dat|Pl|_|	28	attr	_	_
28	Höhlen	Höhle	N	NN	Fem|Dat|Pl	25	pn	_	_
29	nicht	nicht	P	PTKNEG	_	33	adv	_	_
30	von	von	P	APPR	_	33	objp	_	_
31	meiner	meine	A	PPOSAT	Fem|_|Sg	32	det	843	843
32	Seite	Seite	N	NN	Fem|_|Sg	30	pn	_	_
