1	Plusa	Plusa	N	NE	_|Nom|Sg	2	subj	134	134
2	hebt	heben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	mit	mit	P	APPR	Dat	2	pp	_	_
4	seiner	seine	A	PPOSAT	Fem|Dat|Sg	5	det	1	1
5	Rechten	Recht	N	NN	Fem|Dat|Sg	3	pn	_	_
6	ein	eine	A	ART	Indef|Masc|Nom|Sg	8	det	_	_
7	dickes	dick	A	ADJA	Pos|Neut|_|Sg|St|	8	attr	_	_
8	Stück	Stück	N	NN	Masc|_|Sg	2	obja	_	_
9	Schlangenhals	Schlangenhals	N	NN	Masc|_|Sg	8	app	_	_
10	empor	empor	A	ADV	_	2	adv	_	_
11	und	und	K	KON	_	2	kon	_	_
12	spricht	sprechen	V	VVFIN	3|Sg|Pres|Ind	11	cj	_	_
13	ernst	ernst	A	ADJD	Pos|	12	adv	_	_
14	also	also	A	ADV	_	12	adv	_	_
15	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Brüder	Bruder	N	NN	Masc|_|Pl	0	root	1152	1152
3	,	,	$	$,	_	0	root	_	_
4	wir	wir	P	PPER	1|Pl|_|Nom	5	subj	476	476
5	sind	sein	V	VAFIN	1|Pl|Pres|Ind	6	s	_	_
6	ächte	ächten	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
7	Geister	Geist	N	NN	Masc|Nom|Sg	6	subj	_	_
8	und	und	K	KON	_	6	kon	_	_
9	sind	sein	V	VAFIN	_|Pl|Pres|Ind	8	cj	_	_
10	niemals	niemals	A	ADV	_	9	adv	_	_
11	traurig	traurig	A	ADJD	Pos|	9	pred	_	_
12	wie	wie	K	KOKOM	_	9	kom	_	_
13	Menschen	Mensch	N	NN	Masc|_|_	12	cj	475	475
14	;	;	$	$.	_	0	root	_	_
15	eine	eine	A	ART	Indef|Fem|_|Sg	16	det	_	_
16	Thräne	Thräne	N	NN	Fem|_|Sg	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	wie	wie	P	PWAV	_	21	adv	_	_
19	sie	sie	P	PPER	3|Pl|_|Nom	21	subj	474	474
20	Menschen	Mensch	N	NN	Masc|_|_	21	obja	475	475
21	weinen	weinen	V	VVFIN	3|Pl|Pres|_	16	objc	_	_
22	,	,	$	$,	_	0	root	_	_
23	rann	rinnen	V	VVFIN	_|Sg|Past|Ind	21	kon	_	_
24	noch	noch	A	ADV	_	23	adv	_	_
25	nie	nie	A	ADV	_	23	adv	_	_
26	über	über	P	APPR	Acc	23	pp	_	_
27	unsre	unsre	A	PPOSAT	Fem|Acc|Pl	28	det	476	476
28	Wangen	Wange	N	NN	Fem|Acc|Pl	26	pn	_	_
29	-	-	$	$(	_	0	root	_	_
30	und	und	K	KON	_	23	kon	_	_
31	das	die	P	PDS	Neut|Nom|Sg	32	subj	_	_
32	wird	werden	V	VAFIN	3|Sg|Pres|Ind	30	cj	_	_
33	auch	auch	A	ADV	_	37	adv	_	_
34	in	in	P	APPR	_	37	pp	_	_
35	Ewigkeit	Ewigkeit	N	NN	Fem|_|Sg	34	pn	_	_
36	nicht	nicht	P	PTKNEG	_	37	adv	_	_
37	vorkommen	vorkommen	V	VVINF	_	32	aux	_	_
38	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	476	476
2	sind	sein	V	VAFIN	1|Pl|Pres|Ind	0	root	_	_
3	immer	immer	A	ADV	_	4	adv	_	_
4	gleich	gleich	A	ADJD	Pos|	2	adv	_	_
5	wieder	wieder	A	ADV	_	2	adv	_	_
6	lustig	lustig	A	ADJD	Pos|	2	pred	_	_
7	,	,	$	$,	_	0	root	_	_
8	auch	auch	A	ADV	_	9	adv	_	_
9	wenn	wenn	K	KOUS	_	0	root	_	_
10	uns	wir	P	PPER	1|Pl|_|_	0	root	476	476
11	mal	mal	A	ADV	_	10	adv	_	_
12	was	was	P	PWS	Neut|_|Sg	0	root	_	_
13	weh	weh	F	FM	_	0	root	_	_
14	that	that	F	FM	_	13	app	_	_
15	.	.	$	$.	_	0	root	_	_

1	Ihr	ihr	P	PPER	2|Pl|_|Nom	2	subj	_	_
2	habt	haben	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	477	477
4	weh	weh	F	FM	_	2	obja	_	_
5	gethan	gethan	F	FM	_	4	app	_	_
6	-	-	$	$(	_	0	root	_	_
7	doch	doch	K	KON	_	2	kon	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	477	477
9	bin	sein	V	VAFIN	1|Sg|Pres|Ind	7	cj	_	_
10	schon	schon	A	ADV	_	9	adv	_	_
11	wieder	wieder	A	ADV	_	9	adv	_	_
12	lustig	lustig	A	ADJD	Pos|	9	pred	_	_
13	.	.	$	$.	_	0	root	_	_

1	Sagt	sagen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
2	mir	ich	P	PPER	1|Sg|_|Dat	1	objd	477	477
3	drum	drum	P	PROAV	_	1	pp	_	_
4	,	,	$	$,	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	477	477
6	bin	sein	V	VAFIN	1|Sg|Pres|Ind	1	s	_	_
7	ja	ja	A	ADV	_	6	adv	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	dumm	dumm	A	ADJD	Pos|	6	pred	_	_
10	,	,	$	$,	_	0	root	_	_
11	warum	warum	P	PWAV	_	12	adv	_	_
12	sollen	sollen	V	VMFIN	3|Pl|Pres|_	6	objc	_	_
13	die	die	A	ART	Def|Neut|Nom|Pl	14	det	66	66
14	Weiber	Weib	N	NN	Neut|Nom|Pl	12	subj	66	66
15	keine	keine	A	PIAT	Fem|_|Sg	16	det	_	_
16	Freiheit	Freiheit	N	NN	Fem|_|Sg	17	obja	_	_
17	haben	haben	V	VAINF	_	12	aux	_	_
18	-	-	$	$(	_	0	root	_	_
19	wie	wie	K	KOKOM	_	0	root	_	_
20	die	die	A	ART	Def|Masc|_|Pl	21	det	61	61
21	Männer	Mann	N	NN	Masc|_|Pl	19	cj	61	61
22	?	?	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|_|Sg	2	det	_	_
2	hab	hab	A	ADJA	Neut|_|Sg	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	477	477
5	immer	immer	A	ADV	_	7	adv	_	_
6	noch	noch	A	ADV	_	7	adv	_	_
7	nicht	nicht	P	PTKNEG	_	8	adv	_	_
8	begriffen	begreifen	V	VVPP	_	0	root	_	_
9	.	.	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_

1	Frimm	Frimm	N	NE	_|Nom|Sg	2	subj	131	131
2	schluckt	schlucken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	hastig	hastig	A	ADJD	Pos|	2	adv	_	_
4	einen	eine	A	ART	Indef|Masc|Acc|Sg	5	det	_	_
5	Löffel	Löffel	N	NN	Fem|Acc|Sg	2	obja	_	_
6	Unkentunke	Unkentunke	N	NN	Fem|Acc|Sg	5	app	_	_
7	runter	runter	P	PTKVZ	_	2	avz	_	_
8	und	und	K	KON	_	2	kon	_	_
9	erwidert	erwidern	V	VVFIN	_|_|Pres|_	8	cj	_	_
10	grimmig	grimmig	A	ADJD	Pos|	9	adv	_	_
11	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Aller	alle	A	PIDAT	Masc|Nom|Sg	3	det	_	_
3	Spektakel	Spektakel	N	NN	Masc|Nom|Sg	4	subj	_	_
4	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	doch	doch	A	ADV	_	4	adv	_	_
6	gewöhnlich	gewöhnlich	A	ADJD	Pos|	4	adv	_	_
7	nur	nur	A	ADV	_	4	adv	_	_
8	von	von	P	APPR	Dat	4	objp	_	_
9	den	die	A	ART	Def|Fem|Dat|Pl	10	det	44	44
10	Frauen	Frau	N	NN	Fem|Dat|Pl	8	pn	44	44
11	aus	aus	P	PTKVZ	_	4	avz	_	_
12	-	-	$	$(	_	0	root	_	_
13	diese	diese	P	PDS	_|Nom|Pl	14	subj	_	_
14	bringen	bringen	V	VVFIN	3|Pl|Pres|_	4	kon	_	_
15	allen	alle	A	PIDAT	Masc|Acc|Sg	16	det	_	_
16	Zank	Zank	N	NN	Masc|Acc|Sg	14	obja	_	_
17	und	und	K	KON	_	16	kon	_	_
18	Unfrieden	Unfriede	N	NN	Masc|Acc|_	17	cj	_	_
19	in	in	P	APPR	Acc	14	objp	_	_
20	die	die	A	ART	Def|Fem|Acc|Sg	21	det	155	155
