1	Bagdads	Bagdad	N	NE	Neut|Gen|Sg	3	gmod	4	4
2	berühmte	berühmt	A	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	915	915
3	Köchin	Köchin	N	NN	Fem|Nom|Sg	4	subj	915	915
4	bat	bitten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	ihren	ihre	A	PPOSAT	_|_|_	7	det	915	915
6	berühmten	berühmt	A	ADJA	Pos|_|_|_|_|	7	attr	_	_
7	Dichter	Dichter	N	NN	_|_|_	4	obja	_	_
8	fußfällig	fußfällig	A	ADJD	Pos|	4	adv	_	_
9	um	um	P	APPR	_	4	objp	_	_
10	Verzeihung	Verzeihung	N	NN	Fem|_|Sg	9	pn	1394	1394
11	-	-	$	$(	_	0	root	_	_
12	sie	sie	P	PPER	3|Sg|Fem|Nom	13	subj	915	915
13	flehte	flehen	V	VVFIN	3|Sg|Past|_	4	kon	_	_
14	ihn	er	P	PPER	3|Sg|Masc|Acc	13	obja	5	5
15	an	an	P	PTKVZ	_	13	avz	_	_
16	-	-	$	$(	_	0	root	_	_
17	weinte	weinen	V	VVFIN	_|Sg|Past|_	13	kon	_	_
18	dabei	dabei	P	PROAV	_	17	pp	_	_
19	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
2	die	die	A	ART	Def|_|Nom|_	3	det	62	62
3	Tarub	Tarub	N	NN	_|Nom|_	5	subj	62	62
4	nie	nie	A	ADV	_	5	adv	_	_
5	getan	tun	V	VVPP	_	0	root	_	_
6	-	-	$	$(	_	0	root	_	_
7	das	die	P	PDS	Neut|Nom|Sg	8	subj	_	_
8	tat	tun	V	VVFIN	3|Sg|Past|Ind	5	par	_	_
9	sie	sie	P	PPER	3|_|_|_	8	obja	62	62
10	jetzt	jetzt	A	ADV	_	8	adv	_	_
11	-	-	$	$(	_	0	root	_	_
12	sie	sie	P	PPER	3|Sg|Fem|Nom	13	subj	915	915
13	bettelte	betteln	V	VVFIN	3|Sg|Past|_	8	kon	_	_
14	um	um	P	APPR	Acc	13	pp	_	_
15	seine	seine	A	PPOSAT	_|Acc|_	16	det	5	5
16	Liebe	Liebe	N	NN	_|Acc|_	14	pn	_	_
17	-	-	$	$(	_	0	root	_	_
18	und	und	K	KON	_	0	root	_	_
19	erzwang	erzwingen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
20	sie	sie	P	PPER	3|Sg|Fem|Nom	19	subj	915	915
21	sich	sie	P	PRF	3|_|_	19	obja	_	_
22	schließlich	schließlich	A	ADV	_	19	adv	_	_
23	-	-	$	$(	_	0	root	_	_
24	nicht	nicht	P	PTKNEG	_	25	adv	_	_
25	grade	graden	V	VVFIN	_|Sg|Pres|_	19	kon	_	_
26	gewaltsam	gewaltsam	A	ADJD	Pos|	25	adv	_	_
27	-	-	$	$(	_	0	root	_	_
28	aber	aber	K	KON	_	26	kon	_	_
29	so	so	A	ADV	_	30	adv	_	_
30	ähnlich	ähnlich	A	ADJD	Pos|	28	cj	_	_
31	.	.	$	$.	_	0	root	_	_

1	Safurn	Safurn	F	FM	_	0	root	_	_
2	überliefs	überliefs	F	FM	_	1	app	_	_
3	wie	wie	K	KOKOM	_	2	kom	_	_
4	kaltes	kalt	A	ADJA	Pos|Neut|_|Sg|St|	5	attr	_	_
5	Wasser	Wasser	N	NN	Neut|_|Sg	3	cj	_	_
6	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	5	5
2	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
3	an	an	P	APPR	Acc	6	objp	_	_
4	Saids	Saids	N	NE	Fem|Gen|Sg	5	gmod	480	480
5	Mehlsäcke	Mehlsack	N	NN	Masc|Acc|Pl	3	pn	480	480
6	denken	denken	V	VVINF	_	2	aux	480	480
7	,	,	$	$,	_	0	root	480	480
8	die	die	P	PRELS	Fem|Nom|Sg	19	subj	480	480
9	einst	einst	A	ADV	_	19	adv	_	_
10	in	in	P	APPR	_	19	pp	_	_
11	Tarubs	Tarubs	N	NE	_|Gen|_	12	gmod	401	401
12	Küche	Küche	N	NN	Fem|_|Sg	10	pn	_	_
13	einen	eine	A	ART	Indef|Masc|Acc|Sg	16	det	_	_
14	so	so	A	ADV	_	15	adv	_	_
15	drolligen	drollig	A	ADJA	Pos|Masc|Acc|Sg|_|	16	attr	_	_
16	Reiz	Reiz	N	NN	Masc|Acc|Sg	19	obja	_	_
17	in	in	P	APPR	Dat	19	pp	_	_
18	ihm	er	P	PPER	3|Sg|_|Dat	17	pn	5	5
19	erweckt	erwecken	V	VVFIN	3|Sg|Pres|Ind	4	rel	_	_
20	...	...	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	909	909
2	Vollmond	Vollmond	N	NN	Masc|Nom|Sg	3	subj	909	909
3	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	seiner	seine	A	PPOSAT	Fem|Dat|Sg	5	det	62	62
5	Tarub	Tarub	N	NN	Fem|Dat|Sg	3	objd	62	62
6	hell	hell	A	ADJD	Pos|	3	pred	_	_
7	ins	in	P	APPRART	Acc	3	pp	_	_
8	Gesicht	Gesicht	N	NN	Neut|Acc|Sg	7	pn	51	51
9	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	2	det	918	918
2	Oleanderbäume	Oleanderbaum	N	NN	Masc|Nom|Pl	3	subj	918	918
3	dufteten	duften	V	VVFIN	3|Pl|Past|_	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	hörte	hören	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	dann	dann	A	ADV	_	2	adv	_	_
4	Stimmen	Stimme	N	NN	_|_|_	2	obja	_	_
5	in	in	P	APPR	Dat	2	pp	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	916	916
7	Nähe	Nähe	N	NN	Fem|Dat|Sg	5	pn	916	916
8	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	die	die	A	ART	Def|Fem|Nom|Sg	3	det	62	62
3	Tarub	Tarub	N	NN	Fem|Nom|Sg	4	subj	62	62
4	eilte	eilen	V	VVFIN	3|Sg|Past|_	1	cj	_	_
5	hurtig	hurtig	A	ADJD	Pos|	4	adv	_	_
6	davon	davon	P	PROAV	_	4	objp	_	_
7	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	dem	die	A	ART	Def|_|Dat|Sg	3	det	42	42
3	Safur	Safur	N	NN	_|Dat|Sg	4	objd	42	42
4	war	sein	V	VAFIN	_|Sg|Past|Ind	1	cj	_	_
5	so	so	A	ADV	_	4	adv	_	_
6	zu	zu	P	APPR	Dat	4	pp	_	_
7	Mute	Mut	N	NN	Masc|Dat|Sg	6	pn	434	434
8	-	-	$	$(	_	0	root	_	_
9	wie	wie	K	KOKOM	_	14	kom	_	_
10	einem	eine	A	ART	Indef|Neut|Dat|Sg	11	det	_	_
11	Weibe	Weib	N	NN	Neut|Dat|Sg	9	cj	_	_
12	zu	zu	P	APPR	Dat	11	pp	_	_
13	Mute	Mut	N	NN	Masc|Dat|Sg	12	pn	917	917
14	ist	sein	V	VAFIN	3|Sg|Pres|Ind	4	kon	917	917
15	,	,	$	$,	_	0	root	917	917
16	dem	die	P	PRELS	Masc|Dat|Sg	20	objd	917	917
17	ein	eine	A	ART	Indef|_|_|Sg	19	det	_	_
18	Fremder	fremd	A	ADJA	Pos|Masc|Nom|Sg|St|	19	attr	_	_
19	Gewalt	Gewalt	N	NN	_|Nom|Sg	20	subj	_	_
20	antat	antun	V	VVFIN	3|Sg|Past|Ind	13	rel	_	_
21	.	.	$	$.	_	0	root	_	_

1	Safur	Safur	N	NE	_|Nom|Sg	2	subj	42	42
2	lag	liegen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	unter	unter	P	APPR	Dat	2	objp	_	_
4	den	die	A	ART	Def|Masc|Dat|Pl	5	det	918	918
5	Oleanderbäumen	Oleanderbaum	N	NN	Masc|Dat|Pl	3	pn	918	918
6	,	,	$	$,	_	0	root	_	_
7	starrte	starren	V	VVFIN	_|Sg|Past|_	2	kon	_	_
8	in	in	P	APPR	Acc	7	pp	_	_
9	den	die	A	ART	Def|Masc|Acc|Sg	10	det	909	909
10	Vollmond	Vollmond	N	NN	Masc|Acc|Sg	8	pn	909	909
11	und	und	K	KON	_	7	kon	_	_
12	träumte	träumen	V	VVFIN	_|Sg|Past|_	11	cj	_	_
13	-	-	$	$(	_	0	root	_	_
14	von	von	P	APPR	_	12	pp	_	_
15	tiefer	tief	A	ADJA	Pos|Fem|_|Sg|St|	16	attr	_	_
16	Einsamkeit	Einsamkeit	N	NN	Fem|_|Sg	14	pn	_	_
17	-	-	$	$(	_	0	root	_	_
18	von	von	P	APPR	Dat	12	pp	_	_
19	einem	eine	A	ART	Indef|Neut|Dat|Sg	20	det	919	919
20	Weibe	Weib	N	NN	Neut|Dat|Sg	18	pn	919	919
21	,	,	$	$,	_	0	root	919	919
22	das	die	P	PRELS	Neut|Nom|Sg	24	subj	919	919
23	nirgendwo	nirgendwo	A	ADV	_	24	adv	_	_
24	lebt	leben	V	VVFIN	3|Sg|Pres|Ind	20	rel	_	_
25	,	,	$	$,	_	0	root	_	_
26	das	die	P	PRELS	Neut|_|Sg	0	root	919	919
27	er	er	P	PPER	3|Sg|Masc|Nom	30	subj	42	42
28	sich	sie	P	PRF	3|_|_	30	obja	_	_
29	nur	nur	A	ADV	_	30	adv	_	_
30	denkt	denken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
31	-	-	$	$(	_	0	root	_	_
32	von	von	P	APPR	_	30	pp	_	_
33	einer	eine	A	ART	Indef|Fem|_|Sg	35	det	920	920
34	andern	andern	A	ADJA	_|Fem|_|Sg|_	35	attr	920	920
35	Welt	Welt	N	NN	Fem|_|Sg	32	pn	920	920
36	,	,	$	$,	_	0	root	920	920
37	in	in	P	APPR	Dat	43	pp	920	920
