1	Plusa	Plusa	N	NE	_|Nom|Sg	2	subj	134	134
2	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	mit	mit	P	APPR	Dat	2	pp	_	_
4	seiner	seine	A	PPOSAT	Fem|Dat|Sg	7	det	1	1
5	klaren	klar	A	ADJA	Pos|Fem|Dat|Sg|Wk|	7	attr	_	_
6	lauten	laut	A	ADJA	Pos|Fem|Dat|Sg|Wk|	7	attr	_	_
7	Stimme	Stimme	N	NN	Fem|Dat|Sg	3	pn	_	_
8	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Dieser	diese	A	PDAT	_|_|_	3	det	49	49
3	Harun	Harun	N	NN	_|_|_	0	root	49	49
4	!	!	$	$.	_	0	root	_	_

1	Dieser	diese	A	PDAT	Masc|Nom|Sg	2	det	235	235
2	Mensch	Mensch	N	NN	Masc|Nom|Sg	0	root	235	235
3	,	,	$	$,	_	0	root	235	235
4	der	die	P	PRELS	Masc|Nom|Sg	8	subj	235	235
5	die	die	A	ART	Def|Fem|_|Sg	6	det	_	_
6	Sitte	Sitte	N	NN	Fem|_|Sg	7	obja	_	_
7	durchbrechen	durchbrechen	V	VVINF	_	8	aux	_	_
8	will	wollen	V	VMFIN	3|Sg|Pres|Ind	2	rel	_	_
9	!	!	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
2	der	die	A	ART	Def|_|_|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	5	obja	_	_
4	blos	blos	N	NE	_|Nom|Sg	5	subj	357	357
5	einbildet	einbilden	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	!	!	$	$.	_	0	root	_	_

1	Unglaublich	unglaublich	A	ADJD	Pos|	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	Jugendliche	jugendlich	A	ADJA	Pos|Fem|_|Sg|_|	2	attr	_	_
2	Schwärmerei	Schwärmerei	N	NN	Fem|_|Sg	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	Unsittliche	unsittlich	A	ADJA	Pos|Fem|_|Sg|_|	2	attr	_	_
2	Begierde	Begierde	N	NN	Fem|_|Sg	0	root	_	_
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	Hienach	Hienach	N	NE	_	0	root	_	_
2	ergreift	ergreifen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	5	det	133	133
4	ungestüme	ungestüm	A	ADJA	Pos|Masc|Nom|Sg|Wk|	5	attr	133	133
5	Knaff	Knaff	N	NN	Masc|Nom|Sg	2	subj	133	133
6	abermals	abermals	A	ADV	_	2	adv	_	_
7	das	die	A	ART	Def|Neut|_|Sg	8	det	236	236
8	Wort	Wort	N	NN	Neut|_|Sg	2	obja	236	236
9	:	\:	$	$.	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	Und	und	K	KON	_	0	root	_	_
12	diese	diese	A	PDAT	Fem|_|Sg	14	det	_	_
13	herrliche	herrlich	A	ADJA	Pos|Fem|_|Sg|_|	14	attr	_	_
14	Harmonie	Harmonie	N	NN	Fem|_|Sg	11	cj	_	_
15	der	die	A	ART	Def|Fem|Gen|Pl	17	det	_	_
16	liebenden	liebend	A	ADJA	Pos|Fem|Gen|Pl|Wk|<PPRES	17	attr	_	_
17	Seelen	Seele	N	NN	Fem|Gen|Pl	14	gmod	_	_
18	!	!	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	6	adv	_	_
2	sie	sie	P	PPER	3|Pl|_|Nom	6	subj	10	10
3	sich	sie	P	PRF	3|_|_	6	obja	_	_
4	gegenseitig	gegenseitig	A	ADJD	Pos|	5	attr	_	_
5	Alles	alle	P	PIS	_|_|Sg	6	adv	_	_
6	nachmachen	nachmachen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
7	!	!	$	$.	_	0	root	_	_

1	Köstlich	köstlich	A	ADJD	Pos|	2	pred	_	_
2	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	s	s	P	PPER	_|Sg|_|Nom	2	subj	1	1
5	!	!	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	Harun	Harun	N	NE	_|Nom|Sg	3	subj	49	49
3	liebt	lieben	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
4	die	die	A	ART	Def|_|_|_	5	det	1323	1323
5	Beiden	Beiden	N	NN	_|_|_	3	obja	1323	1323
6	!	!	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	wahrscheinlich	wahrscheinlich	A	ADJD	Pos|	9	adv	_	_
4	auch	auch	A	ADV	_	9	adv	_	_
5	›	›	F	FM	_|Nom|_	9	pred	_	_
6	freie	frei	A	ADJA	Pos|_|Nom|_|_|	7	attr	_	_
7	Liebe	Liebe	N	NN	_|Nom|_	5	app	_	_
8	‹	‹	N	NE	_|Nom|_	7	app	_	_
9	sein	sein	V	VAINF	_	2	aux	_	_
10	.	.	$	$.	_	0	root	_	_

1	Europäer	Europäer	N	NN	Masc|_|_	3	vok	189	189
2	,	,	$	$,	_	0	root	_	_
3	passt	passen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
4	auf	auf	P	PTKVZ	_	3	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	dieses	diese	A	PDAT	Neut|Nom|Sg	7	det	237	237
7	Stück	Stück	N	NN	Neut|Nom|Sg	8	subj	237	237
8	wird	werden	V	VAFIN	3|Sg|Pres|Ind	3	kon	_	_
9	Euch	ihr	P	PPER	2|Pl|_|Dat	8	objd	238	238
10	jede	jede	A	PIDAT	Fem|_|Sg	11	det	763	763
11	Art	Art	N	NN	Fem|_|Sg	8	obja	763	763
12	von	von	P	APPR	_	11	pp	763	763
13	›	›	N	NE	_|_|_	12	pn	239	239
14	freier	frei	A	ADJA	Pos|Fem|Gen|Sg|St|	15	attr	360	360
15	Liebe	Liebe	N	NN	Fem|Gen|Sg	13	gmod	360	360
16	‹	‹	N	NE	Fem|Gen|Sg	15	app	239	239
17	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
18	für	für	P	APPR	Acc	0	root	_	_
19	alle	alle	A	PIDAT	_|_|_	20	det	_	_
20	Mal	Mal	N	NN	Neut|Acc|Sg	18	pn	_	_
21	vergällen	vergällen	V	VVINF	_	0	root	_	_
22	.	.	$	$.	_	0	root	_	_

1	Ihr	ihr	P	PPER	2|Pl|_|Nom	2	subj	238	238
2	sollt	sollen	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
3	endlich	endlich	A	ADJD	Pos|	9	adv	_	_
4	mal	mal	A	ADV	_	9	adv	_	_
