1	Rechts	Recht	N	NN	Neut|Gen|Sg	0	root	163	163
2	und	und	K	KON	_	0	root	_	_
3	links	links	A	ADV	_	4	adv	_	_
4	vom	von	P	APPRART	Dat	6	pp	_	_
5	Chalifen	Chalifen	N	NN	_|Dat|_	4	pn	_	_
6	liegen	liegen	V	VVFIN	_|Pl|Pres|_	2	cj	_	_
7	an	an	P	APPR	Acc	6	pp	_	_
8	die	die	A	ART	Def|Neut|Acc|Pl	10	det	_	_
9	hundert	hundert	C	CARD	_	10	attr	_	_
10	Weiber	Weib	N	NN	Neut|Acc|Pl	7	pn	_	_
11	herum	herum	P	PTKVZ	_	6	avz	_	_
12	-	-	$	$(	_	0	root	_	_
13	schwarze	schwarz	A	ADJA	Pos|_|_|_|_|	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	braune	braun	A	ADJA	Pos|_|_|_|_|	13	kon	_	_
16	,	,	$	$,	_	0	root	_	_
17	gelbe	gelb	A	ADJA	Pos|_|_|_|_|	15	kon	_	_
18	und	und	K	KON	_	0	root	_	_
19	weisse	weissen	V	VVFIN	_|Sg|Pres|_	18	cj	_	_
20	-	-	$	$(	_	0	root	_	_
21	in	in	P	APPR	Dat	19	pp	_	_
22	bunten	bunt	A	ADJA	Pos|Neut|Dat|Pl|_|	24	attr	_	_
23	seidenen	seiden	A	ADJA	Pos|Neut|Dat|Pl|_|	24	attr	_	_
24	Gewändern	Gewand	N	NN	Neut|Dat|Pl	21	pn	_	_
25	.	.	$	$.	_	0	root	_	_

1	Alle	alle	P	PIS	_|Nom|Pl	2	subj	_	_
2	liegen	liegen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	auf	auf	P	APPR	Dat	2	pp	_	_
4	weissen	weiss	A	ADJA	Pos|Neut|Dat|Pl|_|	5	attr	_	_
5	Fellen	Fell	N	NN	Neut|Dat|Pl	3	pn	_	_
6	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	2	det	140	140
2	Sklaven	Sklave	N	NN	Masc|Nom|Pl	3	subj	140	140
3	stehen	stehen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	abseits	abseits	A	ADJD	_	5	adv	_	_
5	in	in	P	APPR	Dat	3	pp	_	_
6	gemessener	gemessen	A	ADJA	Pos|Fem|Dat|Sg|St|	7	attr	_	_
