1	Münchhausen	Münchhausen	N	NE	Neut|Nom|Sg	2	subj	1	1
2	empfing	empfangen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	zudem	zudem	P	PROAV	_	2	pp	_	_
4	in	in	P	APPR	Dat	2	pp	_	_
5	einem	eine	A	ART	Indef|Masc|Dat|Sg	6	det	894	894
6	Glassaale	Glassaal	N	NN	Masc|Dat|Sg	4	pn	894	894
7	,	,	$	$,	_	0	root	894	894
8	der	die	P	PRELS	Masc|Nom|Sg	10	subj	894	894
9	größer	groß	A	ADJD	Comp|	10	pred	_	_
10	war	sein	V	VAFIN	3|Sg|Past|Ind	6	rel	_	_
11	als	als	K	KOKOM	_	10	kom	_	_
12	der	die	A	ART	Def|Masc|Nom|Sg	13	det	_	_
13	Dom	Dom	N	NN	Masc|Nom|Sg	11	cj	_	_
14	zu	zu	P	APPR	Dat	2	pp	_	_
15	Köln	Köln	N	NE	Neut|Dat|Sg	14	pn	_	_
16	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	da	da	K	KOUS	_	16	konj	_	_
3	in	in	P	APPR	Dat	16	pp	_	_
4	diesem	diese	A	PDAT	Masc|Dat|Sg	5	det	_	_
5	Riesensaal	Riesensaal	N	NN	Masc|Dat|Sg	3	pn	_	_
6	alle	alle	A	PIDAT	Fem|Nom|Pl	7	det	_	_
7	Wände	Wand	N	NN	Fem|Nom|Pl	16	subj	_	_
8	und	und	K	KON	_	7	kon	_	_
9	die	die	A	ART	Def|Fem|Nom|Pl	10	det	895	895
10	Decken	Decke	N	NN	Fem|Nom|Pl	8	cj	895	895
11	nur	nur	A	ADV	_	16	adv	_	_
12	aus	aus	P	APPR	Dat	16	objp	_	_
13	Stahl	Stahl	N	NN	Masc|Dat|Sg	12	pn	_	_
14	und	und	K	KON	_	13	kon	_	_
15	Glas	Glas	N	NN	Neut|Dat|Sg	14	cj	281	281
16	bestanden	bestehen	V	VVFIN	3|Pl|Past|Ind	19	neb	_	_
17	,	,	$	$,	_	0	root	_	_
18	so	so	A	ADV	_	19	adv	_	_
19	wirkte	wirken	V	VVFIN	3|Sg|Past|_	1	cj	_	_
20	das	die	A	ART	Def|Neut|Nom|Sg	21	det	607	607
21	Ganze	Ganze	N	NN	Neut|Nom|Sg	19	subj	607	607
22	sehr	sehr	A	ADV	_	23	adv	_	_
23	bald	bald	A	ADV	_	19	adv	_	_
24	so	so	A	ADV	_	25	adv	_	_
25	religiös	religiös	A	ADJD	Pos|	19	pred	_	_
26	,	,	$	$,	_	0	root	_	_
27	daß	daß	K	KOUS	_	35	konj	_	_
28	ein	eine	A	ART	Indef|Neut|Nom|Sg	30	det	_	_
