1	Zwanzig	zwanzig	C	CARD	_	2	attr	_	_
2	Jahre	Jahr	N	NN	Neut|_|Pl	3	zeit	_	_
3	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	472	472
5	an	an	P	APPR	Dat	8	pp	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	31	31
7	Geschichte	Geschichte	N	NN	Fem|Dat|Sg	5	pn	31	31
8	gearbeitet	arbeiten	V	VVPP	_	3	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	3	koord	_	_
2	mir	ich	P	PPER	1|Sg|_|Dat	3	objd	472	472
3	tut	tun	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	nicht	nicht	P	PTKNEG	_	3	adv	_	_
6	leid	leid	P	PTKVZ	_	3	avz	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	0	root	472	472
10	der	die	A	ART	Def|Fem|Dat|Sg	11	det	18	18
11	Sache	Sache	N	NN	Fem|Dat|Sg	15	objd	18	18
12	so	so	A	ADV	_	13	adv	901	901
13	viel	viel	A	PIDAT	Fem|Nom|Sg	14	det	901	901
14	Zeit	Zeit	N	NN	Fem|Nom|Sg	16	subj	901	901
15	gewidmet	widmen	V	VVPP	_	16	aux	_	_
16	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
17	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	472	472
2	halte	halten	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	dieses	diese	A	PDAT	Neut|_|Sg	4	det	470	470
4	Blumenstück	Blumenstück	N	NN	Neut|_|Sg	2	obja	470	470
5	für	für	P	APPR	Acc	2	objp	_	_
6	mein	meine	A	PPOSAT	Neut|Acc|Sg	7	det	472	472
7	Bestes	Bestes	N	NN	Neut|Acc|Sg	5	pn	_	_
8	.	.	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	380	380
4	Nabob	Nabob	N	NN	Masc|Nom|Sg	2	subj	380	380
5	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	0	root	472	472
3	auch	auch	A	ADV	_	2	adv	_	_
4	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	0	root	472	472
2	auch	auch	A	ADV	_	1	adv	_	_
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Na	Na	I	ITJ	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	dann	dann	A	ADV	_	5	adv	_	_
5	haben	haben	V	VAFIN	_|Pl|Pres|_	0	root	_	_
6	Sie	sie	P	PPER	3|_|_|_	5	obja	62	62
7	ja	ja	A	ADV	_	5	adv	_	_
8	«	«	$	$(	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	sagte	sagen	V	VVFIN	1|Sg|Past|_	7	par	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	472	472
12	,	,	$	$,	_	0	root	_	_
13	»	»	$	$(	_	0	root	_	_
14	was	was	P	PRELS	Neut|_|Sg	17	obja	_	_
15	Sie	sie	P	PPER	3|Pl|_|Nom	18	subj	_	_
16	immer	immer	A	ADV	_	17	adv	_	_
17	gesucht	suchen	V	VVPP	_	18	aux	_	_
18	haben	haben	V	VAFIN	3|Pl|Pres|_	5	subjc	_	_
19	,	,	$	$,	_	0	root	_	_
20	endlich	endlich	A	ADJD	Pos|	21	adv	_	_
21	gefunden	finden	V	VVPP	_	18	neb	_	_
22	.	.	$	$.	_	0	root	_	_
23	«	«	$	$(	_	0	root	_	_

1	Weller	Weller	N	NN	_|Nom|Sg	2	subj	242	242
2	machte	machen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	noch	noch	A	ADV	_	2	adv	_	_
4	darauf	darauf	P	PROAV	_	2	objp	_	_
5	aufmerksam	aufmerksam	A	ADJD	Pos|	2	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	daß	daß	K	KOUS	_	16	konj	_	_
8	auch	auch	A	ADV	_	16	adv	_	_
9	auf	auf	P	APPR	Dat	16	pp	_	_
10	der	die	A	ART	Def|Fem|Dat|Sg	11	det	_	_
11	Oberfläche	Oberfläche	N	NN	Fem|Dat|Sg	9	pn	_	_
12	seiner	seine	A	PPOSAT	Fem|Gen|Sg	13	det	242	242
13	Sonne	Sonne	N	NN	Fem|Gen|Sg	11	gmod	_	_
14	Blumengebilde	Blumengebilde	N	NN	Neut|Nom|Pl	16	subj	_	_
15	sichtbar	sichtbar	A	ADJD	Pos|	16	pred	_	_
16	würden	werden	V	VAFIN	3|Pl|Past|Subj	2	objc	_	_
17	.	.	$	$.	_	0	root	_	_

1	Seine	seine	A	PPOSAT	Fem|Nom|Sg	2	det	242	242
2	Sonne	Sonne	N	NN	Fem|Nom|Sg	3	subj	_	_
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	selbstredend	selbstredend	A	ADJD	Pos|<PPRES	3	adv	_	_
5	auch	auch	A	ADV	_	3	adv	_	_
6	eine	eine	A	ART	Indef|Fem|Nom|Sg	8	det	_	_
7	andre	andre	A	ADJA	_|Fem|Nom|Sg|_	8	attr	_	_
8	Sonne	Sonne	N	NN	Fem|Nom|Sg	3	pred	_	_
9	als	als	K	KOKOM	_	0	root	_	_
10	die	die	A	ART	Def|_|_|_	0	root	_	_
11	uns	wir	P	PPER	1|Pl|_|_	12	obja	_	_
12	bekannte	bekennen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
13	.	.	$	$.	_	0	root	_	_

1	Flora	Flora	N	NE	Fem|Nom|Sg	2	subj	343	343
2	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	ärgerlich	ärgerlich	A	ADJD	Pos|	2	adv	_	_
4	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Lieber	lieb	A	ADJA	Pos|Masc|_|_|St|	3	attr	_	_
3	Großonkel	Großonkel	N	NN	Masc|_|_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	343	343
6	glaube	glauben	V	VVFIN	1|Sg|Pres|_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	Du	du	P	PPER	2|Sg|_|Nom	9	subj	474	474
9	wirst	werden	V	VAFIN	2|Sg|Pres|Ind	6	s	_	_
10	demnächst	demnächst	A	ADV	_	16	adv	_	_
11	auch	auch	A	ADV	_	16	adv	_	_
12	die	die	A	ART	Def|Masc|_|Pl	13	det	473	473
13	Elefanten	Elefant	N	NN	Masc|_|Pl	16	obja	473	473
14	in	in	P	APPR	_	16	objp	_	_
