1	Na	Na	ITJ	ITJ	_	0	root	_	-
2	ja	ja	PTKANT	PTKANT	_	0	root	_	-
3	,	,	$,	$,	_	0	root	_	-
4	auch	auch	ADV	ADV	_	6	adv	_	-
5	die	die	ART	ART	Def|_|Nom|Pl	6	det	_	-
6	Erwachsenen	Erwachsene	N	NN	_|Nom|Pl	7	subj	_	-
7	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	-
8	ja	ja	ADV	ADV	_	7	adv	_	-
9	nicht	nicht	PTKNEG	PTKNEG	_	7	adv	_	-
10	alle	alle	ART	PIDAT	_|_|_	12	det	_	-
11	dasselbe	dieselbe	ART	PDAT	Neut|_|Sg	12	det	_	-
12	Zeitgefühl	Zeitgefühl	N	NN	Neut|_|Sg	7	obja	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Das	die	PRO	PDS	Neut|Nom|Sg	2	subj	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	für	für	PREP	APPR	Acc	2	pp	_	-
4	jeden	jede	ART	PIDAT	Masc|Acc|Sg	5	det	_	-
5	Menschen	Mensch	N	NN	Masc|Acc|Sg	3	pn	_	-
6	total	total	ADV	ADJD	Pos|	2	adv	_	-
7	anders	anders	ADV	ADV	_	2	pred	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
2	war	sein	V	VAFIN	1|Sg|Past|Ind	0	root	_	-
3	zum	zu	PREP	APPRART	Dat	2	pp	_	-
4	Beispiel	Beispiel	N	NN	Neut|Dat|Sg	3	pn	_	-
5	letzte	letzte	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	6	attr	_	-
6	Woche	Woche	N	NN	Fem|Nom|Sg	2	pred	_	-
7	mit	mit	PREP	APPR	Dat	6	pp	_	-
8	meiner	meine	ART	PPOSAT	Fem|Dat|Sg	9	det	_	(0)
9	Freundin	Freundin	N	NN	Fem|Dat|Sg	7	pn	_	-
10	im	in	PREP	APPRART	Dat	9	pp	_	-
11	Kino	Kino	N	NN	Neut|Dat|Sg	10	pn	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
2	fand	finden	V	VVFIN	1|Sg|Past|Ind	0	root	_	-
3	den	die	ART	ART	Def|Masc|Acc|Sg	4	det	_	(1
4	Film	Film	N	NN	Masc|Acc|Sg	2	obja	_	1)
5	wahnsinnig	wahnsinnig	ADV	ADJD	Pos|	6	adv	_	-
6	langweilig	langweilig	ADV	ADJD	Pos|	2	pred	_	-
7	und	und	KON	KON	_	2	kon	_	-
8	die	die	ART	ART	Def|Fem|Nom|Pl	10	det	_	-
9	90	90	CARD	CARD	_	10	attr	_	-
10	Minuten	Minute	N	NN	Fem|Nom|Pl	11	subj	_	-
11	waren	sein	V	VAFIN	3|Pl|Past|Ind	7	cj	_	-
12	für	für	PREP	APPR	Acc	11	pp	_	-
13	mich	ich	PRO	PPER	1|Sg|_|Acc	12	pn	_	(0)
14	so	so	ADV	ADV	_	15	adv	_	-
15	lang	lang	ADV	ADJD	Pos|	11	pred	_	-
16	wie	wie	KOKOM	KOKOM	_	11	kom	_	-
17	4	4	CARD	CARD	_	18	attr	_	-
18	Stunden	Stunde	N	NN	Fem|_|Pl	16	cj	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Aber	aber	KON	KON	_	0	root	_	-
2	meine	meine	ART	PPOSAT	Fem|Nom|Sg	3	det	_	(0)|(3
3	Freundin	Freundin	N	NN	Fem|Nom|Sg	4	subj	_	3)
4	sagte	sagen	V	VVFIN	3|Sg|Past|_	1	cj	_	-
5	nach	nach	PREP	APPR	Dat	4	pp	_	-
6	dem	die	ART	ART	Def|Masc|Dat|Sg	7	det	_	(1
7	Film	Film	N	NN	Masc|Dat|Sg	5	pn	_	1)
8	:	\:	$.	$.	_	0	root	_	-
9	„	„	FM	FM	_	0	root	_	-
10	Oh	Oh	FM	FM	_	9	app	_	-
11	,	,	$,	$,	_	0	root	_	-
12	schade	schaden	V	VVFIN	_|Sg|Pres|_	0	root	_	-
13	,	,	$,	$,	_	0	root	_	-
14	schon	schon	ADV	ADV	_	0	root	_	-
15	vorbei	vorbei	PTKVZ	PTKVZ	_	0	root	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
2	hätte	haben	V	VAFIN	1|Sg|Past|Subj	0	root	_	-
3	noch	noch	ADV	ADV	_	5	adv	_	-
4	stundenlang	stundenlang	ADV	ADJD	Pos|	5	adv	_	-
5	zuschauen	zuschauen	V	VVINF	_	6	aux	_	-
6	können	können	V	VMINF	_	2	aux	_	-
7	!	!	$.	$.	_	0	root	_	-
8	“	“	$(	$(	_	0	root	_	-
9	Eine	eine	ART	ART	Indef|Fem|Nom|Sg	10	det	_	(2
10	Stunde	Stunde	N	NN	Fem|Nom|Sg	11	subj	_	2)
11	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
12	wie	wie	KOKOM	KOKOM	_	15	kom	_	-
13	im	in	PREP	APPRART	Dat	12	cj	_	-
14	Flug	Flug	N	NN	Masc|Dat|Sg	13	pn	_	-
15	vergehen	vergehen	V	VVINF	_	11	aux	_	-
16	oder	oder	KON	KON	_	0	root	_	-
17	nur	nur	ADV	ADV	_	19	adv	_	-
18	sehr	sehr	ADV	ADV	_	19	adv	_	-
19	langsam	langsam	ADV	ADJD	Pos|	16	cj	_	-
20	.	.	$.	$.	_	0	root	_	-

1	Es	es	PRO	PPER	3|Sg|Neut|Nom	2	subj	_	-
2	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	darauf	darauf	PROAV	PROAV	_	2	objp	_	-
4	an	an	PTKVZ	PTKVZ	_	2	avz	_	-
5	,	,	$,	$,	_	0	root	_	-
6	wie	wie	PWAV	PWAV	_	9	adv	_	-
7	man	man	PRO	PIS	_|Nom|Sg	9	subj	_	-
8	sich	sie	PRO	PRF	3|_|_	9	obja	_	-
9	fühlt	fühlen	V	VVFIN	3|Sg|Pres|Ind	2	rel	_	-
10	und	und	KON	KON	_	9	kon	_	-
11	was	was	PRO	PWS	Neut|Nom|Sg	15	subj	_	-
12	in	in	PREP	APPR	Dat	15	pp	_	-
13	dieser	diese	ART	PDAT	Fem|Dat|Sg	14	det	_	(2
14	Stunde	Stunde	N	NN	Fem|Dat|Sg	12	pn	_	2)
15	passiert	passieren	V	VVFIN	3|Sg|Pres|Ind	10	cj	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Wenn	wenn	KOUS	KOUS	_	5	konj	_	-
2	man	man	PRO	PIS	_|Nom|Sg	5	subj	_	-
3	die	die	ART	ART	Def|Fem|_|Sg	4	det	_	-
4	Zeit	Zeit	N	NN	Fem|_|Sg	5	obja	_	-
5	genießt	genießen	V	VVFIN	3|Sg|Pres|Ind	8	neb	_	-
6	,	,	$,	$,	_	0	root	_	-
7	dann	dann	ADV	ADV	_	8	adv	_	-
8	vergeht	vergehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
9	sie	sie	PRO	PPER	3|Sg|Fem|Nom	8	subj	_	(3)
10	schnell	schnell	ADV	ADJD	Pos|	8	adv	_	-
11	.	.	$.	$.	_	0	root	_	-

