1	Was	was	PRO	PWS	Neut|Nom|Sg	5	subj	_	-
2	mir	ich	PRO	PPER	1|Sg|_|Dat	4	objd	_	(0)
3	heute	heute	ADV	ADV	_	4	adv	_	-
4	passiert	passieren	V	VVPP	_	5	aux	_	-
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
6	,	,	$,	$,	_	0	root	_	-
7	das	die	PRO	PDS	Neut|_|Sg	0	root	_	-
8	glaubt	glauben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
9	mir	ich	PRO	PPER	1|Sg|_|Dat	8	objd	_	(0)
10	keiner	keine	PRO	PIS	Masc|Nom|Sg	8	subj	_	-
11	:	\:	$.	$.	_	0	root	_	-
12	Als	Als	KOUS	KOUS	_	23	konj	_	-
13	ich	ich	PRO	PPER	1|Sg|_|Nom	23	subj	_	(0)
14	zu	zu	PREP	APPR	Dat	17	pp	_	-
15	Mittag	Mittag	N	NN	_|Dat|Sg	14	pn	_	-
16	nichts	nichts	PRO	PIS	_	17	obja	_	-
17	ahnend	ahnen	ADV	ADJD	_|<PPRES	23	adv	_	-
18	in	in	PREP	APPR	Dat	23	pp	_	-
19	der	die	ART	ART	Def|Fem|Dat|Sg	20	det	_	-
20	Küche	Küche	N	NN	Fem|Dat|Sg	18	pn	_	-
21	beim	bei	PREP	APPRART	Dat	23	pp	_	-
22	Kochen	Kochen	N	NN	Neut|Dat|Sg	21	pn	_	-
23	stand	stehen	V	VVFIN	1|Sg|Past|Ind	25	neb	_	-
24	,	,	$,	$,	_	0	root	_	-
25	läutete	läuten	V	VVFIN	3|Sg|Past|_	0	root	_	-
26	mein	meine	ART	PPOSAT	Neut|Nom|Sg	27	det	_	(0)
27	Handy	Handy	N	NN	Neut|Nom|Sg	25	subj	_	-
28	.	.	$.	$.	_	0	root	_	-

1	Eine	eine	ART	ART	Indef|Fem|Nom|Sg	2	det	_	-
2	Frauenstimme	Frauenstimme	N	NN	Fem|Nom|Sg	3	subj	_	-
3	erklärte	erklären	V	VVFIN	3|Sg|Past|_	0	root	_	-
4	mir	ich	PRO	PPER	1|Sg|_|Dat	3	objd	_	(0)
5	,	,	$,	$,	_	0	root	_	-
6	dass	dass	KOUS	KOUS	_	14	konj	_	-
7	meine	meine	ART	PPOSAT	Fem|Nom|Sg	8	det	_	(0)|(1
8	Brieftasche	Brieftasche	N	NN	Fem|Nom|Sg	14	subj	_	1)
9	in	in	PREP	APPR	Dat	12	pp	_	-
10	der	die	ART	ART	Def|Fem|Dat|Sg	11	det	_	-
11	Bankfiliale	Bankfiliale	N	NN	Fem|Dat|Sg	9	pn	_	-
12	abgegeben	abgeben	V	VVPP	_	13	aux	_	-
13	worden	werden	V	VAPP	_	14	aux	_	-
14	war	sein	V	VAFIN	3|Sg|Past|Ind	3	objc	_	-
15	und	und	KON	KON	_	14	kon	_	-
16	ich	ich	PRO	PPER	1|Sg|_|Nom	20	subj	_	(0)
17	sie	sie	PRO	PPER	3|_|_|_	19	obja	_	(1)
18	dort	dort	ADV	ADV	_	19	adv	_	-
19	abholen	abholen	V	VVINF	_	20	aux	_	-
20	könnte	können	V	VMFIN	1|Sg|Past|Subj	15	cj	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Mir	ich	PRO	PPER	1|Sg|_|Dat	2	objd	_	(0)
2	wurde	werden	V	VAFIN	_|Sg|Past|Ind	0	root	_	-
3	ganz	ganz	ADV	ADV	_	4	adv	_	-
4	heiß	heiß	ADV	ADJD	Pos|	2	pred	_	-
5	–	–	$(	$(	_	0	root	_	-
6	mir	ich	PRO	PPER	1|Sg|_|Dat	11	objd	_	(0)
7	war	sein	V	VAFIN	_|Sg|Past|Ind	2	kon	_	-
8	noch	noch	ADV	ADV	_	10	adv	_	-
9	gar	gar	ADV	ADV	_	10	adv	_	-
10	nicht	nicht	PTKNEG	PTKNEG	_	11	adv	_	-
11	aufgefallen	auffallen	V	VVPP	_	7	aux	_	-
12	,	,	$,	$,	_	0	root	_	-
13	dass	dass	KOUS	KOUS	_	15	konj	_	-
14	sie	sie	PRO	PPER	3|Sg|Fem|Nom	15	subj	_	(1)
15	fehlte	fehlen	V	VVFIN	3|Sg|Past|_	7	subjc	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Und	und	KON	KON	_	0	root	_	-
2	ich	ich	PRO	PPER	1|Sg|_|Nom	3	subj	_	(0)
3	hatte	haben	V	VAFIN	1|Sg|Past|Ind	1	cj	_	-
4	ja	ja	ADV	ADV	_	10	adv	_	-
5	auch	auch	ADV	ADV	_	10	adv	_	-
6	noch	noch	ADV	ADV	_	10	adv	_	-
7	relativ	relativ	ADV	ADJD	Pos|	10	adv	_	-
8	viel	viel	ART	PIDAT	Neut|_|Sg	9	det	_	-
9	Bargeld	Bargeld	N	NN	Neut|_|Sg	10	obja	_	-
10	eingesteckt	einstecken	V	VVPP	_	3	aux	_	-
11	!	!	$.	$.	_	0	root	_	-

1	Schnell	schnell	ADV	ADJD	Pos|	2	adv	_	-
2	holte	holen	V	VVFIN	1|Sg|Past|_	0	root	_	-
3	ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
4	meine	meine	ART	PPOSAT	Fem|_|Sg	5	det	_	(0)|(6
5	Handtasche	Handtasche	N	NN	Fem|_|Sg	2	obja	_	6)
6	hervor	hervor	PTKVZ	PTKVZ	_	2	avz	_	-
7	und	und	KON	KON	_	2	kon	_	-
8	suchte	suchen	V	VVFIN	_|Sg|Past|_	7	cj	_	-
9	nach	nach	PREP	APPR	Dat	8	pp	_	-
10	der	die	ART	ART	Def|Fem|Dat|Sg	11	det	_	(1
11	Brieftasche	Brieftasche	N	NN	Fem|Dat|Sg	9	pn	_	1)
12	.	.	$.	$.	_	0	root	_	-

1	Es	es	PRO	PPER	3|Sg|Neut|Nom	2	subj	_	-
2	stimmte	stimmen	V	VVFIN	3|Sg|Past|_	0	root	_	-
3	!	!	$.	$.	_	0	root	_	-

1	Auch	auch	ADV	ADV	_	2	adv	_	-
2	nach	nach	PREP	APPR	Dat	8	pp	_	-
3	längerem	lang	ADJA	ADJA	Comp|Neut|Dat|Sg|St|	4	attr	_	-
4	Kramen	Kramen	N	NN	Neut|Dat|Sg	2	pn	_	-
5	in	in	PREP	APPR	Dat	4	pp	_	-
6	der	die	ART	ART	Def|Fem|Dat|Sg	7	det	_	-
7	Tasche	Tasche	N	NN	Fem|Dat|Sg	5	pn	_	-
8	konnte	können	V	VMFIN	1|Sg|Past|Ind	0	root	_	-
9	ich	ich	PRO	PPER	1|Sg|_|Nom	8	subj	_	(0)
10	sie	sie	PRO	PPER	3|_|_|_	12	obja	_	(1)
11	nicht	nicht	PTKNEG	PTKNEG	_	12	adv	_	-
12	finden	finden	V	VVINF	_	8	aux	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Mein	meine	ART	PPOSAT	Neut|Nom|Sg	2	det	_	(0)
2	Geld	Geld	N	NN	Neut|Nom|Sg	3	subj	_	-
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
4	tatsächlich	tatsächlich	ADV	ADJD	Pos|	5	adv	_	-
5	verschwunden	verschwinden	V	VVPP	_	3	aux	_	-
6	!	!	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
2	machte	machen	V	VVFIN	1|Sg|Past|_	0	root	_	-
3	mich	ich	PRO	PRF	1|Sg|Acc	2	obja	_	-
4	also	also	ADV	ADV	_	2	adv	_	-
5	auf	auf	PREP	APPR	Acc	2	objp	_	-
6	den	die	ART	ART	Def|Masc|Acc|Sg	7	det	_	-
7	Weg	Weg	N	NN	Masc|Acc|Sg	5	pn	_	-
8	zur	zu	PREP	APPRART	Dat	7	pp	_	-
9	Bank	Bank	N	NN	Fem|Dat|Sg	8	pn	_	-
10	und	und	KON	KON	_	2	kon	_	-
11	überlegte	überlegen	V	VVFIN	_|Sg|Past|_	10	cj	_	-
12	,	,	$,	$,	_	0	root	_	-
13	wo	wo	PWAV	PWAV	_	18	adv	_	-
14	ich	ich	PRO	PPER	1|Sg|_|Nom	19	subj	_	(0)
15	meine	meine	ART	PPOSAT	Fem|_|Sg	16	det	_	(0)
16	Brieftasche	Brieftasche	N	NN	Fem|_|Sg	18	obja	_	-
17	liegen	liegen	V	VVINF	_	18	obji	_	-
18	gelassen	lassen	V	VVPP	_	19	aux	_	-
19	hatte	haben	V	VAFIN	1|Sg|Past|Ind	11	objc	_	-
20	:	\:	$.	$.	_	0	root	_	-
21	Sicherlich	sicherlich	ADV	ADV	_	22	adv	_	-
22	im	in	PREP	APPRART	Dat	0	root	_	-
23	Supermarkt	Supermarkt	N	NN	Masc|Dat|Sg	22	pn	_	(3
24	an	an	PREP	APPR	Dat	23	pp	_	-
25	der	die	ART	ART	Def|Fem|Dat|Sg	26	det	_	-
26	Kasse	Kasse	N	NN	Fem|Dat|Sg	24	pn	_	3)
27	.	.	$.	$.	_	0	root	_	-

1	Jedenfalls	jedenfalls	ADV	ADV	_	2	adv	_	-
2	kam	kommen	V	VVFIN	1|Sg|Past|Ind	0	root	_	-
3	ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
4	bei	bei	PREP	APPR	Dat	2	pp	_	-
5	der	die	ART	ART	Def|Fem|Dat|Sg	6	det	_	(4
6	Bank	Bank	N	NN	Fem|Dat|Sg	4	pn	_	4)
7	an	an	PTKVZ	PTKVZ	_	2	avz	_	-
8	und	und	KON	KON	_	2	kon	_	-
9	war	sein	V	VAFIN	_|Sg|Past|Ind	8	cj	_	-
10	schon	schon	ADV	ADV	_	14	adv	_	-
11	gespannt	gespannt	ADV	ADJD	Pos|	14	adv	_	-
12	darauf	darauf	PROAV	PROAV	_	14	pp	_	-
13	zu	zu	PTKZU	PTKZU	_	14	part	_	-
14	erfahren	erfahren	V	VVINF	_	9	aux	_	-
15	,	,	$,	$,	_	0	root	_	-
16	wo	wo	PWAV	PWAV	_	19	adv	_	-
17	meine	meine	ART	PPOSAT	Fem|Nom|Sg	18	det	_	(0)
18	Brieftasche	Brieftasche	N	NN	Fem|Nom|Sg	21	subj	_	-
19	gefunden	finden	V	VVPP	_	20	aux	_	-
20	worden	werden	V	VAPP	_	21	aux	_	-
21	war	sein	V	VAFIN	3|Sg|Past|Ind	14	objc	_	-
22	und	und	KON	KON	_	0	root	_	-
23	natürlich	natürlich	ADV	ADJD	Pos|	22	cj	_	-
24	,	,	$,	$,	_	0	root	_	-
25	ob	ob	KOUS	KOUS	_	27	konj	_	-
26	etwas	etwas	PRO	PIS	_|Nom|Sg	27	subj	_	-
27	fehlte	fehlen	V	VVFIN	3|Sg|Past|_	0	root	_	-
28	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Bankangestellte	Bankangestellte	N	NN	Fem|Nom|Sg	3	subj	_	-
3	teilte	teilen	V	VVFIN	3|Sg|Past|_	0	root	_	-
4	mir	ich	PRO	PPER	1|Sg|_|Dat	3	objd	_	(0)
5	mit	mit	PTKVZ	PTKVZ	_	3	avz	_	-
6	,	,	$,	$,	_	0	root	_	-
7	dass	dass	KOUS	KOUS	_	14	konj	_	-
8	ein	eine	ART	ART	Indef|Masc|Nom|Sg	10	det	_	(2
9	junger	jung	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	10	attr	_	-
10	Mann	Mann	N	NN	Masc|Nom|Sg	14	subj	_	2)
11	die	die	ART	ART	Def|Fem|_|Sg	12	det	_	(1
12	Brieftasche	Brieftasche	N	NN	Fem|_|Sg	13	obja	_	1)
13	abgegeben	abgeben	V	VVPP	_	14	aux	_	-
14	hatte	haben	V	VAFIN	3|Sg|Past|Ind	3	objc	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Er	er	PRO	PPER	3|Sg|Masc|Nom	2	subj	_	(2)
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
3	sie	sie	PRO	PPER	3|_|_|_	10	obja	_	(1)
4	auf	auf	PREP	APPR	Dat	10	pp	_	-
5	dem	die	ART	ART	Def|Masc|Dat|Sg	6	det	_	-
6	Parkplatz	Parkplatz	N	NN	Masc|Dat|Sg	4	pn	_	-
7	vor	vor	PREP	APPR	Dat	10	pp	_	-
8	dem	die	ART	ART	Def|Masc|Dat|Sg	9	det	_	(3
9	Supermarkt	Supermarkt	N	NN	Masc|Dat|Sg	7	pn	_	3)
10	gefunden	finden	V	VVPP	_	2	aux	_	-
11	und	und	KON	KON	_	2	kon	_	-
12	wollte	wollen	V	VMFIN	_|Sg|Past|_	11	cj	_	-
13	sie	sie	PRO	PPER	3|_|_|_	17	obja	_	(1)
14	eigentlich	eigentlich	ADV	ADV	_	17	adv	_	-
15	ins	in	PREP	APPRART	Acc	17	objp	_	-
16	Fundbüro	Fundbüro	N	NN	Neut|Acc|Sg	15	pn	_	-
17	bringen	bringen	V	VVINF	_	12	aux	_	-
18	–	–	$(	$(	_	0	root	_	-
19	wie	wie	PWAV	PWAV	_	27	adv	_	-
20	man	man	PRO	PIS	_|Nom|Sg	27	subj	_	-
21	es	es	PRO	PPER	3|Sg|Neut|_	27	obja	_	-
22	in	in	PREP	APPR	Dat	27	pp	_	-
23	so	so	ADV	ADV	_	25	adv	_	-
24	einem	eine	ART	ART	Indef|Masc|Dat|Sg	25	det	_	-
25	Fall	Fall	N	NN	Masc|Dat|Sg	22	pn	_	-
26	eben	eben	ADV	ADV	_	27	adv	_	-
27	macht	machen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
28	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	2	det	_	-
2	Weg	Weg	N	NN	Masc|Nom|Sg	4	subj	_	-
3	dorthin	dorthin	ADV	ADV	_	2	adv	_	-
4	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
5	für	für	PREP	APPR	Acc	4	pp	_	-
6	ihn	er	PRO	PPER	3|Sg|Masc|Acc	5	pn	_	(2)
7	zu	zu	PTKA	PTKA	_	8	adv	_	-
8	weit	weit	ADV	ADJD	Pos|	4	pred	_	-
9	und	und	KON	KON	_	4	kon	_	-
10	so	so	ADV	ADV	_	11	adv	_	-
11	suchte	suchen	V	VVFIN	3|Sg|Past|_	9	cj	_	-
12	er	er	PRO	PPER	3|Sg|Masc|Nom	11	subj	_	(2)
13	nach	nach	PREP	APPR	Dat	11	pp	_	-
14	einer	eine	ART	ART	Indef|Fem|Dat|Sg	16	det	_	-
15	anderen	anderen	ADJA	ADJA	_|Fem|Dat|Sg|_	16	attr	_	-
16	Möglichkeit	Möglichkeit	N	NN	Fem|Dat|Sg	13	pn	_	-
17	,	,	$,	$,	_	0	root	_	-
18	mir	ich	PRO	PPER	1|Sg|_|Dat	21	objd	_	(0)
19	die	die	ART	ART	Def|Fem|_|Sg	20	det	_	(1
20	Brieftasche	Brieftasche	N	NN	Fem|_|Sg	21	obja	_	1)
21	zurückzugeben	zurückgeben	V	VVIZU	_	11	obji	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Das	die	PRO	PDS	Neut|_|Sg	6	obja	_	-
2	muss	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
3	man	man	PRO	PIS	_|Nom|Sg	2	subj	_	-
4	sich	sie	PRO	PRF	3|_|Dat	6	objd	_	-
5	einmal	einmal	ADV	ADV	_	6	adv	_	-
6	vorstellen	vorstellen	V	VVINF	_	2	aux	_	-
7	:	\:	$.	$.	_	0	root	_	-
8	Er	er	PRO	PPER	3|Sg|Masc|Nom	9	subj	_	(2)
9	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
10	so	so	ADV	ADV	_	11	adv	_	-
11	clever	clever	ADV	ADJD	Pos|	9	pred	_	-
12	,	,	$,	$,	_	0	root	_	-
13	dass	dass	KOUS	KOUS	_	25	konj	_	-
14	er	er	PRO	PPER	3|Sg|Masc|Nom	25	subj	_	(2)
15	auf	auf	PREP	APPR	Dat	25	pp	_	-
16	der	die	ART	ART	Def|Fem|Dat|Sg	17	det	_	-
17	Bankomatkarte	Bankomatkarte	N	NN	Fem|Dat|Sg	15	pn	_	-
18	nach	nach	PREP	APPR	Dat	17	pp	_	-
19	meinem	meine	ART	PPOSAT	_|Dat|Sg	18	pn	_	(0)
20	und	und	KON	KON	_	17	kon	_	-
21	dem	die	ART	ART	Def|Masc|Dat|Sg	22	det	_	-
22	Namen	Name	N	NN	Masc|Dat|Sg	20	cj	_	-
23	meiner	meine	ART	PPOSAT	Fem|Gen|Sg	24	det	_	(0)
