1	Sternheim	Sternheim	N	NN	Neut|_|Sg	0	root	541	541
2	:	\:	$	$.	_	0	root	_	_
3	Nimmermehr	Nimmermehr	N	NE	_	6	vok	560	560
4	,	,	$	$,	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	597	597
6	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
7	ihn	er	P	PPER	3|Sg|Masc|Acc	11	obja	0	0
8	mit	mit	A	ADV	_	11	adv	_	_
9	ins	in	P	APPRART	Acc	11	objp	_	_
10	Grab	Grab	N	NN	Neut|Acc|Sg	9	pn	671	671
11	nehmen	nehmen	V	VVINF	_	6	aux	_	_
12	.	.	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Ei	Ei	N	NN	Neut|_|Sg	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	ganz	ganz	A	ADV	_	7	adv	_	_
6	gehorsamster	gehorsam	A	ADJA	Sup|Masc|Nom|Sg|St|	7	attr	_	_
7	Diener	Diener	N	NN	Masc|Nom|Sg	3	kon	_	_
8	!	!	$	$.	_	0	root	_	_

1	das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	eine	eine	A	ART	Indef|Fem|Nom|Sg	5	det	_	_
4	verfluchte	verflucht	A	ADJA	Pos|Fem|Nom|Sg|_|	5	attr	_	_
5	Redensart	Redensart	N	NN	Fem|Nom|Sg	2	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	um	um	K	KOUI	_	10	konj	_	_
8	seine	seine	A	PPOSAT	_|_|_	9	det	0	0
9	Liebe	Liebe	N	NN	_|_|_	10	obja	562	562
10	auszudrücken	ausdrücken	V	VVIZU	_	2	neb	_	_
11	.	.	$	$.	_	0	root	_	_

1	Vater	Vater	N	NN	Masc|_|Sg	0	root	513	513
2	:	\:	$	$.	_	0	root	_	_
3	Meine	meine	A	PPOSAT	Masc|_|Pl	4	det	93	93
4	Herren	Herr	N	NN	Masc|_|Pl	0	root	93	93
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	0	root	_	_
7	meine	meine	A	PPOSAT	Fem|_|Sg	9	det	561	561
8	gnädige	gnädig	A	ADJA	Pos|Fem|_|Sg|_|	9	attr	_	_
9	Frau	Frau	N	NN	Fem|_|Sg	6	cj	_	_
10	,	,	$	$,	_	0	root	_	_
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
12	es	es	P	PPER	3|Sg|Neut|Nom	11	subj	_	_
13	Ihnen	sie	P	PPER	3|Pl|_|Dat	11	objd	562	562
14	nicht	nicht	P	PTKNEG	_	11	adv	_	_
15	gefällig	gefällig	A	ADJD	Pos|	11	pred	_	_
16	,	,	$	$,	_	0	root	_	_
17	in	in	P	APPR	Acc	21	objp	_	_
18	mein	meine	A	PPOSAT	Neut|Acc|Sg	19	det	561	561
19	Haus	Haus	N	NN	Neut|Acc|Sg	17	pn	563	563
20	zu	zu	P	PTKZU	_	21	part	_	_
21	treten	treten	V	VVINF	_	11	obji	_	_
22	?	?	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|_|_|Nom	2	subj	563	563
2	gehn	gehn	V	VVFIN	3|_|_|_	0	root	_	_
3	ab	ab	P	PTKVZ	_	2	avz	_	_
4	.	.	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	Masc|Nom|Sg	5	pred	564	564
2	und	und	K	KON	_	1	kon	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	565	565
4	Narr	Narr	N	NN	Masc|Nom|Sg	2	cj	565	565
5	bleiben	bleiben	V	VVINF	_	0	root	_	_
6	.	.	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	Wer	wer	P	PWS	_|Nom|Sg	4	pred	_	_
4	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
5	Sie	sie	P	PPER	3|Pl|_|Nom	4	subj	_	_
6	eigentlich	eigentlich	A	ADV	_	5	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	mein	meine	A	PPOSAT	Masc|Nom|Sg	9	det	_	_
9	Freund	Freund	N	NN	Masc|Nom|Sg	5	app	_	_
10	?	?	$	$.	_	0	root	_	_

1	Narr	Narr	N	NN	Masc|_|Sg	0	root	395	395
2	:	\:	$	$.	_	0	root	_	_
3	Aufzuwarten	aufwarten	V	VVIZU	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	395	395
6	Narr	Narr	N	NN	Masc|Nom|Sg	0	root	395	395
7	.	.	$	$.	_	0	root	_	_

1	Lisette	Lisette	N	NE	_	0	root	564	564
2	:	\:	$	$.	_	0	root	_	_
3	Das	die	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	ein	eine	A	ART	Indef|Masc|Nom|Sg	7	det	_	_
7	Mann	Mann	N	NN	Masc|Nom|Sg	0	root	_	_
8	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	dies	dies	P	PDS	Neut|_|Sg	3	obja	_	_
3	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	1	cj	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	566	566
5	schon	schon	A	ADV	_	3	adv	_	_
6	;	;	$	$.	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	566	566
8	fragte	fragen	V	VVFIN	1|Sg|Past|_	0	root	_	_
9	nur	nur	A	ADV	_	8	adv	_	_
10	nach	nach	P	APPR	Dat	8	pp	_	_
11	Ihrem	ihre	A	PPOSAT	Masc|Dat|Sg	13	det	564	564
12	eigentlichen	eigentlich	A	ADJA	Pos|Masc|Dat|Sg|Wk|	13	attr	_	_
13	Stande	Stand	N	NN	Masc|Dat|Sg	10	pn	_	_
14	.	.	$	$.	_	0	root	_	_

