1	Schlosser	Schlosser	N	NN	Masc|_|_	0	root	10	10
2	:	\:	$	$.	_	0	root	_	_
3	Das	die	A	ART	Def|Neut|Nom|Sg	4	det	469	469
4	Ballet	Ballet	N	NN	Neut|Nom|Sg	5	subj	469	469
5	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	das	die	A	ART	Def|Neut|_|Sg	7	det	9	9
7	Stück	Stück	N	NN	Neut|_|Sg	9	obja	9	9
8	noch	noch	A	ADV	_	9	adv	_	_
9	gerettet	retten	V	VVPP	_	5	aux	_	_
10	.	.	$	$.	_	0	root	_	_

1	Bötticher	Bötticher	N	NE	_	0	root	36	36
2	:	\:	$	$.	_	0	root	_	_
3	Ich	ich	P	PPER	1|Sg|_|Nom	4	subj	474	474
4	bewundre	bewundern	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
5	nur	nur	A	ADV	_	4	adv	_	_
6	immer	immer	A	ADV	_	4	adv	_	_
7	das	die	A	ART	Def|Neut|_|Sg	8	det	_	_
8	Spiel	Spiel	N	NN	Neut|_|Sg	4	obja	_	_
9	des	die	A	ART	Def|Masc|Gen|Sg	10	det	23	23
10	Katers	Kater	N	NN	Masc|Gen|Sg	8	gmod	23	23
11	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	An	an	P	APPR	_	5	pp	_	_
3	solchen	solche	A	PIDAT	Fem|_|Pl	4	det	_	_
4	Kleinigkeiten	Kleinigkeit	N	NN	Fem|_|Pl	2	pn	_	_
5	erkennt	erkennen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
6	man	man	P	PIS	_|Nom|Sg	5	subj	_	_
7	den	die	A	ART	Def|Masc|Acc|Sg	11	det	470	470
8	großen	groß	A	ADJA	Pos|Masc|Acc|Sg|_|	11	attr	470	470
9	und	und	K	KON	_	8	kon	470	470
10	geübten	geübt	A	ADJA	Pos|_|Acc|_|_|	9	cj	470	470
11	Schauspieler	Schauspieler	N	NN	Masc|Acc|Sg	5	obja	470	470
12	;	;	$	$.	_	0	root	_	_
13	sooft	sooft	K	KOUS	_	22	konj	_	_
14	er	er	P	PPER	3|Sg|Masc|Nom	22	subj	470	470
15	zum	zu	P	APPRART	Dat	22	objp	_	_
