1	Wiesener	Wiesener	N	NE	_	0	root	4	4
2	:	\:	$	$.	_	0	root	_	_
3	Nun	nun	A	ADV	_	4	adv	_	_
4	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	23	23
6	Kater	Kater	N	NN	Masc|Nom|Sg	4	subj	23	23
7	noch	noch	A	ADV	_	4	adv	_	_
8	durch	durch	P	APPR	Acc	4	pp	_	_
9	Feuer	Feuer	N	NN	Neut|Acc|_	8	pn	568	568
10	und	und	K	KON	_	9	kon	_	_
11	Wasser	Wasser	N	NN	Neut|Acc|_	10	cj	225	225
12	gehn	gehn	N	NE	Neut|Acc|_	11	app	225	225
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	4	kon	_	_
15	das	die	A	ART	Def|Neut|Nom|Sg	16	det	9	9
16	Stück	Stück	N	NN	Neut|Nom|Sg	17	subj	9	9
17	ist	sein	V	VAFIN	3|Sg|Pres|Ind	14	cj	_	_
18	fertig	fertig	A	ADJD	Pos|	17	pred	_	_
19	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	102	102
2	König	König	N	NN	Masc|Nom|Sg	0	root	102	102
3	,	,	$	$,	_	0	root	_	_
4	dir	du	P	PPER	Fem|Dat|Sg	0	root	_	_
5	Prinzessin	Prinzessin	N	NN	Fem|_|Sg	4	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	Gottlieb	Gottlieb	N	NE	Fem|_|Sg	5	kon	75	75
8	,	,	$	$,	_	0	root	75	75
9	Hinze	Hinze	N	NE	Fem|_|Sg	7	kon	84	84
10	,	,	$	$,	_	0	root	84	84
11	mit	mit	P	APPR	Dat	9	pp	84	84
12	verbundenem	verbunden	A	ADJA	Pos|Masc|Dat|Sg|St|	13	attr	84	84
13	Kopfe	Kopf	N	NN	Masc|Dat|Sg	11	pn	75	75
14	,	,	$	$,	_	0	root	_	_
15	Bediente	Bediente	N	NN	_|Nom|Pl	16	subj	_	_
16	treten	treten	V	VVFIN	3|Pl|Pres|_	0	root	_	_
17	herein	herein	P	PTKVZ	_	16	avz	_	_
18	.	.	$	$.	_	0	root	_	_

1	Hinze	Hinze	N	NE	_	0	root	84	84
2	:	\:	$	$.	_	0	root	_	_
3	Dies	dies	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	_	_
6	Palast	Palast	N	NN	Masc|Nom|Sg	4	pred	_	_
7	des	die	A	ART	Def|Masc|Gen|Sg	8	det	623	623
8	Grafen	Graf	N	NN	Masc|Gen|Sg	6	gmod	623	623
9	von	von	P	APPR	_	6	pp	_	_
10	Carabas	Carabas	N	NE	_|_|_	9	pn	333	333
11	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Wie	Wie	P	PWAV	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Henker	Henker	N	NN	Masc|_|_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	sich	sie	P	PRF	3|_|_	12	obja	_	_
8	'	'	$	$(	_	0	root	_	_
9	s	s	P	PPER	_|Sg|_|Nom	6	subj	623	623
10	denn	denn	A	ADV	_	12	adv	_	_
11	hier	hier	A	ADV	_	12	adv	_	_
12	verändert	verändern	V	VVPP	_	6	aux	_	_
13	?	?	$	$.	_	0	root	_	_

1	König	König	N	NN	Masc|_|Sg	0	root	148	148
2	:	\:	$	$.	_	0	root	_	_
3	Ein	ein	A	ART	Indef|Neut|_|Sg	5	det	_	_
4	schön	schön	A	ADJD	Pos|	5	adv	_	_
5	Palais	Palais	N	NN	Neut|_|Sg	0	root	_	_
6	.	.	$	$.	_	0	root	_	_

