1	Melpomene	Melpomene	N	NN	Fem|Nom|Sg	2	subj	134	134
2	tritt	treten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	als	als	K	KOKOM	_	2	kom	_	_
4	Emilie	Emilie	N	NE	_	3	cj	529	529
5	auf	auf	P	PTKVZ	_	2	avz	_	_
6	.	.	$	$.	_	0	root	_	_

1	Emilie	Emilie	N	NE	_	0	root	529	529
2	:	\:	$	$.	_	0	root	_	_
3	Find	Find	F	FM	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	0	root	531	531
5	dich	du	P	PPER	2|Sg|_|Acc	0	root	532	532
6	wieder	wieder	A	ADV	_	7	adv	_	_
7	in	in	P	APPR	_	0	root	_	_
8	Tränen	Träne	N	NN	Fem|_|Pl	7	pn	530	530
9	?	?	$	$.	_	0	root	_	_

1	Junger	jung	A	ADJA	Pos|Masc|Nom|Sg|St|	2	attr	_	_
2	Mensch	Mensch	N	NN	Masc|Nom|Sg	0	root	_	_
3	:	\:	$	$.	_	0	root	_	_
4	Und	und	K	KON	_	0	root	_	_
5	wie	wie	K	KOKOM	_	4	cj	_	_
6	anders	anders	A	ADV	_	5	cj	_	_
7	,	,	$	$,	_	0	root	_	_
8	teuerste	teuer	A	ADJA	Sup|_|_|_|_|	9	attr	529	529
9	Emilie	Emilie	N	NN	_|_|_	0	root	529	529
10	?	?	$	$.	_	0	root	_	_

1	Soeben	soeben	A	ADV	_	2	adv	_	_
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	531	531
4	deinen	deine	A	PPOSAT	Masc|_|Sg	5	det	532	532
5	Vater	Vater	N	NN	Masc|_|Sg	6	obja	_	_
6	gesprochen	sprechen	V	VVPP	_	2	aux	_	_
7	.	.	$	$.	_	0	root	_	_

1	Emilie	Emilie	N	NE	_	0	root	529	529
2	:	\:	$	$.	_	0	root	_	_
3	Nun	nun	A	ADV	_	0	root	_	_
4	?	?	$	$.	_	0	root	_	_

