1	Maschinist	Maschinist	N	NE	_	0	root	508	508
2	:	\:	$	$.	_	0	root	_	_
3	Solche	solche	A	PIDAT	Fem|Nom|Sg	4	det	_	_
4	Verwirrung	Verwirrung	N	NN	Fem|Nom|Sg	5	subj	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	noch	noch	A	ADV	_	10	adv	_	_
7	an	an	P	APPR	Acc	10	pp	_	_
8	keinem	keine	A	PIAT	_|Dat|Sg	9	det	_	_
9	Abende	Abend	N	NN	Masc|Acc|Pl	7	pn	_	_
10	gewesen	sein	V	VAPP	_	5	aux	_	_
11	.	.	$	$.	_	0	root	_	_

1	Geht	gehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
2	ab	ab	P	PTKVZ	_	1	avz	_	_
3	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Eine	eine	A	ART	Indef|Fem|_|Sg	3	det	_	_
3	Pause	Pause	N	NN	Fem|_|Sg	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	Wiesener	Wiesener	N	NE	_	0	root	4	4
2	:	\:	$	$.	_	0	root	_	_
3	Gehört	gehören	V	VVFIN	_|_|Pres|Ind	0	root	_	_
4	denn	denn	A	ADV	_	3	adv	_	_
5	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
6	zum	zu	P	APPRART	Dat	0	root	_	_
7	Stück	Stück	N	NN	Neut|Dat|Sg	6	pn	516	516
8	?	?	$	$.	_	0	root	_	_

1	Nachbar	Nachbar	N	NN	_|_|Sg	0	root	230	230
2	:	\:	$	$.	_	0	root	_	_
3	Natürlich	natürlich	A	ADJD	Pos|	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	das	die	P	PDS	Neut|Nom|Sg	6	subj	_	_
6	motiviert	motivieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	ja	ja	A	ADV	_	6	adv	_	_
8	die	die	A	ART	Def|Fem|_|Pl	10	det	_	_
9	nachherigen	nachherigen	A	ADJA	_|Fem|_|Pl|_	10	attr	_	_
10	Verwandlungen	Verwandlung	N	NN	Fem|_|Pl	6	obja	_	_
11	.	.	$	$.	_	0	root	_	_

1	Fischer	Fischer	N	NE	_	0	root	2	2
2	:	\:	$	$.	_	0	root	_	_
3	Den	die	A	ART	Def|Masc|Acc|Sg	5	det	_	_
4	heutigen	heutig	A	ADJA	Pos|Masc|Acc|Sg|_|	5	attr	_	_
5	Abend	Abend	N	NN	Masc|Acc|Sg	12	obja	_	_
6	sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
7	man	man	P	PIS	_|Nom|Sg	6	subj	_	_
8	doch	doch	A	ADV	_	12	adv	_	_
9	wirklich	wirklich	A	ADJD	Pos|	12	adv	_	_
10	im	in	P	APPRART	Dat	12	pp	_	_
11	Theaterkalender	Theaterkalender	N	NN	Masc|Dat|Sg	10	pn	_	_
12	beschreiben	beschreiben	V	VVINF	_	6	aux	_	_
13	.	.	$	$.	_	0	root	_	_

1	König	König	N	NN	Masc|_|Sg	0	root	207	207
2	hinter	hinter	P	APPR	Dat	1	pp	207	207
3	der	die	A	ART	Def|Fem|Dat|Sg	4	det	295	295
4	Szene	Szene	N	NN	Fem|Dat|Sg	2	pn	207	207
5	:	\:	$	$.	_	0	root	_	_
6	Nein	nein	P	PTKANT	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	0	root	517	517
9	geh	geh	A	ADJD	_	10	adv	_	_
10	nicht	nicht	P	PTKNEG	_	8	adv	_	_
11	vor	vor	P	PTKVZ	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	durchaus	durchaus	A	ADV	_	14	adv	_	_
14	nicht	nicht	P	PTKNEG	_	0	root	_	_
15	;	;	$	$.	_	0	root	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	517	517
17	kann	können	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
18	es	es	P	PPER	3|Sg|Neut|_	20	obja	_	_
19	nicht	nicht	P	PTKNEG	_	20	adv	_	_
20	vertragen	vertragen	V	VVINF	_	17	aux	_	_
21	,	,	$	$,	_	0	root	_	_
22	wenn	wenn	K	KOUS	_	25	konj	_	_
23	ich	ich	P	PPER	1|Sg|_|Nom	25	subj	517	517
24	ausgelacht	auslachen	V	VVPP	_	25	aux	_	_
25	werde	werden	V	VAFIN	1|Sg|Pres|_	17	neb	_	_
26	.	.	$	$.	_	0	root	_	_

1	Dichter	Dichter	N	NN	_|_|_	0	root	53	53
2	:	\:	$	$.	_	0	root	_	_
3	Aber	aber	K	KON	_	0	root	_	_
4	Sie	sie	P	PPER	3|_|_|_	0	root	295	295
5	-	-	$	$(	_	0	root	_	_
6	teuerster	teuer	A	ADJA	Sup|Masc|Nom|Sg|St|	7	attr	_	_
7	Freund	Freund	N	NN	Masc|Nom|Sg	0	root	_	_
8	-	-	$	$(	_	0	root	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
11	doch	doch	A	ADV	_	15	adv	_	_
