1	Leutner	Leutner	N	NE	_	0	root	30	30
2	:	\:	$	$.	_	0	root	_	_
3	Bald	bald	A	ADV	_	4	adv	_	_
4	halt	halt	A	ADV	_	5	adv	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	0	root	346	346
6	'	'	$	$(	_	0	root	_	_
7	s	s	P	PPER	_	0	root	_	_
8	nicht	nicht	P	PTKNEG	_	7	adv	_	_
9	mehr	mehr	A	ADV	_	8	adv	_	_
10	aus	aus	P	PTKVZ	_	0	root	_	_
11	!	!	$	$.	_	0	root	_	_

1	Wo	Wo	P	PWAV	_	2	adv	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	denn	denn	A	ADV	_	7	adv	_	_
4	nun	nun	A	ADV	_	7	adv	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	345	345
6	Vater	Vater	N	NN	Masc|Nom|Sg	2	subj	345	345
7	geblieben	bleiben	V	VVPP	_	2	aux	345	345
8	,	,	$	$,	_	0	root	345	345
9	der	die	P	PRELS	Masc|Nom|Sg	16	subj	345	345
10	erst	erst	A	ADV	_	16	adv	_	_
11	gegen	gegen	P	APPR	Acc	16	pp	_	_
12	seine	seine	A	PPOSAT	Fem|Acc|Sg	13	det	345	345
13	Tochter	Tochter	N	NN	Fem|Acc|Sg	11	pn	_	_
14	so	so	A	ADV	_	15	adv	_	_
15	zärtlich	zärtlich	A	ADJD	Pos|	16	pred	_	_
16	war	sein	V	VAFIN	3|Sg|Past|Ind	6	rel	_	_
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	16	kon	_	_
19	uns	wir	P	PPER	1|Pl|_|_	22	obja	_	_
20	alle	alle	P	PIS	_|Acc|_	19	app	_	_
21	so	so	A	ADV	_	22	adv	_	_
22	rührte	rühren	V	VVFIN	_|Sg|Past|_	18	cj	_	_
23	?	?	$	$.	_	0	root	_	_

1	Fischer	Fischer	N	NE	_	0	root	2	2
2	:	\:	$	$.	_	0	root	_	_
3	Was	was	P	PWS	Neut|Nom|Sg	6	subj	_	_
4	mich	ich	P	PPER	1|Sg|_|Acc	6	obja	346	346
5	nur	nur	A	ADV	_	6	adv	_	_
6	ärgert	ärgern	V	VVFIN	3|Sg|Pres|Ind	8	objc	_	_
7	,	,	$	$,	_	0	root	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	daß	daß	K	KOUS	_	19	konj	_	_
11	sich	sie	P	PRF	3|_|_	19	obja	_	_
12	kein	keine	A	PIAT	_|Nom|Sg	13	det	_	_
13	Mensch	Mensch	N	NN	_|Nom|Sg	19	subj	_	_
