1	Als	Als	K	KOKOM	_	6	kom	_	_
2	Fermer	Fermer	N	NN	_	1	cj	0	0
3	von	von	P	APPR	_	2	pp	0	0
4	der	die	A	ART	Def|Fem|_|Sg	5	det	56	56
5	Universität	Universität	N	NN	Fem|_|Sg	3	pn	0	0
6	zurückgekommen	zurückkommen	V	VVPP	_	7	aux	_	_
7	war	sein	V	VAFIN	_|Sg|Past|Ind	9	s	_	_
8	,	,	$	$,	_	0	root	_	_
9	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
10	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	0	0
11	zuerst	zuerst	A	ADV	_	9	adv	_	_
12	mit	mit	P	APPR	Dat	9	pp	_	_
13	hochklopfendem	hochklopfend	A	ADJA	Pos|Neut|Dat|Sg|St|<PPRES	14	attr	_	_
14	Herzen	Herzen	N	NN	Neut|Dat|Sg	12	pn	_	_
15	nach	nach	P	APPR	Dat	9	pp	_	_
16	der	die	A	ART	Def|Fem|Dat|Sg	17	det	1	1
17	Straße	Straß	N	NN	Fem|Dat|Sg	15	pn	1	1
18	,	,	$	$,	_	0	root	1	1
19	in	in	P	APPR	Dat	23	objp	1	1
20	der	die	P	PRELS	Fem|Dat|Sg	19	pn	1	1
21	seine	seine	A	PPOSAT	_|Nom|Sg	22	det	0	0
22	Geliebte	Geliebte	N	NN	_|Nom|Sg	23	subj	2	2
23	wohnte	wohnen	V	VVFIN	3|Sg|Past|_	17	rel	_	_
24	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	0	root	2	2
2	gedachte	gedacht	A	ADJA	Pos|_|_|_|_|	7	obja	_	_
3	auf	auf	P	APPR	Dat	7	pp	_	_
4	diesem	diese	A	PDAT	Masc|Dat|Sg	5	det	_	_
5	Gange	Gang	N	NN	Masc|Dat|Sg	3	pn	_	_
6	zu	zu	P	PTKZU	_	7	part	_	_
7	verscheiden	verscheiden	V	VVINF	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	drängte	drängen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	sich	sie	P	PRF	3|_|_	10	obja	_	_
12	ihm	er	P	PPER	3|Sg|_|Dat	10	objd	2	2
13	das	die	A	ART	Def|Neut|Nom|Sg	14	det	_	_
14	Blut	Blut	N	NN	Neut|Nom|Sg	10	subj	_	_
15	aus	aus	P	APPR	Dat	10	pp	_	_
16	allen	alle	A	PIDAT	_|Dat|Pl	17	det	_	_
17	Adern	Ader	N	NN	_|Dat|Pl	15	pn	_	_
18	nach	nach	P	APPR	Dat	15	kon	_	_
19	dem	die	A	ART	Def|Masc|Dat|Sg	20	det	141	141
20	Kopfe	Kopf	N	NN	Masc|Dat|Sg	18	pn	141	141
21	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	1	1
2	Straße	Straß	N	NN	Fem|Nom|Sg	3	subj	1	1
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	etwas	etwas	P	PIS	_|Nom|_	3	pred	_	_
5	entlegen	entlegen	V	VVINF	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	0	root	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	3	3
9	hatte	haben	V	VAFIN	3|Sg|Past|Ind	7	cj	_	_
10	Zeit	Zeit	N	NN	Fem|_|Sg	9	obja	44	44
11	,	,	$	$,	_	0	root	_	_
12	unterwegs	unterwegs	A	ADV	_	17	adv	_	_
13	einige	einige	A	PIAT	Fem|_|Pl	16	det	_	_
14	nicht	nicht	P	PTKNEG	_	15	adv	_	_
15	unwichtige	unwichtig	A	ADJA	Pos|Fem|_|Pl|St|	16	attr	_	_
16	Betrachtungen	Betrachtung	N	NN	Fem|_|Pl	17	obja	_	_
17	anzustellen	anstellen	V	VVIZU	_	9	obji	_	_
18	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	1	1
4	mir	ich	P	PPER	1|Sg|_|Dat	7	objd	4	4
5	noch	noch	A	ADV	_	7	adv	_	_
6	getreu	getreu	A	ADJD	Pos|	7	pred	_	_
7	geblieben	bleiben	V	VVPP	_	2	aux	_	_
8	?	?	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_
10	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	3	3
12	zu	zu	P	APPR	Dat	10	pp	_	_
13	sich	sie	P	PRF	3|_|Dat	12	pn	_	_
14	selbst	selbst	A	ADV	_	12	adv	_	_
15	-	-	$	$(	_	0	root	_	_
16	»	»	$	$(	_	0	root	_	_
17	warum	warum	P	PWAV	_	18	adv	_	_
18	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
19	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	4	4
20	seit	seit	P	APPR	Dat	18	pp	_	_
21	langer	lang	A	ADJA	Pos|Fem|Dat|Sg|St|	22	attr	31	31
22	Zeit	Zeit	N	NN	Fem|Dat|Sg	20	pn	31	31
23	keine	keine	A	PIAT	Masc|_|Pl	24	det	_	_
24	Briefe	Brief	N	NN	Masc|_|Pl	18	obja	_	_
25	von	von	P	APPR	Dat	24	pp	_	_
26	ihr	ihr	P	PPER	3|Sg|Fem|Dat	25	pn	1	1
27	erhalten	erhalten	V	VVINF	_	0	root	_	_
28	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Bei	bei	P	APPR	Dat	0	root	_	_
3	Gott	Gott	N	NN	Masc|Dat|Sg	2	pn	_	_
4	!	!	$	$.	_	0	root	_	_

1	wenn	wenn	K	KOUS	_	5	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	4	4
3	sie	sie	P	PPER	3|_|_|_	5	obja	1	1
4	treulos	treulos	A	ADJD	Pos|	5	adv	_	_
5	fände	finden	V	VVFIN	1|Sg|Past|Subj	0	root	_	_
6	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_

1	Mit	mit	P	APPR	Dat	5	pp	_	_
2	einem	eine	A	ART	Indef|Neut|Dat|Sg	4	det	_	_
3	erhitzten	erhitzt	A	ADJA	Pos|Neut|Dat|Sg|Wk|	4	attr	_	_
4	Gesicht	Gesicht	N	NN	Neut|Dat|Sg	1	pn	_	_
5	lief	laufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	3	3
7	gegen	gegen	P	APPR	Acc	5	objp	_	_
8	ein	eine	A	ART	Indef|Neut|Acc|Sg	10	det	5	5
9	langes	lang	A	ADJA	Pos|Neut|Acc|Sg|St|	10	attr	5	5
10	Stück	Stück	N	NN	Neut|Acc|Sg	7	pn	5	5
11	Bauholz	Bauholz	N	NN	Neut|Acc|Sg	10	app	5	5
12	,	,	$	$,	_	0	root	_	_
13	das	die	P	PRELS	Neut|_|Sg	23	obja	5	5
14	ein	eine	A	ART	Indef|Masc|Nom|Sg	15	det	_	_
15	Lastträger	Lastträger	N	NN	Masc|Nom|Sg	23	subj	_	_
16	mit	mit	P	APPR	Dat	15	pp	_	_
17	einer	eine	A	ART	Indef|Fem|Dat|Sg	19	det	_	_
18	unverschämten	unverschämt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	19	attr	_	_
19	Miene	Miene	N	NN	Fem|Dat|Sg	16	pn	_	_
20	durch	durch	P	APPR	Acc	23	pp	_	_
21	die	die	A	ART	Def|Fem|Acc|Sg	22	det	_	_
22	Gasse	Gasse	N	NN	Fem|Acc|Sg	20	pn	_	_
23	trug	tragen	V	VVFIN	3|Sg|Past|Ind	11	rel	_	_
24	:	\:	$	$.	_	0	root	_	_
25	»	»	$	$(	_	0	root	_	_
26	Vorgesehn	Vorgesehn	N	NE	_	0	root	_	_
27	!	!	$	$.	_	0	root	_	_
28	«	«	$	$(	_	0	root	_	_
29	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
30	dieser	diese	P	PDS	Masc|Nom|Sg	29	subj	_	_
31	,	,	$	$,	_	0	root	_	_
32	als	als	K	KOUS	_	34	konj	_	_
33	er	er	P	PPER	3|Sg|Masc|Nom	34	subj	3	3
34	bemerkte	bemerken	V	VVFIN	3|Sg|Past|_	29	neb	_	_
35	,	,	$	$,	_	0	root	_	_
36	daß	daß	K	KOUS	_	45	konj	_	_
37	der	die	A	ART	Def|Masc|Nom|Sg	39	det	_	_
38	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	39	attr	_	_
39	Fermer	Fermer	N	NN	Masc|Nom|Sg	45	subj	_	_
40	eben	eben	A	ADV	_	44	adv	_	_
41	in	in	P	APPR	Acc	44	objp	_	_
42	hitzige	hitzig	A	ADJA	Pos|Masc|Acc|Pl|St|	43	attr	_	_
43	Vorwürfe	Vorwurf	N	NN	Masc|Acc|Pl	41	pn	_	_
44	ausbrechen	ausbrechen	V	VVINF	_	45	aux	_	_
45	wollte	wollen	V	VMFIN	3|Sg|Past|_	34	objc	_	_
46	.	.	$	$.	_	0	root	_	_

1	Fermer	Fermer	N	NE	_|Nom|Sg	2	subj	6	6
2	fluchte	fluchen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	ein	eine	A	ART	Indef|_|_|Sg	4	det	_	_
4	paarmal	paarmal	N	NN	_|_|Sg	2	obja	_	_
5	und	und	K	KON	_	2	kon	_	_
6	fuhr	fahren	V	VVFIN	_|Sg|Past|Ind	5	cj	_	_
7	dann	dann	A	ADV	_	6	adv	_	_
8	in	in	P	APPR	_	6	pp	_	_
9	seinen	seine	A	PPOSAT	Masc|_|_	10	det	6	6
10	Seufzern	Seufzer	N	NN	Masc|_|_	8	pn	_	_
11	fort	fort	P	PTKVZ	_	6	avz	_	_
12	,	,	$	$,	_	0	root	_	_
13	denn	denn	K	KON	_	6	kon	_	_
14	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	6	6
15	sah	sehen	V	VVFIN	3|Sg|Past|Ind	13	cj	_	_
16	nun	nun	A	ADV	_	15	adv	_	_
17	schon	schon	A	ADV	_	15	adv	_	_
18	das	die	A	ART	Def|Neut|_|Sg	19	det	_	_
19	Haus	Haus	N	NN	Neut|_|Sg	15	obja	_	_
20	vor	vor	P	APPR	_	15	pp	_	_
21	sich	sie	P	PRF	3|_|_	20	pn	_	_
22	,	,	$	$,	_	0	root	_	_
23	ja	ja	A	ADV	_	24	adv	_	_
24	er	er	P	PPER	3|Sg|Masc|Nom	25	subj	6	6
25	glaubte	glauben	V	VVFIN	3|Sg|Past|_	15	kon	_	_
26	sogar	sogar	A	ADV	_	25	adv	_	_
27	am	an	P	APPRART	Dat	25	pp	_	_
28	Fenster	Fenster	N	NN	Neut|Dat|Sg	27	pn	72	72
29	eine	eine	A	ART	Indef|Fem|_|Sg	31	det	_	_
30	weibliche	weiblich	A	ADJA	Pos|Fem|_|Sg|_|	31	attr	_	_
31	Gestalt	Gestalt	N	NN	Fem|_|Sg	33	obja	_	_
32	zu	zu	P	PTKZU	_	33	part	_	_
33	bemerken	bemerken	V	VVINF	_	25	obji	_	_
34	.	.	$	$.	_	0	root	_	_

1	Fermer	Fermer	N	NE	_|Nom|Sg	2	subj	6	6
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	Vermögen	Vermögen	N	NN	Neut|_|_	2	obja	_	_
4	,	,	$	$,	_	0	root	_	_
5	seine	seine	A	PPOSAT	_|Nom|Pl	6	det	6	6
6	Eltern	Elter	N	NN	_|Nom|Pl	7	subj	_	_
7	waren	sein	V	VAFIN	3|Pl|Past|Ind	2	kon	_	_
8	gestorben	sterben	V	VVPP	_	7	aux	_	_
9	;	;	$	$.	_	0	root	_	_
10	er	er	P	PPER	3|Sg|Masc|Nom	11	subj	6	6
11	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
12	nur	nur	A	ADV	_	11	adv	_	_
13	,	,	$	$,	_	0	root	_	_
14	wie	wie	P	PWAV	_	18	adv	_	_
15	man	man	P	PIS	_|Nom|Sg	18	subj	_	_
16	zu	zu	P	PTKZU	_	17	part	_	_
17	sagen	sagen	V	VVINF	_	18	obji	_	_
18	pflegt	pflegen	V	VVFIN	3|Sg|Pres|Ind	11	objc	_	_
19	,	,	$	$,	_	0	root	_	_
20	zu	zu	P	APPR	Dat	23	pp	_	_
21	seinem	seine	A	PPOSAT	Neut|Dat|Sg	22	det	6	6
22	Vergnügen	Vergnügen	N	NN	Neut|Dat|Sg	20	pn	_	_
23	studiert	studieren	V	VVFIN	_|_|Pres|Ind	18	kon	_	_
24	,	,	$	$,	_	0	root	_	_
25	um	um	K	KOUI	_	33	konj	_	_
26	in	in	P	APPR	Dat	31	pp	_	_
27	der	die	A	ART	Def|Fem|Dat|Sg	28	det	39	39
28	Welt	Welt	N	NN	Fem|Dat|Sg	26	pn	39	39
29	über	über	P	APPR	Acc	31	pp	_	_
30	manches	manche	P	PIS	Neut|Acc|Sg	29	pn	_	_
31	mitsprechen	mitsprechen	V	VVINF	_	33	aux	_	_
32	zu	zu	P	PTKZU	_	33	part	_	_
33	können	können	V	VMINF	_	23	neb	_	_
34	,	,	$	$,	_	0	root	_	_
35	denn	denn	K	KON	_	23	kon	_	_
36	das	die	P	PDS	Neut|Nom|Sg	37	subj	_	_
37	ist	sein	V	VAFIN	3|Sg|Pres|Ind	35	cj	_	_
38	ein	eine	A	ART	Indef|_|Nom|Sg	39	det	7	7
39	Nutzen	Nutzen	N	NN	Masc|Nom|Sg	37	pred	7	7
40	,	,	$	$,	_	0	root	7	7
41	den	die	P	PRELS	Masc|Acc|Sg	47	obja	7	7
42	man	man	P	PIS	_|Nom|Sg	46	subj	_	_
43	den	die	A	ART	Def|Fem|Dat|Pl	44	det	_	_
