1	Yin-tschi-fu	Yin-tschi-fu	N	NE	Masc|Nom|Pl	10	subj	234	234
2	und	und	K	KON	_	1	kon	_	_
3	Tschou-hu	Tschou-hu	N	NE	Masc|Nom|Pl	2	cj	235	235
4	,	,	$	$,	_	0	root	235	235
5	die	die	A	ART	Def|Masc|Nom|Pl	8	det	235	235
6	beiden	beide	A	PIDAT	Masc|Nom|Pl	8	attr	235	235
7	greisen	greis	A	ADJA	Pos|Masc|Nom|Pl|Wk|	8	attr	235	235
8	Paladine	Paladin	N	NN	Masc|Nom|Pl	3	app	235	235
9	,	,	$	$,	_	0	root	_	_
10	hoben	heben	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
11	vergeblich	vergeblich	A	ADJD	Pos|	10	adv	_	_
12	sämtliche	sämtliche	A	PIDAT	Fem|_|Pl	13	det	236	236
13	Hände	Hand	N	NN	Fem|_|Pl	10	obja	236	236
14	beschwörend	beschwören	A	ADJD	_|<PPRES	10	adv	_	_
15	hoch	hoch	A	ADJD	Pos|	10	adv	_	_
16	und	und	K	KON	_	10	kon	_	_
17	zitierten	zitieren	V	VVFIN	_|Pl|Past|_	16	cj	_	_
18	die	die	A	ART	Def|Masc|_|Pl	19	det	537	537
19	Klassiker	Klassiker	N	NN	Masc|_|Pl	17	obja	537	537
20	,	,	$	$,	_	0	root	_	_
21	-	-	$	$(	_	0	root	_	_
22	Majestät	Majestät	N	NN	Fem|Nom|Sg	24	subj	221	221
23	Yu	Yu	N	NE	Fem|Nom|Sg	22	app	221	221
24	pfiff	pfeifen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
25	den	die	A	ART	Def|Masc|Acc|Sg	27	det	_	_
26	letzten	letzte	A	ADJA	Pos|Masc|Acc|Sg|_|	27	attr	_	_
27	Gassenhauer	Gassenhauer	N	NN	Masc|Acc|Sg	24	obja	_	_
28	dazu	dazu	P	PROAV	_	24	pp	_	_
29	und	und	K	KON	_	24	kon	_	_
30	meinte	meinen	V	VVFIN	_|Sg|Past|_	29	cj	_	_
31	,	,	$	$,	_	0	root	_	_
32	sie	sie	P	PPER	3|Pl|_|Nom	33	subj	236	236
33	sollten	sollen	V	VMFIN	3|Pl|Past|_	30	s	_	_
34	nur	nur	A	ADV	_	39	adv	_	_
35	nicht	nicht	P	PTKNEG	_	39	adv	_	_
36	gar	gar	A	ADV	_	39	adv	_	_
37	so	so	A	ADV	_	38	adv	_	_
38	feierlich	feierlich	A	ADJD	Pos|	39	adv	_	_
39	tun	tun	V	VVINF	_	33	aux	_	_
40	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	236	236
2	seien	sein	V	VAFIN	3|Pl|Pres|Subj	0	root	_	_
3	fertig	fertig	A	ADJD	Pos|	2	pred	_	_
4	mit	mit	P	APPR	Dat	2	pp	_	_
5	dem	die	A	ART	Def|Neut|Dat|Sg	6	det	_	_
6	Leben	Leben	N	NN	Neut|Dat|Sg	4	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	221	221
9	wollte	wollen	V	VMFIN	3|Sg|Past|_	2	kon	_	_
10	gerade	gerade	A	ADV	_	11	adv	_	_
11	anfangen	anfangen	V	VVINF	_	9	aux	_	_
12	.	.	$	$.	_	0	root	_	_

1	Also	also	A	ADV	_	2	adv	_	_
2	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	besser	gut	A	ADJD	Comp|	2	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	sie	sie	P	PPER	3|Pl|_|Nom	7	subj	236	236
7	ließen	lassen	V	VVFIN	3|Pl|Past|_	2	kon	_	_
8	ihn	er	P	PPER	3|Sg|Masc|Acc	7	obja	221	221
9	ungeschoren	ungeschoren	A	ADJD	Pos|	7	adv	_	_
10	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|_|Sg	0	root	_	_
2	nahmen	nehmen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
3	die	die	A	ART	Def|Masc|Nom|Pl	5	det	_	_
4	greisen	greis	A	ADJA	Pos|Masc|Nom|Pl|Wk|	5	attr	_	_
5	Paladine	Paladin	N	NN	Masc|Nom|Pl	2	subj	_	_
6	loyal	loyal	A	ADJD	Pos|	2	adv	_	_
7	ad	ad	F	FM	_	2	obja	_	_
8	notam	notam	F	FM	_	7	app	_	_
9	,	,	$	$,	_	0	root	_	_
