1	Ach	ach	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	wie	wie	P	PWAV	_	4	adv	_	_
4	wunderhold	wunderhold	A	ADJD	Pos|	11	adv	_	_
5	'	'	$	$(	_	0	root	_	_
6	s	s	P	PPER	_|Sg|_|Nom	11	subj	33	33
7	ihm	er	P	PPER	3|Sg|_|Dat	11	objd	2	2
8	im	in	P	APPRART	Dat	11	pp	_	_
9	rundwölbigen	rundwölbigen	A	ADJA	_|Masc|Dat|Sg|_	10	attr	172	172
10	Keller	Keller	N	NN	Masc|Dat|Sg	8	pn	172	172
11	widerklang	widerklingen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	wenn	wenn	K	KOUS	_	15	konj	_	_
14	sie	sie	P	PPER	3|Sg|Fem|Nom	15	subj	102	102
15	lispelte	lispeln	V	VVFIN	3|Sg|Past|_	11	neb	_	_
16	:	\:	$	$.	_	0	root	_	_
17	»	»	F	FM	_	0	root	_	_
18	Lieb	Lieb	F	FM	_	17	app	_	_
19	'	'	$	$(	_	0	root	_	_
20	s	s	P	PPER	_	0	root	_	_
21	Ralphle	Ralphle	N	NN	_	20	app	_	_
22	lieb	lieb	A	ADJD	Pos|	24	adv	_	_
23	'	'	$	$(	_	0	root	_	_
24	s	s	P	PPER	_	0	root	108	108
25	,	,	$	$,	_	0	root	_	_
26	was	was	P	PWS	Neut|Nom|Sg	27	pred	_	_
27	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
28	Du	du	P	PPER	2|Sg|_|Nom	27	subj	106	106
29	g	g	N	NN	_|Dat|_	27	objd	_	_
30	'	'	$	$(	_	0	root	_	_
31	schmeidi	schmeidi	F	FM	_|Dat|_	29	app	_	_
32	!	!	$	$.	_	0	root	_	_
33	«	«	$	$(	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	glaubte	glauben	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	denn	denn	A	ADV	_	2	adv	_	_
5	im	in	P	APPRART	Dat	2	pp	_	_
6	Grunde	Grund	N	NN	Masc|Dat|Sg	5	pn	73	73
7	jeder	jede	A	PIDAT	Masc|Nom|Sg	8	det	_	_
8	Hahn	Hahn	N	NN	Masc|Nom|Sg	2	subj	_	_
9	im	in	P	APPRART	Dat	2	pp	_	_
10	Margrethenkorbe	Margrethenkorbe	N	NN	_|Dat|Pl	9	pn	109	109
11	und	und	K	KON	_	0	root	109	109
12	lachte	lachen	V	VVFIN	3|Sg|Past|_	0	root	109	109
13	heimlich	heimlich	A	ADJD	Pos|	12	adv	109	109
14	die	die	A	ART	Def|_|_|_	15	det	109	109
15	andern	andern	A	ADJA	_|_|_	12	subj	109	109
16	aus	aus	P	PTKVZ	_	12	avz	109	109
17	,	,	$	$,	_	0	root	109	109
18	die	die	P	PRELS	_|Nom|Pl	22	subj	109	109
19	nach	nach	P	APPR	Dat	22	pp	_	_
20	demselben	dieselbe	A	PDAT	Masc|Dat|Sg	21	det	_	_
21	Bissen	Biss	N	NN	Masc|Dat|Sg	19	pn	_	_
22	leckten	lecken	V	VVFIN	3|Pl|Past|_	10	rel	_	_
23	,	,	$	$,	_	0	root	_	_
24	und	und	K	KON	_	22	kon	_	_
25	keiner	keine	P	PIS	Masc|Nom|Sg	26	subj	_	_
26	wußte	wußte	V	VVFIN	_|Sg|_|_	24	cj	_	_
27	,	,	$	$,	_	0	root	_	_
28	daß	daß	K	KOUS	_	34	konj	_	_
29	ein	eine	A	ART	Indef|Masc|Nom|Sg	30	det	_	_
30	Korb	Korb	N	NN	Masc|Nom|Sg	34	subj	_	_
31	drei	drei	C	CARD	_	32	attr	_	_
32	Hähne	Hahn	N	NN	Masc|_|Pl	33	obja	_	_
33	beherbergen	beherbergen	V	VVINF	_	34	aux	_	_
34	kann	können	V	VMFIN	3|Sg|Pres|Ind	26	objc	_	_
35	,	,	$	$,	_	0	root	_	_
36	wenn	wenn	K	KOUS	_	42	konj	_	_
37	die	die	A	ART	Def|Fem|Nom|Sg	38	det	_	_
38	Körblerin	Körblerin	N	NN	Fem|Nom|Sg	42	subj	_	_
39	es	es	P	PPER	3|Sg|Neut|_	41	obja	_	_
40	nur	nur	A	ADV	_	41	adv	_	_
41	einzuteilen	einteilen	V	VVIZU	_	42	obji	_	_
42	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	34	neb	_	_
43	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|_|_|Sg	0	root	_	_
2	bißchen	bißchen	A	ADV	_	3	adv	_	_
3	dumm	dumm	A	ADJD	Pos|	4	pred	_	_
4	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
5	die	die	A	ART	Def|_|Nom|Pl	8	det	68	68
6	drei	drei	C	CARD	_	8	attr	68	68
7	jungen	jung	A	ADJA	Pos|_|Nom|Pl|Wk|	8	attr	68	68
8	Junggesellen	Junggeselle	N	NN	_|Nom|Pl	4	subj	68	68
9	schon	schon	A	ADV	_	4	adv	_	_
10	,	,	$	$,	_	0	root	_	_
11	wie	wie	P	PWAV	_	13	adv	_	_
12	man	man	P	PIS	_|Nom|Sg	13	subj	_	_
13	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	4	objc	_	_
14	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	was	was	P	PWS	Neut|_|Sg	18	obja	_	_
3	will	wollen	V	VMFIN	3|Sg|Pres|Ind	1	cj	_	_
4	man	man	P	PIS	_|Nom|Sg	3	subj	_	_
5	bei	bei	P	APPR	Dat	18	pp	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	ungenügenden	ungenügend	A	ADJA	Pos|_|Dat|_|_|_	8	attr	_	_
8	Volksschulverhältnissen	Volksschulverhältnis	N	NN	_|Dat|_	5	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	wie	wie	P	PWAV	_	15	adv	_	_
11	sie	sie	P	PPER	3|Pl|_|Nom	15	subj	68	68
12	in	in	P	APPR	Dat	15	pp	_	_
13	den	die	A	ART	Def|Fem|Dat|Pl	14	det	110	110
14	Raubritterzeiten	Raubritterzeit	N	NN	Fem|Dat|Pl	12	pn	110	110
15	herrschten	herrschen	V	VVFIN	3|Pl|Past|_	8	objc	_	_
16	,	,	$	$,	_	0	root	_	_
17	anders	anders	A	ADV	_	8	adv	_	_
18	verlangen	verlangen	V	VVINF	_	3	aux	_	_
19	?	?	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	halt	halt	A	ADV	_	2	adv	_	_
4	das	die	A	ART	Def|Neut|Nom|Sg	6	det	_	_
5	finstre	finstre	A	ADJA	_|Neut|Nom|Sg|_	6	attr	_	_
6	Mittelalter	Mittelalter	N	NN	Neut|Nom|Sg	2	pred	_	_
7	.	.	$	$.	_	0	root	_	_

1	Also	also	A	ADV	_	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	gut	gut	A	ADJD	Pos|	4	pred	_	_
4	ging	gehen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
5	'	'	$	$(	_	0	root	_	_
6	s	s	P	PPER	_|Sg|_|Nom	4	subj	2	2
7	im	in	P	APPRART	Dat	4	pp	_	_
8	allgemeinen	allgemein	A	ADJA	Pos|_|Dat|_|_|	7	pn	_	_
9	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	kriegte	kriegen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	jeder	jede	P	PIS	Masc|Nom|Sg	2	subj	_	_
4	sein	seine	A	PPOSAT	_|_|Sg	5	det	2	2
5	Annemargrethisch	Annemargrethisch	N	NN	_|_|Sg	2	obja	_	_
6	Teil	Teil	N	NN	_|_|Sg	5	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	ein	eine	A	ART	Indef|_|_|Sg	12	det	111	111
11	paar	paar	A	PIDAT	Fem|Nom|Pl	12	attr	111	111
12	Verdachtswolken	Verdachtswolke	N	NN	Fem|Nom|Pl	13	subj	111	111
13	abgerechnet	abrechnen	V	VVPP	_	8	cj	_	_
14	,	,	$	$,	_	0	root	_	_
15	die	die	P	PRELS	_|_|_	0	root	111	111
16	sich	sie	P	PRF	3|_|_	29	obja	_	_
17	hie	hie	A	ADV	_	29	adv	_	_
18	und	und	K	KON	_	17	kon	_	_
19	da	da	A	ADV	_	18	cj	_	_
20	über	über	P	APPR	Dat	29	pp	_	_
21	dem	die	A	ART	Def|Neut|Dat|Sg	22	det	_	_
22	Haupte	Haupt	N	NN	Neut|Dat|Sg	20	pn	_	_
23	Rolfs	Rolf	N	NE	Masc|Gen|Sg	22	gmod	30	30
24	gleich	gleich	A	ADJD	Pos|	25	adv	_	_
25	schwarzen	schwarz	A	ADJA	Pos|Fem|Nom|Pl|Wk|	26	attr	_	_
26	Kutteln	Kuttel	N	NN	Fem|Nom|Pl	29	subj	_	_
27	himmlischer	himmlischer	A	ADJA	_|Fem|Nom|Pl|_	28	attr	_	_
28	Riesenkühe	Riesenkuh	N	NN	Fem|Nom|Pl	26	app	_	_
29	zusammenzogen	zusammenziehen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
30	,	,	$	$,	_	0	root	_	_
31	trübte	trüben	V	VVFIN	3|Sg|Past|_	0	root	_	_
32	nichts	nichts	P	PIS	_|Nom|Sg	31	subj	_	_
33	die	die	A	ART	Def|Fem|_|Sg	35	det	_	_
34	verliebte	verliebt	A	ADJA	Pos|Fem|_|Sg|_|	35	attr	_	_
35	Selbstsicherheit	Selbstsicherheit	N	NN	Fem|_|Sg	31	obja	_	_
36	jedes	jede	A	PIDAT	_|_|Sg	37	det	_	_
37	einzelnen	einzeln	A	ADJA	_|Gen|Sg	35	gmod	_	_
38	.	.	$	$.	_	0	root	_	_

1	Ralph	Ralph	N	NE	_|Nom|Sg	2	subj	33	33
2	blies	blasen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	bereits	bereits	A	ADV	_	4	adv	_	_
4	schelmische	schelmisch	A	ADJA	Pos|_|_|_|_|	5	attr	_	_
5	Triller	Triller	N	NN	_|_|_	2	obja	_	_
6	auf	auf	P	APPR	Dat	2	pp	_	_
7	der	die	A	ART	Def|Fem|Dat|Sg	8	det	112	112
8	Klappentrompete	Klappentrompete	N	NN	Fem|Dat|Sg	6	pn	112	112
9	,	,	$	$,	_	0	root	_	_
10	Welf	Welf	N	NE	_|Nom|Sg	11	subj	29	29
11	verübte	verüben	V	VVFIN	3|Sg|Past|_	2	kon	_	_
12	ganz	ganz	A	ADV	_	13	adv	_	_
13	virtuos	virtuos	A	ADJD	Pos|	14	adv	_	_
14	leidenschaftliche	leidenschaftlich	A	ADJA	Pos|_|_|_|_|	15	attr	_	_
15	Donnerwetter	Donnerwetter	N	NN	_|_|_	11	obja	_	_
16	der	die	A	ART	Def|Fem|Gen|Sg	17	det	183	183
17	Liebe	Liebe	N	NN	Fem|Gen|Sg	15	gmod	183	183
18	auf	auf	P	APPR	Dat	11	pp	_	_
19	der	die	A	ART	Def|Fem|Dat|Sg	20	det	113	113
20	Kesselpauke	Kesselpauke	N	NN	Fem|Dat|Sg	18	pn	113	113
21	,	,	$	$,	_	0	root	113	113
22	und	und	K	KON	_	11	kon	113	113
23	Rolf	Rolf	N	NE	Masc|Nom|Sg	24	subj	30	30
24	hatte	haben	V	VAFIN	3|Sg|Past|Ind	22	cj	_	_
25	ungefähr	ungefähr	A	ADJD	Pos|	24	adv	_	_
26	sämtliche	sämtliche	A	PIDAT	Masc|_|Pl	27	det	_	_
27	Reime	Reim	N	NN	Masc|_|Pl	24	obja	_	_
28	beisammen	beisammen	P	PTKVZ	_	24	avz	_	_
29	,	,	$	$,	_	0	root	_	_
30	die	die	P	PRELS	Fem|Nom|Sg	36	subj	113	113
31	die	die	A	ART	Def|Fem|_|Sg	33	det	_	_
32	deutsche	deutsch	A	ADJA	Pos|Fem|_|Sg|_|	33	attr	_	_
33	Sprache	Sprache	N	NN	Fem|_|Sg	36	obja	_	_
34	auf	auf	P	APPR	_	36	pp	_	_
35	et	et	F	FM	_|_|_	34	pn	_	_
36	hergibt	hergeben	V	VVFIN	3|Sg|Pres|Ind	20	rel	_	_
37	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	fast	fast	A	ADV	_	4	adv	_	_
4	idyllisch	idyllisch	A	ADJD	Pos|	2	adv	_	_
5	auf	auf	P	APPR	_	2	pp	_	_
6	Wolfsturm	Wolfsturm	N	NN	Masc|_|Sg	5	pn	72	72
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	0	root	_	_
9	sämtliche	sämtliche	A	PIDAT	Masc|_|_	10	det	_	_
10	Bewohner	Bewohner	N	NN	Masc|_|_	8	cj	_	_
11	dieses	diese	A	PDAT	Masc|Gen|Sg	13	det	_	_
12	adeligen	adelig	A	ADJA	Pos|Masc|Gen|Sg|_|	13	attr	_	_
13	Sitzes	Sitz	N	NN	Masc|Gen|Sg	10	gmod	_	_
14	,	,	$	$,	_	0	root	_	_
15	Christoph	Christoph	N	NE	Masc|_|Sg	10	kon	38	38
16	und	und	K	KON	_	15	kon	_	_
