1	Zwei	zwei	C	CARD	_	3	attr	_	_
2	tadellose	tadellos	A	ADJA	Pos|Fem|_|Pl|St|	3	attr	_	_
3	Strophen	Strophe	N	NN	Fem|_|Pl	0	root	_	_
4	aus	aus	P	APPR	Dat	3	pp	_	_
5	einem	eine	A	ART	Indef|Neut|Dat|Sg	6	det	_	_
6	Hohenliede	Hochenlied	N	NN	Neut|Dat|Sg	4	pn	_	_
7	auf	auf	P	APPR	Acc	4	kon	_	_
8	das	die	A	ART	Def|Neut|Acc|Sg	9	det	_	_
9	Runde	Rund	N	NN	Neut|Acc|Sg	7	pn	_	_
10	.	.	$	$.	_	0	root	_	_

1	Darf	dürfen	V	VMFIN	3|Sg|Pres|Ind	9	neb	_	_
2	man	man	P	PIS	_|Nom|Sg	1	subj	_	_
3	das	die	A	ART	Def|Neut|_|Sg	4	det	_	_
4	Wort	Wort	N	NN	Neut|_|Sg	6	obja	_	_
5	Hemiglobik	Hemiglobik	N	NE	Neut|_|Sg	4	app	_	_
6	wagen	wagen	V	VVINF	_	1	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	behaupte	behaupten	V	VVFIN	1|Sg|Pres|_	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	46	46
11	getrost	getrost	A	ADJD	Pos|	9	adv	_	_
12	,	,	$	$,	_	0	root	_	_
13	daß	daß	K	KOUS	_	26	konj	_	_
14	in	in	P	APPR	_	25	pp	_	_
15	den	die	A	ART	Def|_|_|_	16	det	_	_
16	Backen	Backe	N	NN	_|_|_	14	pn	_	_
17	des	die	A	ART	Def|Masc|Gen|Sg	19	det	_	_
18	sechsundzwanzigjährigen	sechsundzwanzigjährig	A	ADJA	Pos|Masc|Gen|Sg|_|	19	attr	_	_
19	Kaktus	Kaktus	N	NN	Masc|Gen|Sg	16	gmod	_	_
20	die	die	A	ART	Def|Fem|Nom|Sg	21	det	_	_
21	Hemiglobik	Hemiglobik	N	NN	Fem|Nom|Sg	26	subj	_	_
22	zur	zu	P	APPRART	Dat	25	pp	_	_
23	klassischen	klassisch	A	ADJA	Pos|_|Dat|Sg|Wk|	24	attr	_	_
24	Vollendung	Vollendung	N	NN	_|Dat|Sg	22	pn	_	_
25	gediehen	gedeihen	V	VVPP	_	26	aux	_	_
26	war	sein	V	VAFIN	3|Sg|Past|Ind	9	objc	_	_
27	.	.	$	$.	_	0	root	_	_

1	Genug	genug	A	ADJD	Pos|	0	root	_	_
2	davon	davon	P	PROAV	_	1	pp	_	_
3	;	;	$	$.	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	46	46
5	gerate	geraten	V	VVFIN	1|Sg|Pres|_	0	root	_	_
6	sonst	sonst	A	ADV	_	5	adv	_	_
7	ins	in	P	APPRART	Acc	5	objp	_	_
8	Mathematische	Mathematische	N	NN	_|Acc|_	7	pn	_	_
9	.	.	$	$.	_	0	root	_	_

1	Sehen	sehen	V	VVFIN	1|Pl|Pres|_	0	root	_	_
2	wir	wir	P	PPER	1|Pl|_|Nom	1	subj	_	_
3	uns	wir	P	PRF	1|Pl|Dat	1	objd	_	_
4	lieber	lieb	A	ADJD	Comp|	1	adv	_	_
5	die	die	A	ART	Def|Neut|_|Pl	6	det	47	47
6	Augen	Auge	N	NN	Neut|_|Pl	1	obja	47	47
7	an	an	P	PTKVZ	_	1	avz	_	_
8	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	nicht	nicht	P	PTKNEG	_	2	adv	_	_
4	ganz	ganz	A	ADV	_	5	adv	_	_
5	leicht	leicht	A	ADJD	Pos|	2	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	denn	denn	K	KON	_	2	kon	_	_
8	es	es	P	PPER	3|Sg|Neut|Nom	9	subj	_	_
9	versteht	verstehen	V	VVFIN	3|Sg|Pres|Ind	7	cj	_	_
10	sich	sie	P	PRF	3|_|_	9	obja	_	_
11	,	,	$	$,	_	0	root	_	_
12	daß	daß	K	KOUS	_	0	root	_	_
13	sie	sie	P	PPER	3|_|_|_	0	root	47	47
14	durch	durch	P	APPR	Acc	13	pp	_	_
15	die	die	A	ART	Def|Fem|Acc|Sg	17	det	_	_
16	starke	stark	A	ADJA	Pos|Fem|Acc|Sg|_|	17	attr	_	_
17	Plastik	Plastik	N	NN	Fem|Acc|Sg	14	pn	_	_
18	der	die	A	ART	Def|_|Gen|Pl	19	det	48	48
19	Backen	Backe	N	NN	_|Gen|Pl	17	gmod	48	48
20	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
21	bißchen	bißchen	A	ADV	_	22	adv	_	_
22	beeinträchtigt	beeinträchtigen	V	VVPP	_	23	aux	_	_
23	waren	sein	V	VAFIN	_|Pl|Past|Ind	0	root	_	_
24	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	48	48
2	hielten	halten	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	etwas	etwas	A	ADV	_	2	adv	_	_
5	im	in	P	APPRART	Dat	2	pp	_	_
6	Hintergrunde	Hintergrund	N	NN	Masc|Dat|Sg	5	pn	_	_
7	auf	auf	P	PTKVZ	_	2	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	2	kon	_	_
10	es	es	P	PPER	3|Sg|Neut|_	14	expl	_	_
11	war	sein	V	VAFIN	_|Sg|Past|Ind	9	cj	_	_
12	ihnen	sie	P	PPER	3|Pl|_|Dat	14	objd	48	48
13	nicht	nicht	P	PTKNEG	_	14	adv	_	_
14	gegeben	geben	V	VVPP	_	11	aux	_	_
15	zu	zu	P	PTKZU	_	16	part	_	_
16	rollen	rollen	V	VVINF	_	14	obji	_	_
17	,	,	$	$,	_	0	root	_	_
18	weil	weil	K	KOUS	_	23	konj	_	_
19	kein	keine	A	PIAT	Masc|Nom|Sg	20	det	_	_
20	Platz	Platz	N	NN	Masc|Nom|Sg	23	subj	_	_
21	dazu	dazu	P	PROAV	_	23	pp	_	_
22	da	da	A	ADV	_	23	adv	_	_
23	war	sein	V	VAFIN	3|Sg|Past|Ind	16	neb	_	_
24	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	doch	doch	A	ADV	_	3	adv	_	_
3	hätte	haben	V	VAFIN	3|Sg|Past|Subj	1	cj	_	_
4	Augenrollen	Augenrolle	N	NN	Neut|Nom|Sg	3	subj	_	_
5	so	so	A	ADV	_	6	adv	_	_
6	gut	gut	A	ADJD	Pos|	9	adv	_	_
7	zu	zu	P	APPR	Dat	9	pp	_	_
8	Kaktus	Kaktus	N	NN	Masc|Dat|Sg	7	pn	8	8
9	gepaßt	gepaßt	V	VVPP	_	3	aux	_	_
10	.	.	$	$.	_	0	root	_	_

1	Dafür	Dafür	P	PROAV	_	2	pp	_	_
2	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
3	sie	sie	P	PPER	3|Pl|_|Nom	2	subj	48	48
4	aber	aber	A	ADV	_	2	adv	_	_
5	sehr	sehr	A	ADV	_	6	adv	_	_
6	blau	blau	A	ADJD	Pos|	2	pred	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	6	kon	_	_
9	zwar	zwar	A	ADV	_	8	cj	_	_
10	von	von	P	APPR	_	2	pp	_	_
11	einer	eine	A	ART	Indef|Fem|_|Sg	12	det	49	49
12	Bläue	Bläue	N	NN	Fem|_|Sg	10	pn	49	49
13	,	,	$	$,	_	0	root	49	49
14	die	die	P	PRELS	Fem|Nom|Sg	20	subj	49	49
15	sonst	sonst	A	ADV	_	20	adv	_	_
16	nicht	nicht	P	PTKNEG	_	20	adv	_	_
17	in	in	P	APPR	Dat	20	pp	_	_
18	der	die	A	ART	Def|Fem|Dat|Sg	19	det	147	147
19	Natur	Natur	N	NN	Fem|Dat|Sg	17	pn	147	147
20	vorkommt	vorkommen	V	VVFIN	3|Sg|Pres|Ind	12	rel	_	_
21	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	4	4
3	entsinne	entsinnen	V	VVFIN	1|Sg|Pres|_	1	cj	_	_
4	mich	ich	P	PRF	1|Sg|Acc	3	obja	_	_
5	,	,	$	$,	_	0	root	_	_
6	einmal	einmal	A	ADV	_	9	adv	_	_
7	einen	eine	A	ART	Indef|Masc|Acc|Sg	8	det	50	50
8	Likör	Likör	N	NN	Masc|Acc|Sg	9	obja	50	50
9	gesehen	sehen	V	VVPP	_	3	neb	_	_
10	(	(	$	$(	_	0	root	_	_
11	nicht	nicht	P	PTKNEG	_	12	adv	_	_
12	getrunken	trinken	V	VVPP	_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	gottbehüte	gottbehüte	F	FM	_	0	root	_	_
15	!	!	$	$.	_	0	root	_	_

1	)	)	$	$(	_	0	root	_	_
2	zu	zu	P	PTKZU	_	3	part	_	_
3	haben	haben	V	VAINF	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	der	die	P	PRELS	Masc|Nom|Sg	7	subj	_	_
6	so	so	A	ADV	_	7	pred	_	_
7	aussah	aussehen	V	VVFIN	3|Sg|Past|Ind	3	rel	_	_
8	.	.	$	$.	_	0	root	_	_

1	Wer	wer	P	PWS	_|Nom|Sg	6	subj	_	_
2	diesen	diese	A	PDAT	Masc|Acc|Sg	3	det	50	50
3	Likör	Likör	N	NN	Masc|Acc|Sg	5	obja	50	50
4	nicht	nicht	P	PTKNEG	_	5	adv	_	_
5	gesehen	sehen	V	VVPP	_	6	aux	_	_
6	hat	haben	V	VAFIN	3|Sg|Pres|Ind	8	subjc	_	_
7	,	,	$	$,	_	0	root	_	_
8	kann	können	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
9	sich	sie	P	PRF	3|_|Dat	14	objd	_	_
10	auch	auch	A	ADV	_	14	adv	_	_
11	keinen	keine	A	PIAT	Masc|Acc|Sg	12	det	_	_
12	Begriff	Begriff	N	NN	Masc|Acc|Sg	14	obja	_	_
13	davon	davon	P	PROAV	_	14	objp	_	_
14	machen	machen	V	VVINF	_	8	aux	_	_
15	,	,	$	$,	_	0	root	_	_
16	von	von	P	APPR	_	23	pp	_	_
17	welcher	welche	A	PWAT	Fem|_|Sg	18	det	_	_
18	Art	Art	N	NN	Fem|_|Sg	16	pn	_	_
19	Blau	Blau	N	NN	Neut|Dat|Sg	23	objd	_	_
20	die	die	A	ART	Def|Neut|Nom|Pl	21	det	47	47
21	Augen	Auge	N	NN	Neut|Nom|Pl	23	subj	47	47
22	Kaktussens	Kaktussen	N	NN	Masc|Nom|Pl	23	pred	_	_
23	waren	sein	V	VAFIN	3|Pl|Past|Ind	14	objc	_	_
24	.	.	$	$.	_	0	root	_	_

1	Von	von	P	APPR	_	3	pp	_	_
2	Augenbrauen	Augenbraue	N	NN	_|_|_	1	pn	_	_
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	nur	nur	A	ADV	_	3	adv	_	_
5	ein	eine	A	ART	Indef|Masc|Nom|Sg	7	det	_	_
6	flaumiger	flaumig	A	ADJA	Pos|Masc|Nom|Sg|St|	7	attr	_	_
7	Ansatz	Ansatz	N	NN	Masc|Nom|Sg	3	subj	_	_
8	vorhanden	vorhanden	A	ADJD	Pos|	3	pred	_	_
9	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	gleich	gleich	A	ADJD	Pos|	2	adv	_	_
4	und	und	K	KON	_	3	kon	_	_
5	ohne	ohne	P	APPR	Acc	4	cj	_	_
6	weiteres	weit	A	ADJA	Comp|Neut|Acc|Sg|St|	5	pn	_	_
7	die	die	A	ART	Def|Fem|_|Sg	8	det	51	51
