1	Yen	Yen	N	NN	Masc|_|_	0	root	60	60
2	?	?	$	$.	_	0	root	_	_

1	Tschi	Tschi	N	NE	_	0	root	43	43
2	?	?	$	$.	_	0	root	_	_

1	Untergang	Untergang	N	NN	_|_|Sg	0	root	_	_
2	?	?	$	$.	_	0	root	_	_

1	Dem	die	A	ART	Def|Neut|Dat|Sg	2	det	96	96
2	Hause	Haus	N	NN	Neut|Dat|Sg	0	root	96	96
3	Tschou	Tschou	N	NE	Neut|Dat|Sg	2	app	96	96
4	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
3	für	für	P	APPR	Acc	2	pp	_	_
4	eine	eine	A	ART	Indef|Fem|Acc|Sg	6	det	41	41
5	niederträchtige	niederträchtig	A	ADJA	Pos|Fem|Acc|Sg|_|	6	attr	41	41
6	Singerei	Singerei	N	NN	Fem|Acc|Sg	3	pn	41	41
7	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Arretiert	arretieren	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	die	die	A	ART	Def|Masc|_|Pl	4	det	_	_
4	Bengel	Bengel	N	NN	Masc|_|Pl	2	obja	_	_
5	!	!	$	$.	_	0	root	_	_

1	Her	her	A	ADV	_	3	adv	622	622
2	das	die	A	ART	Def|Neut|_|Sg	3	det	622	622
3	Gesindel	Gesindel	N	NN	Neut|_|Sg	0	root	622	622
4	!	!	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Neut|Nom|Pl	2	det	30	30
2	Bübchen	Bübchen	N	NN	Neut|Nom|Pl	3	subj	30	30
3	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
4	bald	bald	A	ADV	_	5	adv	_	_
5	eingefangen	einfangen	V	VVPP	_	3	aux	_	_
6	und	und	K	KON	_	3	kon	_	_
7	standen	stehen	V	VVFIN	_|Pl|Past|Ind	6	cj	_	_
8	nun	nun	A	ADV	_	7	adv	_	_
9	heulend	heulen	A	ADJD	_|<PPRES	7	adv	_	_
10	vor	vor	P	APPR	Dat	7	objp	_	_
11	Seiner	seine	A	PPOSAT	Fem|Dat|Sg	12	det	2	2
12	Majestät	Majestät	N	NN	Fem|Dat|Sg	10	pn	_	_
13	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ruhe	Ruhe	I	ITJ	_	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	schnaubte	schnauben	V	VVFIN	3|Sg|Past|_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	_	_
3	Sohn	Sohn	N	NN	Masc|Nom|Sg	1	subj	_	_
4	des	die	A	ART	Def|Masc|Gen|Sg	5	det	31	31
5	Himmels	Himmel	N	NN	Masc|Gen|Sg	3	gmod	31	31
6	sie	sie	P	PPER	3|_|_|_	1	obja	30	30
7	an	an	P	PTKVZ	_	1	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	der	die	P	PRELS	Masc|Nom|Sg	15	subj	31	31
10	selber	selber	A	ADV	_	15	adv	_	_
11	genug	genug	A	PIAT	Neut|_|Pl	12	det	_	_
12	Kinder	Kind	N	NN	Neut|_|Pl	15	obja	_	_
13	zu	zu	P	APPR	Dat	15	pp	_	_
14	Hause	Haus	N	NN	Neut|Dat|Sg	13	pn	131	131
15	hatte	haben	V	VAFIN	3|Sg|Past|Ind	5	rel	_	_
16	,	,	$	$,	_	0	root	_	_
17	Ruhe	Ruhe	N	NN	Fem|_|Sg	1	vok	75	75
18	!	!	$	$.	_	0	root	_	_

1	und	und	K	KON	_	0	root	_	_
2	die	die	A	ART	Def|Fem|Nom|Sg	3	det	1142	1142
3	Wahrheit	Wahrheit	N	NN	Fem|Nom|Sg	4	subj	1142	1142
4	gesagt	sagen	V	VVPP	_	1	cj	_	_
5	!	!	$	$.	_	0	root	_	_

1	Wer	wer	P	PWS	_|Nom|Sg	5	subj	_	_
2	von	von	P	APPR	_	1	pp	_	_
3	euch	ihr	P	PPER	Masc|_|Pl	2	pn	_	_
4	Lümmels	Lümmel	N	NN	Masc|_|_	3	app	_	_
5	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	das	die	A	ART	Def|Neut|_|Sg	7	det	32	32
7	Lied	Lied	N	NN	Neut|_|Sg	8	obja	32	32
8	aufgebracht	aufbringen	V	VVPP	_	5	aux	_	_
9	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	33	33
3	nich	nich	V	VVFIN	1|Sg|_|_	0	root	_	_
4	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	33	33
2	nich	nich	V	VVFIN	1|Sg|_|_	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	33	33
2	nich	nich	V	VVFIN	1|Sg|_|_	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	beteuerten	beteuern	V	VVFIN	3|Pl|Past|_	0	root	_	_
2	sie	sie	P	PPER	3|Pl|_|Nom	1	subj	_	_
3	alle	alle	P	PIS	_|Nom|_	2	app	_	_
4	und	und	K	KON	_	1	kon	_	_
5	heulten	heulen	V	VVFIN	_|Pl|Past|_	4	cj	_	_
6	noch	noch	A	ADV	_	5	adv	_	_
7	gräßlicher	gräßlich	A	ADJD	Comp|	5	adv	_	_
8	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	33	33
3	laß	laß	V	VVFIN	1|Sg|_|_	0	root	_	_
4	euch	ihr	P	PRF	2|Pl|Dat	3	objd	_	_
5	allen	alle	A	PIDAT	_|Dat|Pl	6	det	_	_
6	fünfundzwanzig	fünfundzwanzig	C	CARD	_|_|_	3	obja	_	_
7	aufzählen	aufzählen	V	VVINF	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	wenn	wenn	K	KOUS	_	13	konj	_	_
10	ihr	ihr	P	PPER	2|Pl|_|Nom	13	subj	34	34
11	nicht	nicht	P	PTKNEG	_	13	adv	_	_
12	gleich	gleich	A	ADJD	Pos|	13	adv	_	_
13	erzählt	erzählen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	wer	wer	P	PWS	_|Nom|Sg	21	subj	_	_
16	euch	ihr	P	PPER	2|Pl|_|Dat	20	objd	34	34
17	das	die	A	ART	Def|Neut|_|Sg	19	det	_	_
18	infame	infam	A	ADJA	Pos|Neut|_|Sg|Wk|	19	attr	_	_
19	Lied	Lied	N	NN	Neut|_|Sg	20	obja	_	_
20	beigebracht	beibringen	V	VVPP	_	21	aux	_	_
21	hat	haben	V	VAFIN	3|Sg|Pres|Ind	13	objc	_	_
22	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	35	35
3	Rote	Rote	N	NN	Masc|Nom|Sg	4	subj	35	35
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
