1	Rom	Rom	N	NE	Neut|Nom|Sg	2	subj	128	128
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	frech	frech	A	ADJD	Pos|	2	pred	_	_
4	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	214	214
2	hoffte	hoffen	V	VVFIN	1|Sg|Past|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	hier	hier	A	ADV	_	8	adv	_	_
5	zwischen	zwischen	P	APPR	_	8	pp	_	_
6	Ruinen	Ruine	N	NN	Fem|_|Pl	5	pn	_	_
7	zu	zu	P	PTKZU	_	8	part	_	_
8	wallen	wallen	V	VVINF	_	2	obji	_	_
9	.	.	$	$.	_	0	root	_	_

1	Nein	nein	P	PTKANT	_	0	root	_	_
2	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	eine	eine	A	ART	Indef|Fem|Nom|Sg	4	det	_	_
4	Stadt	Stadt	N	NN	Fem|Nom|Sg	2	pred	_	_
5	wie	wie	K	KOKOM	_	2	kom	_	_
6	jede	jede	A	PIDAT	_|_|Sg	7	det	_	_
7	andere	andere	P	PIS	_|_|_	5	cj	_	_
8	.	.	$	$.	_	0	root	_	_

1	Glückseliger	glückselig	A	ADJA	Pos|Masc|Nom|Sg|St|	2	attr	_	_
2	Papst	Papst	N	NN	Masc|Nom|Sg	0	root	_	_
3	im	in	P	APPRART	Dat	2	pp	_	_
4	säulenhallenden	säulenhallend	A	ADJA	Pos|Neut|_|Pl|Wk|<PPRES	5	attr	_	_
5	Asyle	Asyl	N	NN	Neut|_|Pl	3	pn	_	_
6	des	die	A	ART	Def|Masc|Gen|Sg	8	det	129	129
7	verschlossenen	verschlossen	A	ADJA	Pos|Masc|Gen|Sg|_|	8	attr	129	129
8	Vatikans	Vatikan	N	NE	Masc|Gen|Sg	5	gmod	129	129
9	!	!	$	$.	_	0	root	_	_

1	Deine	deine	A	PPOSAT	Fem|Nom|Pl	3	det	_	_
2	heiligen	heilig	A	ADJA	Pos|Fem|Nom|Pl|Wk|	3	attr	_	_
3	Sohlen	Sohle	N	NN	Fem|Nom|Pl	4	subj	_	_
4	berühren	berühren	V	VVFIN	3|Pl|Pres|_	0	root	_	_
5	nicht	nicht	P	PTKNEG	_	4	adv	_	_
6	dieses	diese	A	PDAT	Neut|_|Sg	7	det	_	_
7	Pflaster	Pflaster	N	NN	Neut|_|Sg	4	obja	_	_
8	einer	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
9	würdelos	würdelos	A	ADJD	Pos|	0	root	_	_
10	von	von	P	APPR	Dat	9	pp	_	_
11	Omnibussen	Omnibus	N	NN	Masc|Dat|_	10	pn	_	_
12	durchfahrenen	durchfahren	A	ADJA	Pos|Fem|Gen|Sg|Wk|	13	attr	_	_
13	Residenz	Residenz	N	NN	Fem|Gen|Sg	11	gmod	_	_
14	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	auch	auch	A	ADV	_	4	adv	129	129
3	der	die	A	ART	Def|_|_|_	4	det	129	129
4	Vatikan	Vatikan	N	NN	_|_|_	1	cj	129	129
5	...	...	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	2	adv	_	_
2	bunt	bunt	A	ADJD	Pos|	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	wie	wie	P	PWAV	_	5	adv	_	_
5	stimmungslos	stimmungslos	A	ADJD	Pos|	7	adv	_	_
6	wohl	wohl	A	ADV	_	7	adv	_	_
7	erhalten	erhalten	V	VVFIN	_|Pl|Pres|_	0	root	_	_
