1	Hol	holen	V	VVIMP	Sg	0	root	_	_
2	dich	du	P	PPER	2|Sg|_|Acc	1	obja	_	_
3	der	die	P	PDS	Fem|Dat|Sg	1	objd	_	_
4	...	...	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	hörte	hören	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1	1
4	auf	auf	P	APPR	_	2	objp	_	_
5	einmal	einmal	A	ADV	_	4	adv	_	_
6	ganz	ganz	A	ADV	_	7	adv	_	_
7	deutlich	deutlich	A	ADJD	Pos|	2	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	wenn	wenn	K	KOUS	_	14	konj	_	_
10	es	es	P	PPER	3|Sg|Neut|_	14	obja	_	_
11	auch	auch	A	ADV	_	14	adv	_	_
12	nur	nur	A	ADV	_	14	adv	_	_
13	halb	halb	A	ADJD	Pos|	14	adv	_	_
14	geflüstert	flüstern	V	VVPP	_	0	root	_	_
15	wurde-	wurde-	T	TRUNC	_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	Herr	Herr	N	NN	Masc|_|Sg	0	root	_	_
18	Doktor	Doktor	N	NN	Masc|_|Sg	17	app	_	_
19	?	?	$	$.	_	0	root	_	_
20	!	!	$	$.	_	0	root	_	_

1	Emil	Emil	N	NE	_|Nom|Sg	2	subj	0	0
2	richtete	richten	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	stracks	stracks	A	ADV	_	2	adv	_	_
5	auf-	auf-	T	TRUNC	_	0	root	_	_
6	.	.	$	$.	_	0	root	_	_

1	Nanu	Nanu	N	NE	_	0	root	33	33
2	?	?	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	meint	meinen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	33	33
4	wohl	wohl	A	ADV	_	2	adv	_	_
5	mich	ich	P	PPER	1|Sg|_|Acc	2	obja	33	33
6	?	?	$	$.	_	0	root	_	_

