1	Hüt	Hüt	N	NE	_	0	root	57	57
2	Du	du	P	PPER	2|Sg|_|Nom	0	root	31	31
3	Dich	Dich	N	NE	_|Nom|Sg	2	app	31	31
4	!	!	$	$.	_	0	root	_	_

1	wie	wie	K	KOKOM	_	5	kom	_	_
2	jener	jene	A	PDAT	_|_|_	3	det	_	_
3	Lyriker	Lyriker	N	NN	_|_|_	1	cj	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	schön	schön	A	ADJD	Pos|	6	adv	_	_
6	sagt	sagen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
7	.	.	$	$.	_	0	root	_	_

1	Nicht	nicht	P	PTKNEG	_	2	adv	_	_
2	in	in	P	APPR	Acc	0	root	_	_
3	die	die	A	ART	Def|_|_|_	4	det	_	_
4	la	la	F	FM	Masc|Nom|Sg	2	pn	_	_
5	main	main	F	FM	Masc|Nom|Sg	4	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	mein	meine	A	PPOSAT	Masc|Nom|Sg	8	det	58	58
8	Freund	Freund	N	NN	Masc|Nom|Sg	5	app	_	_
9	!	!	$	$.	_	0	root	_	_

1	Jedenfalls	jedenfalls	A	ADV	_	2	adv	_	_
2	pump	pump	V	VVFIN	_|Pl|_|_	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	58	58
4	die	die	A	ART	Def|_|Nom|Pl	6	det	_	_
5	fufzig	fufzig	A	ADJA	_|_|Nom|Pl|_	6	attr	_	_
6	Meter	Meter	N	NN	_|Nom|Pl	2	subj	_	_
7	Silberdraht	Silberdraht	N	NN	Masc|_|Sg	2	obja	_	_
8	vorher	vorher	A	ADV	_	2	adv	_	_
9	!	!	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	_	_
2	andere	andere	A	ADJA	_|Masc|Nom|Sg|_	3	attr	_	_
3	Couleurbruder	Couleurbruder	N	NN	Masc|Nom|Sg	4	subj	_	_
4	brummte	brummen	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	ärgerlich	ärgerlich	A	ADJD	Pos|	4	adv	_	_
