1	Gurr	Gurr	N	NE	_	0	root	741	741
2	!	!	$	$.	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	bemerkte	bemerken	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	hierzu	hierzu	P	PROAV	_	4	pp	_	_
6	Fräulein	Fräulein	N	NN	Neut|Nom|Sg	4	subj	719	719
7	Täubele	Täubele	N	NE	Neut|Nom|Sg	6	app	719	719
8	,	,	$	$,	_	0	root	_	_
9	»	»	$	$(	_	0	root	_	_
10	das	die	P	PDS	Neut|Nom|Sg	11	subj	_	_
11	hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
12	mir	ich	P	PPER	1|Sg|_|Dat	16	objd	322	322
13	auch	auch	A	ADV	_	16	adv	_	_
14	sehr	sehr	A	ADV	_	15	adv	_	_
15	leid	leid	A	ADJD	Pos|	16	pred	_	_
16	getan	tun	V	VVPP	_	11	aux	_	_
17	,	,	$	$,	_	0	root	_	_
18	denn	denn	K	KON	_	11	kon	_	_
19	es	es	P	PPER	3|Sg|Neut|Nom	20	subj	_	_
20	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	18	cj	_	_
21	nichts	nichts	A	PIAT	Neut|_|Sg	22	det	_	_
22	Niedlicheres	Niedlicheres	N	NN	Neut|_|Sg	20	obja	_	_
23	als	als	K	KOKOM	_	20	kom	_	_
24	einen	eine	A	ART	Indef|Masc|Acc|Sg	26	det	_	_
25	kleinen	klein	A	ADJA	Pos|Masc|Acc|Sg|_|	26	attr	_	_
26	Kropf	Kropf	N	NN	Masc|Acc|Sg	23	cj	_	_
27	und	und	K	KON	_	26	kon	_	_
28	nichts	nichts	A	PIAT	Neut|Acc|Sg	29	det	_	_
29	Graziöseres	Graziöseres	N	NN	Neut|Acc|Sg	27	cj	_	_
30	als	als	K	KOKOM	_	29	kom	_	_
31	meinen	meine	A	PPOSAT	Masc|Acc|Sg	32	det	322	322
32	Gang	Gang	N	NN	_|_|Sg	30	cj	_	_
33	!	!	$	$.	_	0	root	_	_
34	«	«	$	$(	_	0	root	_	_

1	Frau	Frau	N	NN	Fem|Nom|Sg	4	subj	322	322
2	Dschemma	Dschemma	N	NE	Fem|Nom|Sg	1	app	322	322
3	aber	aber	A	ADV	_	1	adv	_	_
4	fuhr	fahren	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	fort	fort	P	PTKVZ	_	4	avz	_	_
6	:	\:	$	$.	_	0	root	_	_
7	»	»	$	$(	_	0	root	_	_
8	Natürlich	natürlich	A	ADJD	Pos|	9	adv	_	_
9	kann	können	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	322	322
11	hier	hier	A	ADV	_	21	adv	_	_
12	,	,	$	$,	_	0	root	_	_
13	wo	wo	P	PWAV	_	16	adv	_	_
14	alles	alle	P	PIS	Neut|Nom|Sg	16	subj	_	_
15	fleißig	fleißig	A	ADJD	Pos|	16	pred	_	_
16	ist	sein	V	VAFIN	3|Sg|Pres|Ind	11	rel	_	_
17	,	,	$	$,	_	0	root	_	_
18	nicht	nicht	P	PTKNEG	_	21	adv	_	_
19	als	als	K	KOKOM	_	21	kom	_	_
20	Fee	Fee	N	NN	Fem|_|Sg	19	cj	_	_
21	leben	leben	V	VVINF	_	9	aux	_	_
22	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	würde	werden	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
3	bei	bei	P	APPR	Dat	11	pp	_	_
4	den	die	A	ART	Def|Masc|Dat|Pl	6	det	_	_
5	braven	brav	A	ADJA	Pos|Masc|Dat|Pl|_|	6	attr	_	_
6	Einwohnern	Einwohner	N	NN	Masc|Dat|Pl	3	pn	_	_
7	der	die	A	ART	Def|Fem|Gen|Sg	8	det	662	662
8	Insel	Insel	N	NN	Fem|Gen|Sg	6	gmod	662	662
9	Goldboden	Goldboden	N	NN	Masc|_|Sg	11	obja	_	_
10	Ärgernis	Ärgernis	N	NE	Masc|_|Sg	9	app	_	_
11	erregen	erregen	V	VVINF	_	2	aux	_	_
12	.	.	$	$.	_	0	root	_	_

1	Deshalb	Deshalb	P	PROAV	_	2	pp	_	_
2	lebe	leben	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	322	322
4	hier	hier	A	ADV	_	2	adv	_	_
5	als	als	K	KOKOM	_	2	kom	_	_
6	Gold-	Gold-	T	TRUNC	Fem|_|Sg	5	cj	_	_
7	und	und	K	KON	_	6	kon	_	_
8	Silberstickerin	Silberstickerin	N	NN	Fem|_|Sg	7	cj	_	_
9	und	und	K	KON	_	2	kon	_	_
10	arbeite	arbeiten	V	VVFIN	_|Sg|Pres|_	9	cj	_	_
11	allerhand	allerhand	N	NE	Fem|_|Pl	0	root	742	742
12	schöne	schön	A	ADJA	Pos|Fem|_|Pl|St|	13	attr	742	742
13	Sachen	Sache	N	NN	Fem|_|Pl	11	app	742	742
