1	Meine	meine	ART	PPOSAT	Neut|Nom|Pl	2	det	_	(0)
2	Hobbys	Hobby	N	NN	Neut|Nom|Pl	3	subj	_	-
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
4	lesen	lesen	V	VVINF	_	7	aux	_	-
5	,	,	$,	$,	_	0	root	_	-
6	spazieren	spazieren	V	VVINF	_	4	kon	_	-
7	gehen	gehen	V	VVINF	_	0	root	_	-
8	und	und	KON	KON	_	0	root	_	-
9	manchmal	manchmal	ADV	ADV	_	10	adv	_	-
10	Fernsehen	Fernsehen	N	NN	Neut|_|Sg	8	cj	_	-
11	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
2	tanze	tanzen	V	VVFIN	1|Sg|Pres|_	0	root	_	-
3	auch	auch	ADV	ADV	_	2	adv	_	-
4	gerne	gerne	ADV	ADV	_	2	adv	_	-
5	.	.	$.	$.	_	0	root	_	-

1	Im	in	PREP	APPRART	Dat	3	pp	_	-
2	Urlaub	Urlaub	N	NN	_|Dat|Sg	1	pn	_	-
3	reise	reisen	V	VVFIN	1|Sg|Pres|_	0	root	_	-
4	ich	ich	PRO	PPER	1|Sg|_|Nom	3	subj	_	(0)
5	gern	gern	ADV	ADV	_	3	adv	_	-
6	und	und	KON	KON	_	3	kon	_	-
7	erlebe	erleben	V	VVFIN	_|Sg|Pres|_	6	cj	_	-
8	gerne	gerne	ADV	ADV	_	7	adv	_	-
9	etwas	etwas	PRO	PIS	_	7	obja	_	-
10	.	.	$.	$.	_	0	root	_	-

1	Am	an	PREP	APPRART	Dat	3	pp	_	-
2	Strand	Strand	N	NN	Masc|Dat|Sg	1	pn	_	-
3	tauche	tauchen	V	VVFIN	1|Sg|Pres|_	0	root	_	-
4	ich	ich	PRO	PPER	1|Sg|_|Nom	3	subj	_	(0)
5	manchmal	manchmal	ADV	ADV	_	3	adv	_	-
6	gerne	gerne	ADV	ADV	_	3	adv	_	-
7	.	.	$.	$.	_	0	root	_	-

1	Wenn	wenn	KOUS	KOUS	_	4	konj	_	-
2	ich	ich	PRO	PPER	1|Sg|_|Nom	4	subj	_	(0)
3	stress	stress	V	VVPP	_	4	aux	_	-
4	habe	haben	V	VAFIN	1|Sg|Pres|_	6	neb	_	-
5	,	,	$,	$,	_	0	root	_	-
6	mache	machen	V	VVFIN	1|Sg|Pres|_	0	root	_	-
7	ich	ich	PRO	PPER	1|Sg|_|Nom	6	subj	_	(0)
8	gerne	gerne	ADV	ADV	_	6	adv	_	-
9	Yoga	Yoga	N	NN	_|_|Sg	6	obja	_	-
10	.	.	$.	$.	_	0	root	_	-

1	Jetzt	jetzt	ADV	ADV	_	2	adv	_	-
2	möchte	mögen	V	VMFIN	1|Sg|Past|Subj	0	root	_	-
3	ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
4	Deutsch	Deutsch	N	NN	Neut|_|Sg	5	obja	_	-
5	lernen	lernen	V	VVINF	_	2	aux	_	-
6	.	.	$.	$.	_	0	root	_	-

