1	Nein	nein	PTKANT	PTKANT	_	0	root	_	-
2	,	,	$,	$,	_	0	root	_	-
3	die	die	ART	ART	Def|Fem|Nom|Sg	4	det	_	-
4	Mülltrennung	Mülltrennung	N	NN	Fem|Nom|Sg	5	subj	_	-
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
6	es	es	PRO	PPER	3|Sg|Neut|_	5	expl	_	-
7	dieses	diese	ART	PDAT	Neut|_|Sg	8	det	_	-
8	Mal	Mal	N	NN	Neut|_|Sg	5	zeit	_	-
9	nicht	nicht	PTKNEG	PTKNEG	_	15	adv	_	-
10	,	,	$,	$,	_	0	root	_	-
11	aber	aber	KON	KON	_	9	kon	_	-
12	doch	doch	ADV	ADV	_	14	adv	_	-
13	etwas	etwas	ADV	ADV	_	14	adv	_	-
14	typisch	typisch	ADV	ADJD	Pos|	11	cj	_	-
15	Deutsches	deutsch	ADJA	ADJA	Pos|Neut|Nom|Sg|St|	5	pred	_	-
16	,	,	$,	$,	_	0	root	_	-
17	nämlich	nämlich	ADV	ADV	_	19	adv	_	-
18	die	die	ART	ART	Def|Fem|_|Sg	19	det	_	-
19	Berufsausbildung	Berufsausbildung	N	NN	Fem|_|Sg	0	root	_	-
20	in	in	PREP	APPR	Dat	19	pp	_	-
21	zwei	zwei	CARD	CARD	_	22	attr	_	-
22	Teilen	Teil	N	NN	_|Dat|Pl	20	pn	_	-
23	.	.	$.	$.	_	0	root	_	-

1	Genau	genau	ADV	ADJD	Pos|	2	adv	_	-
2	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	es	es	PRO	PPER	3|Sg|Neut|_	2	expl	_	-
4	das	die	ART	ART	Def|Neut|Nom|Sg	6	det	_	(5
5	duale	dual	ADJA	ADJA	Pos|Neut|Nom|Sg|Wk|	6	attr	_	-
6	Ausbildungssystem	Ausbildungssystem	N	NN	Neut|Nom|Sg	2	subj	_	5)
7	und	und	KON	KON	_	2	kon	_	-
8	das	die	PRO	PDS	Neut|_|Sg	9	obja	_	-
9	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	7	cj	_	-
10	es	es	PRO	PPER	3|Sg|Neut|Nom	9	subj	_	-
11	nur	nur	ADV	ADV	_	9	adv	_	-
12	in	in	PREP	APPR	_	9	pp	_	-
13	Deutschland	Deutschland	N	NE	Neut|_|Sg	12	pn	_	(3)
14	,	,	$,	$,	_	0	root	_	-
15	in	in	PREP	APPR	_	9	pp	_	-
16	Österreich	Österreich	N	NE	Neut|_|Sg	15	pn	_	-
17	und	und	KON	KON	_	15	kon	_	-
18	in	in	PREP	APPR	Dat	17	cj	_	-
19	der	die	ART	ART	Def|Fem|Dat|Sg	20	det	_	-
20	Schweiz	Schweiz	N	NE	Fem|Dat|Sg	18	pn	_	-
21	,	,	$,	$,	_	0	root	_	-
22	also	also	ADV	ADV	_	9	adv	_	-
23	in	in	PREP	APPR	Dat	9	pp	_	-
24	den	die	ART	ART	Def|_|Dat|Pl	26	det	_	-
25	deutschsprachigen	deutschsprachig	ADJA	ADJA	Pos|_|Dat|Pl|_|	26	attr	_	-
26	Ländern	Land	N	NN	_|Dat|Pl	23	pn	_	-
27	.	.	$.	$.	_	0	root	_	-

1	Den	die	ART	ART	Def|Masc|Acc|Sg	3	det	_	-
2	ersten	erst	ADJA	ADJA	_|Masc|Acc|Sg|_|	3	attr	_	-
3	Teil	Teil	N	NN	Masc|Acc|Sg	9	obja	_	-
4	,	,	$,	$,	_	0	root	_	-
5	nämlich	nämlich	ADV	ADV	_	7	adv	_	-
6	die	die	ART	ART	Def|Fem|Acc|Sg	7	det	_	-
7	Praxis	Praxis	N	NN	Fem|Acc|Sg	3	app	_	-
8	,	,	$,	$,	_	0	root	_	-
9	lernt	lernen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
10	der	die	ART	ART	Def|Masc|Nom|Sg	11	det	_	(0
