1	Wie	Wie	PWAV	PWAV	_	9	adv	_	-
2	an	an	PREP	APPR	Dat	9	pp	_	-
3	jedem	jede	ART	PIAT	Neut|Dat|Sg	5	det	_	-
4	letzten	letzte	ADJA	ADJA	Pos|Neut|Dat|Sg|Wk|	5	attr	_	-
5	Wochenende	Wochenende	N	NN	Neut|Dat|Sg	2	pn	_	-
6	in	in	PREP	APPR	Dat	9	pp	_	-
7	den	die	ART	ART	Def|_|Dat|Pl	8	det	_	(1
8	Sommerferien	Sommerferien	N	NN	_|Dat|Pl	6	pn	_	1)
9	findet	finden	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
10	auch	auch	ADV	ADV	_	9	adv	_	-
11	in	in	PREP	APPR	Dat	9	pp	_	-
12	diesem	diese	ART	PDAT	Neut|Dat|Sg	13	det	_	(12
13	Jahr	Jahr	N	NN	Neut|Dat|Sg	11	pn	_	12)
14	wieder	wieder	ADV	ADV	_	9	adv	_	-
15	das	die	ART	ART	Def|Neut|Nom|Sg	16	det	_	(0
16	Straßenmalerfest	Straßenmalerfest	N	NN	Neut|Nom|Sg	9	subj	_	0)
17	in	in	PREP	APPR	_	9	pp	_	-
18	Geldern	Geld	N	NN	_|_|_	17	pn	_	(6)
19	statt	statt	PTKVZ	PTKVZ	_	9	avz	_	-
20	.	.	$.	$.	_	0	root	_	-

1	Das	die	ART	ART	Def|Neut|Nom|Sg	2	det	_	(0
2	Straßenmalerfest	Straßenmalerfest	N	NN	Neut|Nom|Sg	3	subj	_	0)
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
4	mittlerweile	mittlerweile	ADV	ADV	_	11	adv	_	-
5	zu	zu	PREP	APPR	Dat	11	pp	_	-
6	einer	eine	ART	ART	Indef|Fem|Dat|Sg	7	det	_	-
7	Tradition	Tradition	N	NN	Fem|Dat|Sg	5	pn	_	-
8	in	in	PREP	APPR	Dat	11	pp	_	-
9	den	die	ART	ART	Def|_|Dat|Pl	10	det	_	(1
10	Sommerferien	Sommerferien	N	NN	_|Dat|Pl	8	pn	_	1)
11	geworden	werden	V	VAPP	_	3	aux	_	-
12	,	,	$,	$,	_	0	root	_	-
13	denn	denn	KON	KON	_	3	kon	_	-
14	es	es	PRO	PPER	3|Sg|Neut|Nom	15	subj	_	-
15	findet	finden	V	VVFIN	3|Sg|Pres|Ind	13	cj	_	-
16	dort	dort	ADV	ADV	_	15	adv	_	-
17	schon	schon	ADV	ADV	_	15	adv	_	-
18	seit	seit	PREP	APPR	Dat	15	pp	_	-
19	mehr	mehr	ADV	ADV	_	20	adv	_	-
20	als	als	KOKOM	KOKOM	_	18	kom	_	-
21	20	20	CARD	CARD	_	22	attr	_	-
22	Jahren	Jahr	N	NN	Neut|Dat|Pl	20	cj	_	-
23	statt	statt	PTKVZ	PTKVZ	_	15	avz	_	-
24	.	.	$.	$.	_	0	root	_	-

1	Aus	aus	PREP	APPR	Dat	11	pp	_	-
2	ganz	ganz	ART	PIDAT	Neut|Dat|Sg	3	det	_	-
3	Deutschland	Deutschland	N	NE	Neut|Dat|Sg	1	pn	_	-
4	,	,	$,	$,	_	0	root	_	-
5	manchmal	manchmal	ADV	ADV	_	7	adv	_	-
6	auch	auch	ADV	ADV	_	7	adv	_	-
7	aus	aus	PREP	APPR	Dat	1	kon	_	-
8	dem	die	ART	ART	Def|Neut|Dat|Sg	9	det	_	-
9	Ausland	Ausland	N	NN	Neut|Dat|Sg	7	pn	_	-
10	,	,	$,	$,	_	0	root	_	-
11	reisen	reisen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
12	die	die	ART	ART	Def|_|Nom|Pl	13	det	_	(2
13	Maler	Maler	N	NN	_|Nom|Pl	11	subj	_	2)
14	an	an	PTKVZ	PTKVZ	_	11	avz	_	-
15	,	,	$,	$,	_	0	root	_	-
16	viele	viele	PRO	PIS	_|Nom|Pl	17	subj	_	-
17	sind	sein	V	VAFIN	3|Pl|Pres|Ind	11	kon	_	-
18	Profis	Profi	N	NN	_|Nom|_	17	pred	_	-
19	und	und	KON	KON	_	18	kon	_	-
20	Kunststudenten	Kunststudent	N	NN	Masc|Nom|Pl	19	cj	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Von	von	PREP	APPR	Dat	5	pp	_	-
2	Samstag	Samstag	N	NN	_|Dat|Sg	1	pn	_	-
3	bis	bis	PREP	APPR	Acc	1	kon	_	-
4	Sonntag	Sonntag	N	NN	_|Acc|Sg	3	pn	_	(14)
5	malen	malen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
6	sie	sie	PRO	PPER	3|Pl|_|Nom	5	subj	_	(2)
7	überall	überall	ADV	ADV	_	5	adv	_	-
8	in	in	PREP	APPR	Dat	5	pp	_	-
9	der	die	ART	ART	Def|Fem|Dat|Sg	10	det	_	-
10	Innenstadt	Innenstadt	N	NN	Fem|Dat|Sg	8	pn	_	-
11	Bilder	Bild	N	NN	_|_|_	5	obja	_	-
12	auf	auf	PREP	APPR	Acc	5	pp	_	-
13	die	die	ART	ART	Def|Fem|Acc|Pl	14	det	_	(8
14	Straßen	Straß	N	NN	Fem|Acc|Pl	12	pn	_	8)
15	und	und	KON	KON	_	14	kon	_	-
16	Wege	Weg	N	NN	Masc|Acc|Pl	15	cj	_	-
17	.	.	$.	$.	_	0	root	_	-

1	Manche	manche	PRO	PIS	_|Nom|Pl	2	subj	_	-
2	malen	malen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
3	eigene	eigen	ADJA	ADJA	Pos|_|_|_|_|	4	attr	_	-
4	Bilder	Bild	N	NN	_|_|_	2	obja	_	-
5	,	,	$,	$,	_	0	root	_	-
6	manche	manche	PRO	PIS	_|_|_	0	root	_	-
7	auch	auch	ADV	ADV	_	8	adv	_	-
8	Bilder	Bild	N	NN	_|_|_	0	root	_	-
9	von	von	PREP	APPR	_	8	pp	_	-
10	berühmten	berühmt	ADJA	ADJA	Pos|Masc|_|_|_|	11	attr	_	-
11	Malern	Maler	N	NN	Masc|_|_	9	pn	_	-
12	,	,	$,	$,	_	0	root	_	-
13	wie	wie	KOKOM	KOKOM	_	17	kom	_	-
14	zum	zu	PREP	APPRART	Dat	13	cj	_	-
15	Beispiel	Beispiel	N	NN	Neut|Dat|Sg	14	pn	_	-
16	die	die	ART	ART	Def|_|_|_	17	det	_	-
17	Mona	Mona	N	NE	Fem|_|Sg	11	app	_	-
18	Lisa	Lisa	N	NE	Fem|_|Sg	17	app	_	-
19	von	von	PREP	APPR	_	18	pp	_	-
20	Leonardo	Leonardo	N	NE	_|_|_	19	pn	_	-
21	da	da	ADV	ADV	_	20	adv	_	-
22	Vinci	Vinci	N	NE	_|_|_	20	app	_	-
23	.	.	$.	$.	_	0	root	_	-

1	Diese	diese	ART	PDAT	_|Nom|Pl	2	det	_	(3
2	Bilder	Bild	N	NN	_|Nom|Pl	3	subj	_	3)
3	malen	malen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
4	die	die	ART	ART	Def|Masc|_|Pl	5	det	_	-
5	Künstler	Künstler	N	NN	Masc|_|Pl	3	obja	_	-
6	mit	mit	PREP	APPR	Dat	3	pp	_	-
7	Kreide	Kreide	N	NN	Fem|Dat|Sg	6	pn	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Etwas	etwas	ART	PIAT	Fem|_|Sg	2	det	_	(5
2	Kreide	Kreide	N	NN	Fem|_|Sg	3	obja	_	5)
3	bekommen	bekommen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
4	die	die	ART	ART	Def|_|Nom|Pl	5	det	_	(2
5	Maler	Maler	N	NN	_|Nom|Pl	3	subj	_	2)
6	von	von	PREP	APPR	_	3	pp	_	-
7	der	die	ART	ART	Def|Fem|_|Sg	8	det	_	-
8	Stadt	Stadt	N	NN	Fem|_|Sg	6	pn	_	-
9	,	,	$,	$,	_	0	root	_	-
10	aber	aber	KON	KON	_	3	kon	_	-
11	das	die	PRO	PDS	Neut|Nom|Sg	12	subj	_	-
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	10	cj	_	-
13	natürlich	natürlich	ADV	ADJD	Pos|	12	adv	_	-
14	nicht	nicht	PTKNEG	PTKNEG	_	12	adv	_	-
15	genug	genug	PRO	PIS	_|Nom|_	12	pred	_	-
16	für	für	PREP	APPR	Acc	12	pp	_	-
17	ein	eine	ART	ART	Indef|Neut|Acc|Sg	19	det	_	-
18	großes	groß	ADJA	ADJA	Pos|Neut|Acc|Sg|St|	19	attr	_	-
19	Bild	Bild	N	NN	Neut|Acc|Sg	16	pn	_	-
20	.	.	$.	$.	_	0	root	_	-

1	Denn	denn	KON	KON	_	0	root	_	-
2	die	die	ART	ART	Def|_|Nom|Pl	3	det	_	(3
3	Bilder	Bild	N	NN	_|Nom|Pl	4	subj	_	3)
4	sind	sein	V	VAFIN	3|Pl|Pres|Ind	1	cj	_	-
5	manchmal	manchmal	ADV	ADV	_	4	adv	_	-
6	mehrere	mehrere	ART	PIAT	_|_|_	7	det	_	-
7	Quadratmeter	Quadratmeter	N	NN	_|_|_	8	grad	_	-
8	groß	groß	ADV	ADJD	Pos|	4	pred	_	-
9	.	.	$.	$.	_	0	root	_	-

1	Und	und	KON	KON	_	0	root	_	-
2	weil	weil	KOUS	KOUS	_	9	konj	_	-
3	so	so	ADV	ADV	_	4	adv	_	(4
4	viele	viele	ART	PIDAT	_|Nom|Pl	5	det	_	-
5	Maler	Maler	N	NN	_|Nom|Pl	9	subj	_	4)
6	zu	zu	PREP	APPR	Dat	9	objp	_	-
7	dem	die	ART	ART	Def|Neut|Dat|Sg	8	det	_	(0
8	Straßenmalerfest	Straßenmalerfest	N	NN	Neut|Dat|Sg	6	pn	_	0)
9	kommen	kommen	V	VVFIN	3|Pl|Pres|_	11	neb	_	-
10	,	,	$,	$,	_	0	root	_	-
11	verdienen	verdienen	V	VVFIN	3|Pl|Pres|_	1	cj	_	-
12	sie	sie	PRO	PPER	3|Pl|_|Nom	11	subj	_	(4)
13	kaum	kaum	ADV	ADV	_	14	adv	_	-
14	etwas	etwas	PRO	PIS	_	11	obja	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Trotzdem	Trotzdem	PROAV	PROAV	_	2	pp	_	-
2	steht	stehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	neben	neben	PREP	APPR	Dat	2	pp	_	-
4	jedem	jede	ART	PIAT	Masc|Dat|Sg	5	det	_	-
5	Künstler	Künstler	N	NN	Masc|Dat|Sg	3	pn	_	-
6	ein	eine	ART	ART	Indef|Masc|Nom|Sg	7	det	_	-
7	Hut	Hut	N	NN	Masc|Nom|Sg	2	subj	_	-
8	oder	oder	KON	KON	_	7	kon	_	-
9	ein	eine	ART	ART	Indef|Masc|Nom|Sg	10	det	_	-
10	Teller	Teller	N	NN	Masc|Nom|Sg	8	cj	_	-
11	für	für	PREP	APPR	Acc	2	pp	_	-
12	Geld	Geld	N	NN	Neut|Acc|Sg	11	pn	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Schließlich	schließlich	ADV	ADV	_	2	adv	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	die	die	ART	ART	Def|Fem|Nom|Sg	4	det	_	(5
4	Kreide	Kreide	N	NN	Fem|Nom|Sg	2	subj	_	5)
5	nicht	nicht	PTKNEG	PTKNEG	_	2	adv	_	-
6	billig	billig	ADV	ADJD	Pos|	2	pred	_	-
7	.	.	$.	$.	_	0	root	_	-

1	Auch	auch	ADV	ADV	_	2	adv	_	-
2	Kinder	Kind	N	NN	Neut|Nom|Pl	3	subj	_	-
3	kommen	kommen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
4	gerne	gerne	ADV	ADV	_	3	adv	_	-
5	zum	zu	PREP	APPRART	Dat	3	objp	_	-
6	Straßenmalerfest	Straßenmalerfest	N	NN	Neut|Dat|Sg	5	pn	_	-
7	nach	nach	PREP	APPR	Dat	6	pp	_	-
8	Geldern	Geld	N	NN	_|Dat|_	7	pn	_	(6)
9	.	.	$.	$.	_	0	root	_	-

1	Denn	denn	KON	KON	_	0	root	_	-
2	dort	dort	ADV	ADV	_	3	adv	_	-
