1	Ach	ach	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	wie	wie	P	PWAV	_	7	adv	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	8	subj	287	287
5	so	so	A	ADV	_	6	adv	_	_
6	freundlich	freundlich	A	ADJD	Pos|	7	adv	_	_
7	danken	danken	V	VVINF	_	8	aux	_	_
8	konnte	können	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
9	!	!	$	$.	_	0	root	_	_

1	Von	von	P	APPR	_	0	root	_	_
2	da	da	K	KOUS	_	0	root	_	_
3	an	an	A	APZR	_	0	root	_	_
4	ward	ward	V	VAFIN	_|Sg|_|_	0	root	_	_
5	unser	unsre	A	PPOSAT	Masc|Nom|Sg	6	det	288	288
6	Verkehr	Verkehr	N	NN	Masc|Nom|Sg	4	subj	288	288
7	traulicher	traulich	A	ADJD	Comp|	4	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	4	kon	_	_
10	er	er	P	PPER	3|Sg|Masc|Nom	11	subj	288	288
11	kam	kommen	V	VVFIN	3|Sg|Past|Ind	9	cj	_	_
12	nicht	nicht	P	PTKNEG	_	14	adv	_	_
13	bloß	bloß	A	ADV	_	14	adv	_	_
14	vors	vor	P	APPRART	Acc	11	objp	_	_
15	Lädeli	Lädeli	N	NN	_|Acc|_	14	pn	268	268
16	,	,	$	$,	_	0	root	_	_
17	sondern	sondern	K	KON	_	14	kon	_	_
18	auch	auch	A	ADV	_	17	cj	_	_
19	zuweilen	zuweilen	A	ADV	_	20	adv	_	_
20	in	in	P	APPR	Acc	17	cj	_	_
21	die	die	A	ART	Def|Fem|Acc|Sg	22	det	289	289
22	Stube	Stube	N	NN	Fem|Acc|Sg	20	pn	289	289
23	,	,	$	$,	_	0	root	_	_
24	indem	indem	K	KOUS	_	29	konj	_	_
25	er	er	P	PPER	3|Sg|Masc|Nom	29	subj	288	288
26	nach	nach	P	APPR	Dat	29	pp	_	_
27	den	die	A	ART	Def|Fem|Dat|Pl	28	det	290	290
28	Blumen	Blume	N	NN	Fem|Dat|Pl	26	pn	290	290
29	fragte	fragen	V	VVFIN	3|Sg|Past|_	11	neb	_	_
30	und	und	K	KON	_	29	kon	_	_
31	sie	sie	P	PPER	3|Sg|Fem|Nom	34	subj	289	289
32	zu	zu	P	PTKZU	_	33	part	_	_
33	sehen	sehen	V	VVINF	_	34	obji	_	_
34	begehrte	begehren	V	VVFIN	3|Sg|Past|_	30	cj	_	_
35	.	.	$	$.	_	0	root	_	_

1	Mein	meine	A	PPOSAT	Masc|Nom|Sg	2	det	291	291
2	Vater	Vater	N	NN	Masc|Nom|Sg	3	subj	291	291
3	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	viel	viel	A	ADV	_	3	adv	_	_
5	auf	auf	P	APPR	Dat	3	pp	_	_
6	dem	die	A	ART	Def|Masc|Dat|Sg	7	det	266	266
