1	Nit	Nit	N	NE	_	0	root	504	504
2	,	,	$	$,	_	0	root	_	_
3	meine	meine	A	PPOSAT	Fem|_|Sg	4	det	537	537
4	Frau	Frau	N	NN	Fem|_|Sg	0	root	539	539
5	selig	selig	A	ADJD	Pos|	6	pred	_	_
6	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
7	nicht	nicht	P	PTKNEG	_	6	adv	_	_
8	die	die	A	ART	Def|_|_|_	9	det	_	_
9	schlechteste	schlecht	A	ADJA	_|_|_	6	subj	_	_
10	und	und	K	KON	_	0	root	_	_
11	dsMeitschi	dsMeitschi	T	TRUNC	_	0	root	_	_
12	könnte	können	V	VMFIN	_|Sg|Past|Subj	0	root	_	_
13	auch	auch	A	ADV	_	16	adv	_	_
14	noch	noch	A	ADV	_	16	adv	_	_
15	schlechter	schlecht	A	ADJD	Comp|	16	pred	_	_
16	sein	sein	V	VAINF	_	12	aux	_	_
17	,	,	$	$,	_	0	root	_	_
18	es	es	P	PPER	3|Sg|Neut|_	19	expl	_	_
19	laufen	laufen	V	VVFIN	3|Pl|Pres|_	12	kon	_	_
20	gottlob	gottlob	A	ADV	_	19	adv	_	_
21	viele	viele	P	PIS	_|Nom|Pl	19	subj	_	_
22	herum	herum	P	PTKVZ	_	19	avz	_	_
23	,	,	$	$,	_	0	root	_	_
24	die	die	P	PRELS	_|Nom|Pl	27	subj	_	_
25	dreimal	dreimal	A	ADV	_	27	adv	_	_
26	schlechter	schlecht	A	ADJD	Comp|	27	pred	_	_
27	sind	sein	V	VAFIN	3|Pl|Pres|Ind	21	rel	_	_
28	als	als	K	KOKOM	_	27	kom	_	_
29	es	es	P	PPER	3|Sg|Neut|_	28	cj	_	_
30	,	,	$	$,	_	0	root	_	_
31	aber	aber	K	KON	_	27	kon	_	_
32	,	,	$	$,	_	0	root	_	_
33	wenn	wenn	K	KOUS	_	37	konj	_	_
34	sie	sie	P	PPER	3|Sg|Fem|Nom	37	subj	539	539
35	nit	nit	F	FM	_	37	obja	_	_
36	geng	geng	F	FM	_	35	app	_	_
37	hätte	haben	V	VAFIN	3|Sg|Past|Subj	39	neb	_	_
