1	Wer	wer	P	PWS	_|Nom|Sg	2	subj	_	_
2	will	wollen	V	VMFIN	3|Sg|Pres|Ind	21	objc	_	_
3	es	es	P	PPER	3|Sg|Neut|_	7	obja	_	_
4	dem	die	A	ART	Def|_|Dat|Sg	6	det	0	0
5	armen	arm	A	ADJA	Pos|_|Dat|Sg|Wk|	6	attr	0	0
6	Mannli	Mannli	N	NN	_|Dat|Sg	7	objd	0	0
7	verargen	verargen	V	VVINF	_	2	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	wenn	wenn	K	KOUS	_	12	konj	_	_
10	ihm	er	P	PPER	3|Sg|_|Dat	12	objd	0	0
11	weh	weh	A	ADJD	_	12	adv	_	_
12	ward	ward	V	VAFIN	_	21	neb	_	_
13	am	an	P	APPRART	Dat	12	pp	_	_
14	Bache	Bach	N	NN	_|Dat|Sg	13	pn	_	_
15	,	,	$	$,	_	0	root	_	_
16	das	die	A	ART	Def|Neut|Nom|Sg	17	det	_	_
17	Weinen	Wein	N	NN	Neut|Nom|Sg	21	subj	_	_
18	ihm	er	P	PPER	3|Sg|_|Dat	21	objd	0	0
19	im	in	P	APPRART	Dat	21	pp	_	_
20	Herzen	Herzen	N	NN	Neut|Dat|Sg	19	pn	_	_
21	kochte	kochen	V	VVFIN	3|Sg|Past|_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	der	die	A	ART	Def|Masc|Nom|Sg	24	det	_	_
24	Mut	Mut	N	NN	Masc|Nom|Sg	27	subj	_	_
25	fast	fast	A	ADV	_	26	adv	_	_
26	ausgehen	ausgehen	V	VVINF	_	27	aux	_	_
27	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
28	und	und	K	KON	_	0	root	_	_
29	die	die	A	ART	Def|Fem|_|Sg	30	det	11	11
30	Kraft	Kraft	N	NN	Fem|_|Sg	28	cj	11	11
31	,	,	$	$,	_	0	root	11	11
32	mit	mit	P	APPR	Dat	36	objp	11	11
33	dem	die	A	ART	Def|Masc|Dat|Sg	34	det	11	11
34	Zweifel	Zweifel	N	NN	Masc|Dat|Sg	32	pn	11	11
35	zu	zu	P	PTKZU	_	36	part	11	11
36	ringen	ringen	V	VVINF	_	30	obji	11	11
37	,	,	$	$,	_	0	root	11	11
38	ob	ob	K	KOUS	_	47	konj	11	11
39	denn	denn	A	ADV	_	47	adv	11	11
40	auch	auch	A	ADV	_	47	adv	11	11
41	ein	eine	A	ART	Indef|Masc|Nom|Sg	42	det	11	11
42	Gott	Gott	N	NN	Masc|Nom|Sg	47	subj	11	11
43	für	für	P	APPR	Acc	42	pp	11	11
44	ihns	ihns	N	NE	_|Acc|_	43	pn	11	11
45	im	in	P	APPRART	Dat	47	objp	11	11
46	Himmel	Himmel	N	NN	Masc|Dat|Sg	45	pn	11	11
47	wohne	wohnen	V	VVFIN	3|Sg|Pres|Subj	36	objc	_	_
48	?	?	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Masc|Nom|Sg	2	det	1	1
2	Herr	Herr	N	NN	Masc|Nom|Sg	3	subj	1	1
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	schwer	schwer	A	ADJD	Pos|	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	es	es	P	PPER	3|Sg|Neut|_	8	obja	_	_
7	zu	zu	P	PTKZU	_	8	part	_	_
8	fassen	fassen	V	VVINF	_	3	obji	_	_
9	,	,	$	$,	_	0	root	_	_
10	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
11	solche	solche	A	PIDAT	Masc|Nom|Pl	12	det	_	_
12	Striche	Strich	N	NN	Masc|Nom|Pl	20	subj	_	_
13	durch	durch	P	APPR	Acc	12	pp	_	_
14	die	die	A	ART	Def|Fem|Acc|Sg	15	det	_	_
15	Rechnung	Rechnung	N	NN	Fem|Acc|Sg	13	pn	_	_
16	für	für	P	APPR	Acc	20	pp	_	_
17	ein	eine	A	ART	Indef|Neut|Acc|Sg	19	det	5	5
18	arm	arm	A	ADJD	Pos|	19	adv	5	5
19	Mannli	Mannli	N	NN	Neut|Acc|Sg	16	pn	5	5
20	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
21	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	7	konj	_	_
