1	Begreiflich	Begreiflich	N	NE	_|Dat|_	2	objd	277	277
2	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	dieses	diese	A	PDAT	Neut|Nom|Sg	4	det	504	504
4	Abnehmen	Abnehmen	N	NN	Neut|Nom|Sg	2	subj	504	504
5	alsbald	alsbald	A	ADV	_	2	adv	_	_
6	auf	auf	P	PTKVZ	_	2	avz	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	2	kon	_	_
9	die	die	A	ART	Def|Fem|Nom|Sg	10	det	663	663
10	Kunde	Kunde	N	NN	Fem|Nom|Sg	12	subj	663	663
11	davon	davon	P	PROAV	_	10	pp	663	663
12	lief	laufen	V	VVFIN	3|Sg|Past|Ind	8	cj	_	_
13	rasch	rasch	A	ADJD	Pos|	12	adv	_	_
14	wie	wie	K	KOKOM	_	12	kom	_	_
15	Feuerlärm	Feuerlärm	N	NN	Masc|_|Sg	14	cj	_	_
16	durchs	durch	P	APPRART	Acc	12	pp	_	_
17	Land	Land	N	NN	Neut|Acc|Sg	16	pn	394	394
18	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	_	_
2	ganze	ganz	A	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	_	_
3	Basenschaft	Basenschaft	N	NN	Fem|Nom|Sg	4	subj	_	_
4	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|_	4	obja	_	_
6	mit	mit	P	APPR	Dat	4	pp	_	_
7	dem	die	A	ART	Def|Masc|Dat|Sg	9	det	74	74
8	reichen	reich	A	ADJA	Pos|Masc|Dat|Sg|Wk|	9	attr	74	74
9	Vetter	Vetter	N	NN	Masc|Dat|Sg	6	pn	74	74
10	,	,	$	$,	_	0	root	74	74
11	wie	wie	P	PWAV	_	22	adv	74	74
12	die	die	A	ART	Def|_|_|_	14	det	503	503
13	ehrsame	ehrsame	A	ADJA	_|Fem|Nom|Sg|_	14	attr	503	503
14	Bauersame	Bauersame	N	NN	Fem|Nom|Sg	22	subj	503	503
15	bei	bei	P	APPR	Dat	22	pp	_	_
16	trocknem	trocknem	A	ADJA	_|_|Dat|Sg|_	17	attr	_	_
17	Wetter	Wetter	N	NN	_|Dat|Sg	15	pn	_	_
18	es	es	P	PPER	3|Sg|Neut|_	22	obja	_	_
19	mit	mit	P	APPR	Dat	22	pp	_	_
20	dem	die	A	ART	Def|Masc|Dat|Sg	21	det	499	499
21	Himmel	Himmel	N	NN	Masc|Dat|Sg	19	pn	499	499
22	hat	haben	V	VAFIN	3|Sg|Pres|Ind	9	objc	_	_
23	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	19	adv	_	_
2	die	die	A	ART	Def|Masc|Nom|Pl	3	det	22	22
3	Bauern	Bauer	N	NN	Masc|Nom|Pl	19	subj	22	22
4	,	,	$	$,	_	0	root	_	_
5	wenn	wenn	K	KOUS	_	9	konj	_	_
6	eben	eben	A	ADV	_	9	adv	_	_
7	sonst	sonst	A	ADV	_	9	adv	_	_
8	nicht	nicht	P	PTKNEG	_	9	adv	_	_
9	himmelssüchtig	himmelssüchtig	A	ADJD	Pos|	19	neb	_	_
10	,	,	$	$,	_	0	root	_	_
11	in	in	P	APPR	_	19	pp	_	_
12	trocknen	trocknen	A	ADJA	_|Fem|_|Pl|_	13	attr	500	500
13	Zeiten	Zeit	N	NN	Fem|_|Pl	11	pn	500	500
14	unverwandt	unverwandt	A	ADJD	Pos|	19	adv	_	_
15	ihre	ihre	A	PPOSAT	Neut|_|Pl	16	det	500	500
16	Augen	Auge	N	NN	Neut|_|Pl	19	obja	_	_
17	gen	gen	P	APPR	_	19	pp	_	_
18	Himmel	Himmel	N	NN	Masc|_|_	17	pn	501	501
19	richten	richten	V	VVFIN	3|Pl|Pres|_	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	das	die	A	ART	Def|Neut|_|Sg	22	det	626	626
22	Wetter	Wetter	N	NN	Neut|_|Sg	24	obja	626	626
23	zu	zu	P	PTKZU	_	24	part	_	_
24	erkunden	erkunden	V	VVINF	_	19	obji	_	_
25	,	,	$	$,	_	0	root	_	_
26	ob	ob	K	KOUS	_	30	konj	_	_
27	nicht	nicht	P	PTKNEG	_	30	adv	_	_
28	Wolken	Wolke	N	NN	Fem|Nom|Pl	30	subj	502	502
29	sichtbar	sichtbar	A	ADJD	Pos|	30	pred	_	_
30	würden	werden	V	VAFIN	3|Pl|Past|Subj	41	subjc	_	_
31	,	,	$	$,	_	0	root	_	_
32	ob	ob	K	KOUS	_	36	konj	_	_
33	es	es	P	PPER	3|Sg|Neut|Nom	36	subj	_	_
34	nicht	nicht	P	PTKNEG	_	35	adv	_	_
35	regnen	regnen	V	VVINF	_	36	aux	_	_
36	wolle	wollen	V	VMFIN	3|Sg|Pres|Subj	30	objc	_	_
37	,	,	$	$,	_	0	root	_	_
38	die	die	A	ART	Def|Fem|_|Sg	40	det	_	_
