1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	755	755
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
3	wieder	wieder	A	ADV	_	4	adv	_	_
4	überzeugt	überzeugen	V	VVPP	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	die	die	A	ART	Def|Masc|Nom|Pl	7	det	_	_
7	Herren	Herr	N	NN	Masc|Nom|Pl	10	subj	_	_
8	von	von	P	APPR	_	7	pp	_	_
9	Roll	Roll	N	NE	_|_|_	8	pn	722	722
10	werden	werden	V	VAFIN	3|Pl|Pres|_	2	kon	_	_
11	aus	aus	P	APPR	Dat	14	pp	_	_
12	Extragründen	Extragrund	N	NN	_|Dat|_	11	pn	_	_
13	besser	gut	A	ADJD	Comp|	14	adv	_	_
14	bedient	bedienen	V	VVPP	_	10	aux	_	_
15	.	.	$	$.	_	0	root	_	_

1	Ach	ach	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	wenn	wenn	K	KOUS	_	11	konj	_	_
4	ehrliche	ehrlich	A	ADJA	Pos|_|Nom|Pl|St|	5	attr	_	_
5	Leute	Leute	N	NN	_|Nom|Pl	11	subj	_	_
6	im	in	P	APPRART	Dat	11	pp	_	_
7	eigenen	eigen	A	ADJA	Pos|Neut|Dat|Sg|Wk|	8	attr	_	_
8	Hause	Haus	N	NN	Neut|Dat|Sg	6	pn	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	sicher	sicher	A	ADJD	Pos|	11	pred	_	_
11	wären	sein	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
12	als	als	K	KOKOM	_	11	kom	_	_
13	jenes	jene	A	PDAT	Neut|_|Sg	15	det	_	_
14	aufgefischte	aufgefischt	A	ADJA	Pos|Neut|_|Sg|Wk|	15	attr	_	_
15	Holz	Holz	N	NN	Neut|_|Sg	12	cj	_	_
16	vor	vor	P	APPR	Dat	11	pp	_	_
17	den	die	A	ART	Def|_|Dat|Pl	18	det	723	723
18	Häusern	Haus	N	NN	_|Dat|Pl	16	pn	723	723
19	und	und	K	KON	_	18	kon	_	_
20	Bettlern	Bettler	N	NN	Masc|Dat|Pl	19	cj	_	_
21	auf	auf	P	APPR	Dat	11	pp	_	_
22	den	die	A	ART	Def|_|Dat|Pl	23	det	724	724
23	Straßen	Straß	N	NN	_|Dat|Pl	21	pn	724	724
24	,	,	$	$,	_	0	root	_	_
25	sie	sie	P	PPER	3|Pl|_|Nom	26	subj	724	724
26	wären	sein	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
27	glücklich	glücklich	A	ADJD	Pos|	26	pred	_	_
28	.	.	$	$.	_	0	root	_	_

1	Welche	welche	A	PWAT	Fem|Nom|Pl	3	det	_	_
2	unverschämte	unverschämt	A	ADJA	Pos|Fem|Nom|Pl|St|	3	attr	_	_
3	Rechnungen	Rechnung	N	NN	Fem|Nom|Pl	4	subj	_	_
4	wurden	werden	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
5	nicht	nicht	P	PTKNEG	_	13	adv	_	_
6	für	für	P	APPR	Acc	13	pp	_	_
7	das	die	A	ART	Def|Neut|Acc|Sg	8	det	_	_
8	Herausziehen	Herausziehen	N	NN	Neut|Acc|Sg	6	pn	_	_
9	und	und	K	KON	_	8	kon	_	_
10	Führen	Führen	N	NN	Neut|Acc|Sg	9	cj	_	_
11	dieses	diese	A	PDAT	Neut|Gen|Sg	12	det	312	312
12	Holzes	Holz	N	NN	Neut|Gen|Sg	8	gmod	312	312
13	eingegeben	eingeben	V	VVPP	_	4	aux	_	_
14	!	!	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Pl	2	det	_	_
2	Ortschaften	Ortschaft	N	NN	Fem|_|Pl	0	root	_	_
3	und	und	K	KON	_	2	kon	_	_
4	Gemeinden	Gemeinde	N	NN	Fem|_|Pl	3	cj	725	725
5	,	,	$	$,	_	0	root	725	725
6	die	die	P	PRELS	Fem|Nom|Pl	8	subj	725	725
7	dieses	diese	P	PDS	_|_|Sg	8	obja	_	_
8	taten	tun	V	VVFIN	3|Pl|Past|Ind	4	rel	_	_
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	8	kon	_	_
11	ihre	ihre	A	PPOSAT	Fem|Nom|Pl	12	det	725	725
12	Rechnungen	Rechnung	N	NN	Fem|Nom|Pl	13	subj	_	_
13	verdienten	verdienen	V	VVFIN	3|Pl|Past|_	10	cj	_	_
14	billigermaßen	billigermaßen	A	ADV	_	13	adv	_	_
15	bekanntgemacht	bekanntmachen	V	VVPP	_	17	aux	_	_
16	zu	zu	P	PTKZU	_	17	part	_	_
17	werden	werden	V	VAINF	_	13	obji	_	_
18	und	und	K	KON	_	2	kon	_	_
19	besonders	besonders	A	ADV	_	21	adv	726	726
20	die	die	A	ART	Def|Fem|_|Pl	21	det	726	726
21	Ortschaften	Ortschaft	N	NN	Fem|_|Pl	18	cj	726	726
22	,	,	$	$,	_	0	root	726	726
23	die	die	P	PRELS	Fem|Nom|Pl	26	subj	726	726
24	reich	reich	A	ADJD	Pos|	25	adv	_	_
25	entschädigt	entschädigen	V	VVPP	_	26	aux	_	_
26	wurden	werden	V	VAFIN	3|Pl|Past|Ind	21	rel	_	_
27	,	,	$	$,	_	0	root	_	_
28	viel	viel	A	PIDAT	Neut|_|Sg	29	det	_	_
29	Holz	Holz	N	NN	Neut|_|Sg	30	obja	_	_
30	vermeukt	vermeukt	V	VVPP	_	31	aux	_	_
31	hatten	haben	V	VAFIN	_|Pl|Past|Ind	26	kon	_	_
32	und	und	K	KON	_	31	kon	_	_
33	für	für	P	APPR	Acc	47	pp	_	_
34	das	die	A	ART	Def|Neut|Acc|Sg	36	det	727	727
35	wenige	wenig	A	ADJA	Pos|Neut|Acc|Sg|Wk|	36	attr	727	727
36	Holz	Holz	N	NN	Neut|Acc|Sg	33	pn	727	727
37	,	,	$	$,	_	0	root	727	727
38	welches	welche	P	PRELS	Neut|_|Sg	42	obja	727	727
39	sie	sie	P	PPER	3|Pl|_|Nom	42	subj	726	726
