1	Wells	Wells	N	NE	_|Nom|Sg	2	subj	20	20
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	tot	tot	A	ADJD	_	2	pred	_	_
4	,	,	$	$,	_	0	root	_	_
5	so	so	A	ADV	_	6	adv	_	_
6	viel	viel	P	PIS	_|Nom|Sg	7	subj	_	_
7	stand	stehen	V	VVFIN	3|Sg|Past|Ind	2	kon	_	_
8	fest	fest	P	PTKVZ	_	7	avz	_	_
9	;	;	$	$.	_	0	root	_	_
10	Mr.	Mr.	N	NN	_	0	root	166	166

1	Houston	Houston	N	NE	Neut|Nom|Sg	21	subj	165	165
2	,	,	$	$,	_	0	root	165	165
3	der	die	P	PRELS	Masc|Nom|Sg	11	subj	165	165
4	selber	selber	A	ADV	_	10	adv	_	_
5	einmal	einmal	A	ADV	_	10	adv	_	_
6	an	an	P	APPR	Dat	10	pp	_	_
7	der	die	A	ART	Def|Fem|Dat|Sg	9	det	_	_
8	texanischen	texanischen	A	ADJA	_|Fem|Dat|Sg|_	9	attr	_	_
9	Grenze	Grenze	N	NN	Fem|Dat|Sg	6	pn	_	_
10	gewesen	sein	V	VAPP	_	11	aux	_	_
11	war	sein	V	VAFIN	3|Sg|Past|Ind	1	rel	_	_
12	und	und	K	KON	_	11	kon	_	_
13	die	die	A	ART	Def|Neut|_|Pl	14	det	_	_
14	Verhältnisse	Verhältnis	N	NN	Neut|_|Pl	18	obja	_	_
15	dort	dort	A	ADV	_	18	adv	_	_
16	genau	genau	A	ADJD	Pos|	18	adv	_	_
17	zu	zu	P	PTKZU	_	18	part	_	_
18	kennen	kennen	V	VVINF	_	19	obji	_	_
19	vorgab	vorgeben	V	VVFIN	_|Sg|Past|Ind	12	cj	_	_
20	,	,	$	$,	_	0	root	_	_
21	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
22	schon	schon	A	ADV	_	21	adv	_	_
23	nach	nach	P	APPR	Dat	29	pp	_	_
24	dem	die	A	ART	Def|Neut|Dat|Sg	26	det	_	_
25	ersten	erst	A	ADJA	_|Neut|Dat|Sg|Wk|	26	attr	_	_
26	Jahr	Jahr	N	NN	Neut|Dat|Sg	23	pn	_	_
27	nicht	nicht	P	PTKNEG	_	29	adv	_	_
28	daran	daran	P	PROAV	_	29	objp	_	_
29	gezweifelt	zweifeln	V	VVPP	_	21	neb	_	_
30	;	;	$	$.	_	0	root	_	_
31	und	und	K	KON	_	0	root	_	_
32	Mr.	Mr.	N	NN	_	31	cj	166	166

1	Mawler	Mawler	N	NE	_|Nom|Pl	5	subj	159	159
2	und	und	K	KON	_	1	kon	_	_
3	Betsey	Betsey	N	NE	_|Nom|Pl	2	cj	159	159
4	Mawler	Mawler	N	NE	_|Nom|Pl	3	app	159	159
5	kehrten	kehren	V	VVFIN	3|Pl|Past|_	0	root	_	_
6	noch	noch	A	ADV	_	5	adv	_	_
7	an	an	P	APPR	Dat	5	pp	_	_
8	dem	die	A	ART	Def|_|Dat|Sg	10	det	_	_
9	nämlichen	nämlich	A	ADJA	Pos|_|Dat|Sg|Wk|	10	attr	_	_
10	Nachmittag	Nachmittag	N	NN	_|Dat|Sg	7	pn	_	_
11	nach	nach	P	APPR	Dat	5	pp	_	_
12	Mawlers	Mawlers	N	NE	_|Dat|_	11	pn	218	218
13	Farm	Farm	N	NN	Fem|_|Sg	5	obja	_	_
14	,	,	$	$,	_	0	root	_	_
15	wie	wie	P	PWAV	_	19	pred	_	_
16	der	die	A	ART	Def|Masc|Nom|Sg	17	det	167	167
17	Platz	Platz	N	NN	Masc|Nom|Sg	19	subj	167	167
18	jetzt	jetzt	A	ADV	_	19	adv	_	_
19	hieß	heißen	V	VVFIN	3|Sg|Past|Ind	13	objc	_	_
20	,	,	$	$,	_	0	root	_	_
21	zurück	zurück	A	ADV	_	13	adv	_	_
22	.	.	$	$.	_	0	root	_	_

1	Acht	acht	C	CARD	_	5	attr	159	159
2	Tage	Tag	N	NN	Masc|_|_	3	grad	159	159
3	später	spät	A	ADJD	_|	4	adv	159	159
4	verkaufte	verkauft	A	ADJA	Pos|_|Nom|Pl|St|	5	attr	159	159
5	Mawler	Mawler	N	NN	_|Nom|Pl	6	pred	159	159
6	sein	sein	V	VAINF	_	62	aux	_	_
7	an	an	P	APPR	Dat	6	pp	_	_
8	der	die	A	ART	Def|Fem|Dat|Sg	10	det	_	_
9	andern	andern	A	ADJA	_|Fem|Dat|Sg|_	10	attr	_	_
10	Seite	Seite	N	NN	Fem|Dat|Sg	7	pn	_	_
11	des	die	A	ART	Def|Masc|Gen|Sg	12	det	168	168
12	Flusses	Fluss	N	NN	Masc|Gen|Sg	10	gmod	168	168
13	angelegtes	angelegt	A	ADJA	Pos|Neut|_|Sg|St|	14	attr	_	_
14	Improvement	Improvement	N	NN	_	62	obja	_	_
15	mit	mit	P	APPR	Dat	58	pp	_	_
16	Vieh	Vieh	N	NN	Neut|Dat|Sg	15	pn	_	_
17	und	und	K	KON	_	16	kon	_	_
18	Ackergerät	Ackergerät	N	NN	Neut|Dat|Sg	17	cj	_	_
19	und	und	K	KON	_	18	kon	_	_
20	allem	alle	P	PIS	_|Dat|Sg	19	cj	_	_
21	,	,	$	$,	_	0	root	_	_
22	was	was	P	PWS	Neut|Nom|Sg	23	subj	_	_
23	dazugehörte	dazugehören	V	VVFIN	3|Sg|Past|_	20	rel	_	_
24	,	,	$	$,	_	0	root	_	_
25	an	an	P	APPR	Acc	58	pp	_	_
26	einen	eine	A	ART	Indef|Masc|Acc|Sg	31	det	169	169
27	erst	erst	A	ADV	_	31	adv	169	169
28	ganz	ganz	A	ADV	_	29	adv	169	169
29	kürzlich	kürzlich	A	ADV	_	30	adv	169	169
30	eingewanderten	eingewandert	A	ADJA	Pos|_|Acc|_|_|	31	attr	169	169
31	Deutschen	Deutsche	N	NN	Masc|Acc|Sg	25	pn	169	169
32	,	,	$	$,	_	0	root	169	169
33	der	die	P	PRELS	Masc|Nom|Sg	39	subj	169	169
34	sich	sie	P	PRF	3|_|_	38	obja	_	_
35	in	in	P	APPR	Dat	38	pp	_	_
36	jener	jene	A	PDAT	Fem|Dat|Sg	37	det	_	_
37	Gegend	Gegend	N	NN	Fem|Dat|Sg	35	pn	_	_
38	niederzulassen	niederlassen	V	VVIZU	_	39	obji	_	_
39	wünschte	wünschen	V	VVFIN	_|Sg|Past|_	31	rel	_	_
40	,	,	$	$,	_	0	root	_	_
41	und	und	K	KON	_	39	kon	_	_
42	ging	gehen	V	VVFIN	_|Sg|Past|Ind	41	cj	_	_
43	von	von	P	APPR	_	42	pp	_	_
44	da	da	A	ADV	_	43	adv	_	_
45	an	an	A	APZR	_	43	part	_	_
46	eifrig	eifrig	A	ADJD	Pos|	42	adv	_	_
47	daran	daran	P	PROAV	_	46	pp	_	_
48	,	,	$	$,	_	0	root	_	_
49	seine	seine	A	PPOSAT	_|_|_	50	det	169	169
50	neue	neu	A	ADJA	_|_|_	31	app	_	_
51	,	,	$	$,	_	0	root	_	_
52	in	in	P	APPR	Dat	58	pp	_	_
53	den	die	A	ART	Def|Neut|Dat|Pl	55	det	_	_
54	letzten	letzte	A	ADJA	Pos|Neut|Dat|Pl|_|	55	attr	_	_
55	Jahren	Jahr	N	NN	Neut|Dat|Pl	52	pn	_	_
56	doch	doch	A	ADV	_	58	adv	_	_
57	ziemlich	ziemlich	A	ADJD	_	58	adv	_	_
58	vernachlässigte	vernachlässigt	A	ADJA	Pos|Fem|_|Sg|_|	59	attr	_	_
59	Farm	Farm	N	NN	Fem|_|Sg	14	app	_	_
60	wieder	wieder	A	ADV	_	62	adv	_	_
61	ordentlich	ordentlich	A	ADJD	Pos|	62	adv	_	_
62	instandzusetzen	instandzusetzen	V	VVINF	_	0	root	_	_
63	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	im	in	P	APPRART	Dat	2	pp	_	_
4	Herbst	Herbst	N	NN	Masc|Dat|Sg	3	pn	236	236
5	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Mawler	Mawler	N	NE	_|Nom|Sg	3	subj	159	159
3	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	_	_
5	Nachmittag	Nachmittag	N	NN	Masc|Acc|Sg	3	obja	_	_
6	allein	allein	A	ADV	_	3	adv	_	_
7	in	in	P	APPR	Dat	3	pp	_	_
8	der	die	A	ART	Def|Fem|Dat|Sg	9	det	31	31
9	Hütte	Hütte	N	NN	Fem|Dat|Sg	7	pn	31	31
