1	Himmel	Himmel	N	NN	Masc|_|_	0	root	482	482
2	!	!	$	$.	_	0	root	_	_

1	wie	wie	K	KOKOM	_	0	root	_	_
2	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
3	hier	hier	A	ADV	_	2	adv	_	_
4	ein	eine	A	ART	Indef|Neut|Nom|Sg	6	det	_	_
5	feiner	fein	A	ADJA	Pos|_|_|_|St|	6	attr	_	_
6	Humanist	Humanist	N	NN	Neut|Nom|Sg	2	subj	_	_
7	(	(	$	$(	_	0	root	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	273	273
9	müßte	müssen	V	VMFIN	3|Sg|Past|Subj	6	par	_	_
10	Kenner	Kenner	N	NN	Masc|Nom|_	11	pred	_	_
11	sein	sein	V	VAINF	_	9	aux	_	_
12	)	)	$	$(	_	0	root	_	_
13	ein	eine	A	ART	Indef|Masc|Nom|Sg	14	det	1315	1315
14	Mann	Mann	N	NN	Masc|Nom|Sg	2	pred	1315	1315
15	für	für	P	APPR	Acc	14	pp	1315	1315
16	uns	wir	P	PPER	1|Pl|_|Acc	15	pn	1314	1314
17	,	,	$	$,	_	0	root	_	_
18	der	die	P	PRELS	Masc|Nom|Sg	24	subj	1315	1315
19	kritisch	kritisch	A	ADJD	Pos|	24	adv	_	_
20	scharf	scharf	A	ADJD	Pos|	24	adv	_	_
21	die	die	A	ART	Def|Fem|_|Pl	23	det	_	_
22	verschiedenen	verschieden	A	ADJA	Pos|Fem|_|Pl|Wk|	23	attr	_	_
23	Dichtungsarten	Dichtungsart	N	NN	Fem|_|Pl	24	obja	_	_
24	absonderte	absondern	V	VVFIN	3|Sg|Past|_	14	rel	_	_
25	und	und	K	KON	_	24	kon	_	_
26	aushöbe	ausheben	V	VVFIN	_|Sg|Past|Subj	25	cj	_	_
27	,	,	$	$,	_	0	root	_	_
28	unter	unter	P	APPR	_	0	root	_	_
29	welchen	welche	A	PWAT	_|_|_	0	root	_	_
30	unser	unsre	A	PPOSAT	_|_|Sg	0	root	1314	1314
31	Dichter	dicht	A	ADJA	Pos|_|_|_|St|	0	root	_	_
32	hinüber-	hinüber-	T	TRUNC	_|<PPRES	35	adv	_	_
33	und	und	K	KON	_	32	kon	_	_
34	herüberlaufend	herüberlaufen	A	ADJD	_|<PPRES	33	cj	_	_
35	abwechselt	abwechseln	V	VVFIN	_|_|Pres|_	0	root	_	_
36	;	;	$	$.	_	0	root	_	_
37	denn	denn	K	KON	_	0	root	_	_
38	bald	bald	A	ADV	_	39	adv	_	_
39	dichtet	dichten	V	VVFIN	3|Sg|Pres|Ind	37	cj	_	_
40	er	er	P	PPER	3|Sg|Masc|Nom	39	subj	1315	1315
41	komisch	komisch	A	ADJD	Pos|	39	adv	_	_
42	in	in	P	APPR	_	39	pp	_	_
43	X	X	N	NE	_|_|_	42	pn	1316	1316
44	:	\:	$	$.	_	0	root	_	_
45	Xantippe	Xantippe	N	NE	_|Nom|Sg	46	subj	1490	1490
46	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
47	eine	eine	A	ART	Indef|Fem|Nom|Sg	49	det	_	_
48	arge	arg	A	ADJA	Pos|Fem|Nom|Sg|_|	49	attr	_	_
49	Hur	Hur	N	NN	Fem|Nom|Sg	46	pred	_	_
50	'	'	$	$(	_	0	root	_	_
51	,	,	$	$,	_	0	root	_	_
52	Die	die	A	ART	Def|Neut|Nom|Pl	53	det	1316	1316
53	X	X	N	NN	Neut|Nom|Pl	56	pred	1316	1316
54	mal	mal	A	ADV	_	53	adv	1316	1316
55	X	X	C	CARD	_	53	app	1316	1316
56	macht	machen	V	VVFIN	_|_|Pres|Ind	46	kon	_	_
57	hundert	hundert	C	CARD	_	56	obja	_	_
58	nur	nur	A	ADV	_	56	adv	_	_
59	(	(	$	$(	_	0	root	_	_
60	der	die	A	ART	Def|Masc|Nom|Sg	62	det	_	_
61	zweite	zweit	A	ADJA	_|Masc|Nom|Sg|Wk|	62	attr	_	_
62	Reim	Reim	N	NN	Masc|Nom|Sg	63	subj	_	_
63	ist	sein	V	VAFIN	3|Sg|Pres|Ind	58	par	_	_
64	ein	eine	A	ART	Indef|Masc|Nom|Sg	66	det	_	_
65	guter	gut	A	ADJA	Pos|Masc|Nom|Sg|St|	66	attr	_	_
66	Stich	Stich	N	NN	Masc|Nom|Sg	63	pred	_	_
67	gegen	gegen	P	APPR	Acc	66	pp	_	_
68	das	die	A	ART	Def|Neut|Acc|Sg	70	det	1317	1317
69	päpstliche	päpstlich	A	ADJA	Pos|Neut|Acc|Sg|Wk|	70	attr	1317	1317
70	Recht	Recht	N	NN	Neut|Acc|Sg	67	pn	1317	1317
71	,	,	$	$,	_	0	root	1317	1317
72	das	die	P	PRELS	Neut|Nom|Sg	81	subj	1317	1317
73	in	in	P	APPR	Dat	81	pp	_	_
74	seiner	seine	A	PPOSAT	Fem|Dat|Sg	75	det	1317	1317
75	Definition	Definition	N	NN	Fem|Dat|Sg	73	pn	_	_
76	einer	eine	A	ART	Indef|Fem|_|Sg	77	det	_	_
77	H.	H.	N	NN	Fem|Gen|Sg	75	gmod	_	_
78	weit	weit	A	ADJD	Pos|	79	adv	_	_
79	über	über	P	APPR	_	81	objp	_	_
80	Hundert	Hundert	N	NN	_|_|_	79	pn	_	_
81	hinausgeht	hinausgehen	V	VVFIN	3|Sg|Pres|Ind	70	rel	_	_
82	)	)	$	$(	_	0	root	_	_
83	-	-	$	$(	_	0	root	_	_
84	bald	bald	A	ADV	_	85	adv	_	_
85	streift	streifen	V	VVFIN	3|Sg|Pres|Ind	56	kon	_	_
86	er	er	P	PPER	3|Sg|Masc|Nom	85	subj	1315	1315
87	in	in	P	APPR	_	85	pp	_	_
88	M	M	N	NN	Neut|_|_	87	pn	_	_
89	ins	in	P	APPRART	Acc	85	pp	_	_
90	Didaktische	Didaktische	N	NN	_|Acc|_	89	pn	_	_
91	über	über	P	PTKVZ	_	85	avz	_	_
92	,	,	$	$,	_	0	root	_	_
93	z.	z.	P	APPRART	_	0	root	_	_

1	B.	B.	N	NN	Masc|_|Sg	0	root	176	176
2	:	\:	$	$.	_	0	root	_	_
3	Zum	zu	P	APPRART	Dat	5	pp	_	_
4	Beten	Beten	N	NN	Neut|Dat|Sg	3	pn	1837	1837
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	_	_
7	Münch	Münch	N	NN	Masc|Nom|Sg	5	subj	_	_
8	verpflicht	verpflicht	N	NE	Masc|Nom|Sg	7	app	_	_
9	,	,	$	$,	_	0	root	_	_
10	Mit	mit	P	APPR	Dat	5	pp	_	_
11	Messern	Messer	N	NN	_|Dat|_	10	pn	1322	1322
12	stich	stich	N	NE	_|Dat|_	11	app	1322	1322
13	bei	bei	P	APPR	Dat	11	pp	_	_
14	Leibe	Leib	N	NN	Masc|Dat|Sg	13	pn	_	_
15	nicht	nicht	P	PTKNEG	_	14	adv	_	_
16	-	-	$	$(	_	0	root	_	_
17	bald	bald	A	ADV	_	18	adv	_	_
18	in	in	P	APPR	_	14	pp	_	_
19	T	T	N	NN	_|_|_	18	pn	_	_
20	ins	in	P	APPRART	Acc	19	pp	_	_
21	Elegische	Elegische	N	NN	_|Acc|_	20	pn	_	_
