1	Ew	Ew	N	NE	_	0	root	532	532
2	.	.	$	$.	_	0	root	_	_

1	Wohlgeborn	Wohlgeborn	N	NE	_|Nom|Sg	2	subj	533	533
2	sende	senden	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
3	hier	hier	A	ADV	_	2	adv	_	_
4	sämtliche	sämtliche	A	PIDAT	_|_|_	5	det	_	_
5	Zeitungen	Zeitung	N	NN	_|_|_	2	obja	_	_
6	von	von	P	APPR	_	8	pp	_	_
7	97	97	C	CARD	_	6	pn	_	_
8	unberührt	unberührt	A	ADJD	Pos|	2	adv	_	_
9	zurück	zurück	P	PTKVZ	_	2	avz	_	_
10	,	,	$	$,	_	0	root	_	_
11	weil	weil	K	KOUS	_	0	root	_	_
12	wir	wir	P	PPER	1|Pl|_|Nom	0	root	_	_
13	uns	wir	P	PRF	1|Pl|_	14	obja	_	_
14	mißverstanden	mißverstanden	V	VVPP	_	0	root	_	_
15	und	und	K	KON	_	0	root	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	15	cj	501	501
17	nur	nur	A	ADV	_	16	adv	_	_
18	die	die	A	ART	Def|_|_|_	0	root	_	_
19	von	von	P	APPR	_	23	pp	_	_
20	97	97	C	CARD	_	22	attr	_	_
21	vorigen	vorig	A	ADJA	Pos|_|_|Pl|_|	22	attr	_	_
22	Säkuls	Säkuls	N	NN	_|_|Pl	19	pn	_	_
23	haben	haben	V	VAINF	_	0	root	_	_
24	wollen	wollen	V	VMFIN	_|Pl|Pres|_	0	root	_	_
25	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	obja	_	_
2	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	508	508
4	,	,	$	$,	_	0	root	508	508
5	lieber	lieb	A	ADJA	Pos|Masc|Nom|Sg|St|	6	attr	508	508
6	Herr	Herr	N	NN	Masc|Nom|Sg	3	app	508	508
7	Fisch	Fisch	N	NE	_|Nom|Sg	6	app	508	508
8	,	,	$	$,	_	0	root	_	_
9	als	als	K	KOKOM	_	2	kom	_	_
10	bloßen	bloß	A	ADJA	Pos|_|_|_|_|	11	attr	_	_
11	Kollekteur	Kollekteur	N	NN	_|_|_	9	cj	_	_
12	der	die	A	ART	Def|Fem|Gen|Pl	13	det	_	_
13	Zeitungen	Zeitung	N	NN	Fem|Gen|Pl	11	gmod	_	_
14	und	und	K	KON	_	13	kon	_	_
15	Zeitungsleser	Zeitungsleser	N	NN	Masc|Gen|Pl	14	cj	_	_
16	ein	eine	A	ART	Indef|Masc|Nom|Sg	17	det	_	_
17	Ausfall	Ausfall	N	NN	Masc|Nom|Sg	0	root	_	_
18	auf	auf	P	APPR	Acc	17	pp	_	_
19	diese	diese	A	PDAT	_|Acc|_	18	pn	_	_
20	unmöglich	unmöglich	A	ADJD	Pos|	0	root	_	_
21	verdrießen	verdrießen	V	VVINF	_	0	root	_	_
22	.	.	$	$.	_	0	root	_	_

1	Letztern	Letztern	N	NN	Masc|_|_	2	obja	1159	1159
2	tu	tun	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	501	501
5	so	so	A	ADV	_	6	adv	_	_
6	oft	oft	A	ADV	_	2	adv	_	_
7	und	und	K	KON	_	6	kon	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	stark	stark	A	ADJD	Pos|	7	cj	_	_
10	,	,	$	$,	_	0	root	_	_
11	daß	daß	K	KOUS	_	26	konj	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	26	subj	501	501
13	sogar	sogar	A	ADV	_	12	adv	_	_
14	an	an	P	APPR	Dat	26	pp	_	_
15	öffentlichen	öffentlich	A	ADJA	Pos|_|Dat|_|_|	16	attr	_	_
16	Orten	Ort	N	NN	_|Dat|_	14	pn	_	_
17	die	die	A	ART	Def|Fem|Nom|Pl	18	det	_	_
18	Zeitungen	Zeitung	N	NN	Fem|Nom|Pl	26	pred	_	_
19	nur	nur	A	ADV	_	21	adv	_	_
20	höhere	hoch	A	ADJA	Comp|Fem|Nom|Pl|St|	21	attr	_	_
21	Stadtneuigkeiten	Stadtneuigkeit	N	NN	Fem|Nom|Pl	18	app	_	_
22	und	und	K	KON	_	21	kon	_	_
23	Rittergeschichten	Rittergeschichte	N	NN	Fem|Nom|Pl	22	cj	_	_
24	für	für	P	APPR	Acc	23	pp	_	_
25	Männer	Mann	N	NN	Masc|Acc|Pl	24	pn	502	502
26	heiße	heißen	V	VVFIN	1|Sg|Pres|_	2	neb	_	_
27	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	3	det	503	503
2	meisten	meiste	A	PIDAT	Masc|Nom|Pl	3	attr	503	503
3	Leser	Leser	N	NN	Masc|Nom|Pl	4	subj	503	503
4	interessiert	interessieren	V	VVPP	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	als	als	K	KOKOM	_	0	root	_	_
7	Stadt-Weltklatschen	Stadt-Weltklatsch	N	NN	_|Nom|_	6	cj	_	_
8	,	,	$	$,	_	0	root	_	_
9	nicht	nicht	P	PTKNEG	_	11	adv	_	_
10	die	die	A	ART	Def|_|_|_	11	det	_	_
11	Begebenheit	Begebenheit	N	NN	Masc|Nom|Sg	7	kon	_	_
12	-	-	$	$(	_	0	root	_	_
13	noch	noch	A	ADV	_	15	adv	_	_
14	ihr	ihre	A	PPOSAT	Masc|Nom|Sg	15	det	503	503
15	Einfluß	Einfluß	N	NN	Masc|Nom|Sg	11	app	_	_
16	-	-	$	$(	_	0	root	_	_
17	noch	noch	K	KON	_	15	kon	_	_
18	ihre	ihre	A	PPOSAT	Fem|Nom|Sg	19	det	503	503
19	Notwendigkeit	Notwendigkeit	N	NN	Fem|Nom|Sg	17	cj	_	_
20	-	-	$	$(	_	0	root	_	_
21	kaum	kaum	A	ADV	_	23	adv	_	_
22	ihre	ihre	A	PPOSAT	Fem|Nom|Sg	23	det	503	503
23	Wahrheit	Wahrheit	N	NN	Fem|Nom|Sg	19	app	_	_
24	-	-	$	$(	_	0	root	_	_
25	sondern	sondern	K	KON	_	23	kon	_	_
26	die	die	A	ART	Def|Fem|Nom|Sg	27	det	504	504
27	Inschrift	Inschrift	N	NN	Fem|Nom|Sg	25	cj	504	504
28	:	\:	$	$.	_	0	root	_	_
29	daß	daß	K	KOUS	_	35	konj	_	_
30	sie	sie	P	PPER	3|Sg|Fem|Nom	35	subj	504	504
31	in	in	P	APPR	Dat	34	pp	_	_
32	diesem	diese	A	PDAT	Neut|Dat|Sg	33	det	505	505
33	Jahre	Jahr	N	NN	Neut|Dat|Sg	31	pn	505	505
34	gedruckt	drucken	V	VVPP	_	35	aux	_	_
35	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
36	:	\:	$	$.	_	0	root	_	_
37	alte	alt	A	ADJA	Pos|Fem|Nom|Pl|St|	38	attr	507	507
38	Zeitungen	Zeitung	N	NN	Fem|Nom|Pl	41	subj	507	507
39	und	und	K	KON	_	38	kon	_	_
40	Obligationen	Obligation	N	NN	_|Nom|Pl	39	cj	_	_
41	verlieren	verlieren	V	VVFIN	3|Pl|Pres|_	0	root	_	_
