1	B.	B.	N	NN	Masc|_|Sg	0	root	42	42
2	ohne	ohne	P	APPR	Acc	6	pp	_	_
3	Murren	Murren	N	NN	Neut|Acc|Sg	2	pn	_	_
4	einen	eine	A	ART	Indef|Masc|Acc|Sg	6	det	_	_
5	ganzen	ganz	A	ADJA	Pos|Masc|Acc|Sg|_|	6	attr	_	_
6	Winter	Winter	N	NN	Masc|Acc|Sg	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	aber	aber	K	KON	_	6	kon	_	_
9	nicht	nicht	P	PTKNEG	_	11	adv	_	_
10	einen	eine	A	ART	Indef|Masc|Acc|Sg	11	det	_	_
11	Maifrost	Maifrost	N	NN	Masc|Acc|Sg	8	cj	_	_
12	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	850	850
2	halten	halten	V	VVFIN	1|Pl|Pres|_	0	root	_	_
3	das	die	A	ART	Def|Neut|_|Sg	4	det	_	_
4	Schalttägige	Schalttägige	N	NN	Neut|_|Sg	2	obja	_	_
5	in	in	P	APPR	Dat	4	pp	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	347	347
7	Natur	Natur	N	NN	Fem|Dat|Sg	5	pn	347	347
8	für	für	P	APPR	Acc	2	objp	_	_
9	willkürlicher	willkürlich	A	ADJD	Comp|	8	pn	_	_
10	als	als	K	KOKOM	_	2	kom	_	_
11	das	die	A	ART	Def|Neut|_|Sg	12	det	_	_
12	Alltägliche	Alltägliche	N	NN	Neut|_|Sg	10	cj	_	_
13	,	,	$	$,	_	0	root	_	_
14	als	als	K	KOKOM	_	0	root	_	_
15	ob	ob	K	KOUS	_	0	root	_	_
16	die	die	A	ART	Def|_|_|_	0	root	_	_
17	Unabänderlichkeit	Unabänderlichkeit	N	NN	Fem|Dat|Sg	20	objd	856	856
18	nicht	nicht	P	PTKNEG	_	20	adv	_	_
19	dieselbe	dieselbe	P	PDS	Fem|Nom|Sg	20	subj	_	_
20	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
21	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	5	det	_	_
4	physische	physisch	A	ADJA	Pos|Fem|Nom|Sg|_|	5	attr	_	_
5	Empfindung	Empfindung	N	NN	Fem|Nom|Sg	2	pred	_	_
6	dieselbe	dieselbe	P	PDS	Fem|Nom|Sg	2	subj	_	_
7	,	,	$	$,	_	0	root	_	_
8	wenn	wenn	K	KOUS	_	16	konj	_	_
9	man	man	P	PIS	_|Nom|Sg	16	subj	_	_
10	im	in	P	APPRART	Dat	16	pp	_	_
