1	O	O	N	NN	Neut|_|_	6	vok	157	157
2	,	,	$	$,	_	0	root	_	_
3	von	von	P	APPR	_	6	pp	_	_
4	der	die	A	ART	Def|Fem|_|Sg	5	det	156	156
5	Liebe	Liebe	N	NN	Fem|_|Sg	3	pn	156	156
6	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	die	die	A	ART	Def|Fem|Nom|Sg	8	det	156	156
8	Liebe	Liebe	N	NN	Fem|Nom|Sg	6	subj	156	156
9	vergeben	vergeben	V	VVPP	_	6	aux	_	_
10	und	und	K	KON	_	9	kon	_	_
11	geehrt	ehren	V	VVPP	_	10	cj	_	_
12	!	!	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Geliebter	geliebt	A	ADJA	Pos|Masc|Nom|Sg|St|	3	attr	_	_
3	Bruder	Bruder	N	NN	Masc|Nom|Sg	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
7	sie	sie	P	PPER	3|Sg|Fem|Nom	6	subj	156	156
8	bittend	bitten	A	ADJD	_|<PPRES	6	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	schaue	schauen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
12	nach	nach	P	APPR	Dat	11	pp	_	_
13	Delos	Delos	N	NE	_|Dat|_	12	pn	_	_
14	hinab	hinab	A	ADV	_	11	adv	_	_
15	auf	auf	P	APPR	Acc	11	pp	_	_
16	deine	deine	A	PPOSAT	_|Acc|Pl	18	det	158	158
17	blühenden	blühend	A	ADJA	Pos|_|Acc|Pl|Wk|<PPRES	18	attr	159	159
18	Geliebten	Geliebte	N	NN	_|Acc|Pl	15	pn	159	159
19	,	,	$	$,	_	0	root	_	_
20	auf	auf	P	APPR	Acc	11	pp	_	_
21	deine	deine	A	PPOSAT	Fem|Acc|Sg	22	det	158	158
22	Sonnenblume	Sonnenblume	N	NN	Fem|Acc|Sg	20	pn	232	232
23	,	,	$	$,	_	0	root	_	_
24	auf	auf	P	APPR	_	11	pp	_	_
25	deinen	deine	A	PPOSAT	Masc|_|Sg	26	det	158	158
26	Lorbeer	Lorbeer	N	NN	Masc|_|Sg	24	pn	_	_
27	und	und	K	KON	_	24	kon	_	_
28	auf	auf	P	APPR	Acc	27	cj	_	_
29	die	die	A	ART	Def|Fem|Acc|Sg	30	det	_	_
30	Hyazinthe	Hyazinthe	N	NN	Fem|Acc|Sg	28	pn	_	_
31	und	und	K	KON	_	30	kon	_	_
32	die	die	A	ART	Def|Fem|Acc|Sg	33	det	_	_
33	Zypresse	Zypresse	N	NN	Fem|Acc|Sg	31	cj	_	_
34	und	und	K	KON	_	33	kon	_	_
35	die	die	A	ART	Def|Fem|Acc|Sg	36	det	_	_
36	Weihrauchstaude	Weihrauchstaude	N	NN	Fem|Acc|Sg	34	cj	_	_
37	,	,	$	$,	_	0	root	_	_
38	wie	wie	P	PWAV	_	40	adv	_	_
39	sie	sie	P	PPER	3|Pl|_|Nom	40	subj	159	159
40	dürsten	dürsten	V	VVFIN	3|Pl|Pres|_	11	objc	_	_
41	und	und	K	KON	_	40	kon	_	_
