1	Evas	Eva	N	NE	Fem|Gen|Sg	2	gmod	1221	1221
2	Reize	Reiz	N	NN	Masc|Nom|Pl	3	subj	_	_
3	drehten	drehen	V	VVFIN	3|Pl|Past|_	0	root	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	um	um	P	APPR	Acc	3	objp	_	_
6	uns	wir	P	PPER	1|Pl|_|Acc	5	pn	1274	1274
7	blendend	blenden	A	ADJD	_|<PPRES	3	adv	_	_
8	wie	wie	K	KOKOM	_	3	kom	_	_
9	Spiegel	Spiegel	N	NN	Masc|_|_	8	cj	_	_
10	in	in	P	APPR	Dat	9	pp	_	_
11	der	die	A	ART	Def|Fem|Dat|Sg	12	det	123	123
12	Sonne	Sonne	N	NN	Fem|Dat|Sg	10	pn	123	123
13	und	und	K	KON	_	8	kon	_	_
14	wie	wie	K	KOKOM	_	13	cj	_	_
15	umlaufende	umlaufend	A	ADJA	Pos|Masc|_|_|_|<PPRES	20	attr	_	_
16	,	,	$	$,	_	0	root	_	_
17	gleichsam	gleichsam	A	ADJD	_	18	adv	_	_
18	Juwelen	Juwel	N	NN	Neut|_|Pl	19	obja	_	_
19	auswerfende	auswerfend	A	ADJA	Pos|_|_|_|_|<PPRES	15	kon	_	_
20	Kronenleuchter	Kronenleuchter	N	NN	Masc|_|_	14	cj	_	_
21	:	\:	$	$.	_	0	root	_	_
22	sie	sie	P	PPER	3|Sg|Fem|Nom	23	subj	123	123
23	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	ob	ob	K	KOUS	_	30	konj	_	_
26	ich	ich	P	PPER	1|Sg|_|Nom	30	subj	1279	1279
27	gleich	gleich	A	ADJD	Pos|	30	adv	_	_
28	ein	eine	A	ART	Indef|Masc|Nom|Sg	29	det	_	_
29	Seraphinen-Ritter	Seraphinen-Ritter	N	NN	Masc|Nom|Sg	30	pred	_	_
30	war	sein	V	VAFIN	1|Sg|Past|Ind	23	objc	_	_
31	,	,	$	$,	_	0	root	_	_
32	doch	doch	K	KON	_	0	root	_	_
33	gegen	gegen	P	APPR	Acc	36	pp	_	_
34	den	die	A	ART	Def|Masc|Acc|Sg	35	det	1198	1198
35	Gerichtshalter	Gerichtshalter	N	NN	Masc|Acc|Sg	33	pn	1198	1198
36	ehrerbietiger	ehrerbietig	A	ADJA	Pos|_|_|_|St|	32	cj	_	_
37	und	und	K	KON	_	36	kon	_	_
38	stummer	stumm	A	ADJD	Comp|	37	cj	_	_
39	,	,	$	$,	_	0	root	_	_
40	weil	weil	K	KOUS	_	45	konj	_	_
41	sie	sie	P	PPER	3|Sg|Fem|Nom	45	subj	123	123
42	unter	unter	P	APPR	Dat	45	objp	_	_
43	seinem	seine	A	PPOSAT	_|Dat|Sg	44	det	1198	1198
44	Zepter	Zepter	N	NN	_|Dat|Sg	42	pn	1280	1280
45	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
46	und	und	K	KON	_	45	kon	_	_
47	weil	weil	K	KOUS	_	52	konj	_	_
48	er	er	P	PPER	3|Sg|Masc|Nom	52	subj	1280	1280
49	weniger	weniger	A	ADV	_	50	adv	_	_
50	mit	mit	P	APPR	Dat	52	pp	_	_
51	ihr	ihr	P	PPER	3|Sg|Fem|Dat	50	pn	123	123
52	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	46	cj	_	_
53	als	als	K	KOKOM	_	52	kom	_	_
54	der	die	A	ART	Def|Masc|_|_	55	det	1281	1281
55	Ritter	Ritter	N	NN	Masc|_|_	53	cj	1281	1281
56	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	den	die	A	ART	Def|Masc|Acc|Sg	4	det	_	_
4	Salat	Salat	N	NN	Masc|Acc|Sg	5	obja	_	_
5	schleppte	schleppen	V	VVFIN	3|Sg|Past|_	2	cj	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	_	_
7	Sequester	Sequester	N	NN	Masc|Nom|Sg	5	subj	_	_
8	herauf	herauf	P	PTKVZ	_	5	avz	_	_
9	:	\:	$	$.	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	Die	die	A	ART	Def|_|_|_	0	root	_	_
12	Kanaille	Kanaille	N	NN	Fem|Dat|Sg	15	objd	_	_
13	«	«	$	$(	_	0	root	_	_
14	-	-	$	$(	_	0	root	_	_
15	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
16	der	die	A	ART	Def|Masc|Nom|Sg	17	det	1282	1282
17	Bauer	Bauer	N	NN	Masc|Nom|Sg	15	subj	1282	1282
18	-	-	$	$(	_	0	root	_	_
19	»	»	$	$(	_	0	root	_	_
20	versteckt	verstecken	V	VVFIN	3|Sg|Pres|Ind	15	s	_	_
21	sich	sie	P	PRF	3|_|_	20	obja	_	_
22	drunten	drunten	N	NE	_|Nom|Sg	20	subj	_	_
23	und	und	K	KON	_	20	kon	_	_
24	will	wollen	V	VMFIN	_|Sg|Pres|Ind	23	cj	_	_
25	nicht	nicht	P	PTKNEG	_	29	adv	_	_
26	eher	eher	A	ADV	_	29	adv	_	_
27	'	'	$	$(	_	0	root	_	_
28	was	was	P	PIS	_	29	obja	_	_
29	bringen	bringen	V	VVINF	_	24	aux	_	_
30	,	,	$	$,	_	0	root	_	_
31	bis	bis	K	KOUS	_	37	konj	_	_
32	der	die	A	ART	Def|Masc|Nom|Sg	33	det	1213	1213
33	Schulmeister	Schulmeister	N	NN	Masc|Nom|Sg	37	subj	1213	1213
34	wieder	wieder	A	ADV	_	37	adv	_	_
35	'	'	$	$(	_	0	root	_	_
36	naus	naus	F	FM	_|Nom|_	37	pred	_	_
37	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
38	.	.	$	$.	_	0	root	_	_
39	«	«	$	$(	_	0	root	_	_

1	Dieser	diese	P	PDS	Masc|Nom|Sg	2	subj	_	_
2	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	vorher	vorher	A	ADV	_	2	adv	_	_
4	herein	herein	P	PTKVZ	_	2	avz	_	_
5	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	10	s	_	_
4	mein	meine	A	PPOSAT	Masc|Nom|Sg	5	det	1279	1279
5	Aktuarius	Aktuarius	N	NN	Masc|Nom|Sg	3	pred	1646	1646
6	juratus	juratus	N	NE	Masc|Nom|Sg	5	app	1646	1646
7	,	,	$	$,	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	(	(	$	$(	_	0	root	_	_
10	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	Weyermann	Weyermann	N	NE	_|Nom|Sg	10	subj	1169	1169
12	)	)	$	$(	_	0	root	_	_
13	»	»	$	$(	_	0	root	_	_
14	namens	namens	P	APPR	_	10	pp	_	_
15	Schnäzler	Schnäzler	N	NE	_|_|_	14	pn	1287	1287
16	.	.	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_
18	-	-	$	$(	_	0	root	_	_
19	Aus	aus	P	APPR	Dat	33	pp	_	_
20	einem	eine	A	ART	Indef|Neut|Dat|Sg	21	det	_	_
21	Räderwerk	Räderwerk	N	NN	Neut|Dat|Sg	19	pn	_	_
22	von	von	P	APPR	Dat	21	pp	_	_
23	Rädertieren	Rädertier	N	NN	Neut|Dat|Pl	22	pn	_	_
24	und	und	K	KON	_	22	kon	_	_
25	aus	aus	P	APPR	Dat	24	cj	_	_
26	einem	eine	A	ART	Indef|Masc|Dat|Sg	27	det	_	_
27	Teig	Teig	N	NN	Masc|Dat|Sg	25	pn	_	_
28	von	von	P	APPR	_	27	pp	_	_
29	vibrierenden	vibrierend	A	ADJA	Pos|Neut|_|_|_|_	32	attr	_	_
30	,	,	$	$,	_	0	root	_	_
31	krabbelnden	krabbelnd	A	ADJA	Pos|_|_|_|_|<PPRES	29	kon	_	_
32	Infusions-Tierchen	Infusions-Tierchen	N	NN	Neut|_|_	28	pn	_	_
33	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
34	er	er	P	PPER	3|Sg|Masc|Nom	33	subj	1169	1169
35	zubereitet	zubereiten	V	VVPP	_	33	aux	_	_
36	:	\:	$	$.	_	0	root	_	_
37	er	er	P	PPER	3|Sg|Masc|Nom	38	subj	1169	1169
38	schnellte	schnellen	V	VVFIN	3|Sg|Past|_	0	root	_	_
39	sich	sie	P	PRF	3|_|_	38	obja	_	_
40	wie	wie	K	KOKOM	_	38	kom	_	_
41	ein	eine	A	ART	Indef|Masc|Nom|Sg	42	det	_	_
42	Käfer	Käfer	N	NN	Masc|Nom|Sg	40	cj	_	_
43	weiter	weiter	P	PTKVZ	_	38	avz	_	_
44	und	und	K	KON	_	38	kon	_	_
45	schien	scheinen	V	VVFIN	_|Sg|Past|Ind	44	cj	_	_
46	ein	eine	A	ART	Indef|Masc|Nom|Sg	53	det	1283	1283
47	auf	auf	P	APPR	Acc	52	pp	1283	1283
48	die	die	A	ART	Def|Masc|Acc|Pl	51	det	1283	1283
49	zwei	zwei	C	CARD	_	51	attr	1283	1283
50	letzten	letzte	A	ADJA	Pos|Masc|Acc|Pl|Wk|	51	attr	1283	1283
51	Füße	Fuß	N	NN	Masc|Acc|Pl	47	pn	1283	1283
52	gestellter	gestellt	A	ADJA	Pos|Masc|Nom|Sg|St|	53	attr	1283	1283
53	Vielfuß	Vielfuß	N	NN	Masc|Nom|Sg	55	pred	1283	1283
54	zu	zu	P	PTKZU	_	55	part	1283	1283
55	sein	sein	V	VAINF	_	45	obji	1283	1283
56	,	,	$	$,	_	0	root	1283	1283
57	an	an	P	APPR	Dat	66	pp	1283	1283
58	dem	die	P	PRELS	Masc|Dat|Sg	57	pn	1283	1283
59	im	in	P	APPRART	Dat	66	pp	_	_
60	Gehen	Gehen	N	NN	Neut|Dat|Sg	59	pn	_	_
61	hundert	hundert	C	CARD	_	65	attr	_	_
62	müßige	müßig	A	ADJA	Pos|Masc|Nom|Pl|St|	65	attr	_	_
63	,	,	$	$,	_	0	root	_	_
64	waagrechte	waagrecht	A	ADJA	Pos|_|Nom|_|_|	62	kon	_	_
65	Füße	Fuß	N	NN	Masc|Nom|Pl	66	subj	_	_
66	oszillierten	oszillieren	V	VVFIN	_|Pl|Past|_	53	rel	_	_
67	;	;	$	$.	_	0	root	_	_
68	er	er	P	PPER	3|Sg|Masc|Nom	69	subj	1169	1169
69	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
70	auf	auf	P	APPR	Dat	69	pp	_	_
71	der	die	A	ART	Def|Fem|Dat|Sg	72	det	_	_
72	Stubendiele	Stubendiele	N	NN	Fem|Dat|Sg	70	pn	_	_
73	den	die	A	ART	Def|Masc|Acc|Sg	74	det	_	_
74	Gang	Gang	N	NN	Masc|Acc|Sg	69	obja	_	_
75	des	die	A	ART	Def|Masc|Gen|Sg	76	det	_	_
76	Springers	Springer	N	NN	Masc|Gen|Sg	74	gmod	_	_
77	im	in	P	APPRART	Dat	69	pp	_	_
78	Schach	Schach	N	NN	Neut|Dat|Sg	77	pn	_	_
79	,	,	$	$,	_	0	root	_	_
80	und	und	K	KON	_	69	kon	_	_
81	jeder	jede	A	PIDAT	Masc|Nom|Sg	82	det	1284	1284
82	Sessel	Sessel	N	NN	Masc|Nom|Sg	83	subj	1284	1284
83	war	sein	V	VAFIN	3|Sg|Past|Ind	80	cj	_	_
84	sein	seine	A	PPOSAT	Masc|Nom|Sg	85	det	1284	1284
85	Reitstuhl	Reitstuhl	N	NN	Masc|Nom|Sg	83	pred	_	_
86	und	und	K	KON	_	85	kon	_	_
87	Schaukelpferd	Schaukelpferd	N	NN	Neut|Nom|Sg	86	cj	_	_
88	.	.	$	$.	_	0	root	_	_

