1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1062	1062
2	rezessierte	rezessierte	V	VVFIN	1|Sg|_|_	0	root	_	_
3	demnach	demnach	P	PROAV	_	2	pp	_	_
4	von	von	P	APPR	Dat	2	pp	_	_
5	Mund	Mund	N	NN	Masc|Dat|Sg	4	pn	1665	1665
6	aus	aus	A	APZR	_	4	part	_	_
7	in	in	P	APPR	Acc	2	pp	_	_
8	die	die	A	ART	Def|Fem|Acc|Sg	9	det	53	53
9	Feder	Feder	N	NN	Fem|Acc|Sg	7	pn	53	53
10	dergestalt	dergestalt	A	ADJD	_	2	adv	_	_
11	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Vor	vor	P	APPR	Dat	7	pp	_	_
3	der	die	A	ART	Def|Fem|Dat|Sg	6	det	1066	1066
4	fürstlich	fürstlich	A	ADJD	Pos|	5	adv	1066	1066
5	scheerauischen	scheerauisch	A	ADJA	Pos|Fem|Dat|Sg|Wk|	6	attr	1066	1066
6	Berghauptmannschaft	Berghauptmannschaft	N	NN	Fem|Dat|Sg	2	pn	1066	1066
7	erscheint	erscheinen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
8	Beklagter	Beklagte	N	NN	Masc|Nom|Sg	7	subj	1067	1067
9	und	und	K	KON	_	7	kon	_	_
10	setzet	setzen	V	VVFIN	2|Pl|Pres|Subj	9	cj	_	_
11	zuvörderst	zuvörderst	A	ADJD	_	10	adv	_	_
12	dem	die	A	ART	Def|_|Dat|Sg	14	det	1007	1007
13	angeblichen	angeblich	A	ADJA	Pos|_|Dat|Sg|Wk|	14	attr	1007	1007
14	Mandatarius	Mandatarius	N	NN	_|Dat|Sg	10	objd	1007	1007
15	der	die	A	ART	Def|_|Gen|_	16	det	1007	1007
16	Klägere	Klägere	F	FM	_|Gen|_	14	gmod	1007	1007
17	exceptionem	exceptionem	F	FM	_|Gen|_	16	app	1007	1007
18	deficientis	deficientis	F	FM	_|Gen|_	17	app	1007	1007
19	legitimationis	legitimationis	F	FM	_|Gen|_	18	app	1007	1007
20	entgegen	entgegen	P	PTKVZ	_	10	avz	_	_
21	,	,	$	$,	_	0	root	_	_
