1	O	O	N	NN	Neut|_|_	0	root	1063	1063
2	ihr	ihre	A	PPOSAT	_|_|Sg	4	det	1226	1226
3	edlen	edel	A	ADJA	Pos|_|_|_|_|	4	attr	_	_
4	Jünglinge	Jüngling	N	NN	_|_|Sg	0	root	_	_
5	!	!	$	$.	_	0	root	_	_

1	fahren	fahren	V	VVFIN	_|Pl|Pres|_	0	root	_	_
2	und	und	K	KON	_	0	root	_	_
3	wachen	wachen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	eure	eure	A	PPOSAT	Masc|Nom|Pl	5	det	1226	1226
5	Träume	Traum	N	NN	Masc|Nom|Pl	3	subj	_	_
6	einer	eine	A	ART	Indef|Fem|Gen|Sg	8	det	_	_
7	idealen	ideal	A	ADJA	Pos|Fem|Gen|Sg|Wk|	8	attr	_	_
8	Zukunft	Zukunft	N	NN	Fem|Gen|Sg	5	gmod	_	_
9	bloß	bloß	A	ADV	_	3	adv	_	_
10	zu	zu	P	APPR	Dat	3	pp	_	_
11	einem	eine	A	ART	Indef|Neut|Dat|Sg	13	det	_	_
12	prosaischen	prosaisch	A	ADJA	Pos|Neut|Dat|Sg|Wk|	13	attr	_	_
13	Gähnen	Gähnen	N	NN	Neut|Dat|Sg	10	pn	_	_
14	der	die	A	ART	Def|Fem|Gen|Sg	15	det	465	465
15	Gegenwart	Gegenwart	N	NN	Fem|Gen|Sg	13	gmod	465	465
16	auf	auf	P	PTKVZ	_	3	avz	_	_
17	:	\:	$	$.	_	0	root	_	_
18	so	so	A	ADV	_	19	adv	_	_
19	weinet	weinen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
20	mit	mit	P	APPR	Dat	19	pp	_	_
21	mir	ich	P	PPER	1|Sg|_|Dat	20	pn	1224	1224
22	und	und	K	KON	_	19	kon	_	_
23	nehmt	nehmen	V	VVFIN	2|Pl|Pres|Ind	22	cj	_	_
24	mein	meine	A	PPOSAT	Neut|_|Sg	25	det	1224	1224
25	Schnupftuch	Schnupftuch	N	NN	Neut|_|Sg	23	obja	_	_
26	;	;	$	$.	_	0	root	_	_
27	auch	auch	A	ADV	_	28	adv	_	_
28	mir	ich	P	PPER	1|Sg|_|Dat	34	objd	1224	1224
29	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
30	herrliche	herrlich	A	ADJA	Pos|Masc|Nom|Pl|St|	31	attr	_	_
31	Träume	Traum	N	NN	Masc|Nom|Pl	29	subj	_	_
32	zu	zu	P	APPR	Dat	34	pp	_	_
33	Wasser	Wasser	N	NN	Neut|Dat|Sg	32	pn	351	351
34	worden	werden	V	VAPP	_	29	aux	_	_
35	,	,	$	$,	_	0	root	_	_
36	die	die	P	PRELS	_|_|_	0	root	351	351
37	ich	ich	P	PPER	1|Sg|_|Nom	48	subj	1224	1224
38	als	als	K	KOKOM	_	37	kom	_	_
39	Fötus	Fötus	N	NN	Masc|_|Sg	40	obja	1227	1227
40	gehegt	hegen	V	VVPP	_	38	cj	_	_
41	,	,	$	$,	_	0	root	_	_
42	und	und	K	KON	_	37	kon	_	_
43	das	die	A	ART	Def|Neut|Nom|Sg	44	det	_	_
44	Ende	Ende	N	NN	Neut|Nom|Sg	42	cj	_	_
45	des	die	A	ART	Def|Masc|Gen|Sg	47	det	1540	1540
46	längsten	lang	A	ADJA	Sup|Masc|Gen|Sg|_|	47	attr	1540	1540
47	Schlafes	Schlaf	N	NN	Masc|Gen|Sg	44	gmod	1540	1540
48	war	sein	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
49	das	die	A	ART	Def|Neut|Nom|Sg	50	det	_	_
50	Ende	Ende	N	NN	Neut|Nom|Sg	54	pred	_	_
51	des	die	A	ART	Def|Masc|Gen|Sg	53	det	_	_
52	schönsten	schön	A	ADJA	Sup|Masc|Gen|Sg|_|	53	attr	_	_
53	Traums	Traum	N	NN	Masc|Gen|Sg	50	gmod	_	_
54	gewesen	sein	V	VAPP	_	48	aux	_	_
55	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1224	1224
2	hatte	haben	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
3	so	so	A	ADV	_	4	adv	_	_
4	viele	viele	A	PIDAT	Masc|_|Pl	5	det	_	_
5	Gründe	Grund	N	NN	Masc|_|Pl	2	obja	_	_
6	-	-	$	$(	_	0	root	_	_
7	als	als	K	KOUS	_	11	konj	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	1224	1224
9	nachher	nachher	A	ADV	_	10	adv	_	_
10	angeben	angeben	V	VVINF	_	11	aux	_	_
11	werde	werden	V	VAFIN	1|Sg|Pres|_	5	par	_	_
12	-	-	$	$(	_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	zu	zu	P	PTKZU	_	15	part	_	_
15	träumen	träumen	V	VVINF	_	5	obji	_	_
16	,	,	$	$,	_	0	root	_	_
17	was	was	P	PRELS	Neut|_|Sg	20	obja	1228	1228
18	ich	ich	P	PPER	1|Sg|_|Nom	20	subj	1224	1224
