1	Leibgeber	Leibgeber	N	NN	Masc|_|_	0	root	183	183
2	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	frappiert	frappieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	mich	ich	P	PPER	1|Sg|_|Acc	3	obja	253	253
5	selber	selber	A	ADV	_	4	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	(	(	$	$(	_	0	root	_	_
9	sagt	sagen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
10	'	'	$	$(	_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	0	root	253	253
12	,	,	$	$,	_	0	root	_	_
13	als	als	K	KOUS	_	21	konj	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	21	subj	253	253
15	mein	meine	A	PPOSAT	Neut|_|Sg	16	det	253	253
16	System	System	N	NN	Neut|_|Sg	21	obja	_	_
17	während	während	P	APPR	Gen	21	pp	_	_
18	eines	eine	A	ART	Indef|Neut|Gen|Sg	19	det	_	_
19	Fußbades	Fußbad	N	NN	Neut|Gen|Sg	17	pn	_	_
20	flüchtig	flüchtig	A	ADJD	Pos|	21	adv	_	_
21	überblickte	überblicken	V	VVFIN	1|Sg|Past|_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	und	und	K	KON	_	21	kon	_	_
24	sah	sehen	V	VVFIN	_|Sg|Past|Ind	23	cj	_	_
25	bedeutend	bedeutend	A	ADJD	_|_	24	adv	_	_
26	auf	auf	P	APPR	Acc	24	pp	_	_
27	die	die	A	ART	Def|_|Acc|Pl	28	det	_	_
28	Fußzehen	Fußzeh	N	NN	_|Acc|Pl	26	pn	_	_
29	,	,	$	$,	_	0	root	_	_
30	deren	die	A	PRELAT	Masc|_|Pl	31	det	_	_
31	Nägel	Nagel	N	NN	Masc|_|Pl	34	obja	_	_
32	man	man	P	PIS	_|Nom|Sg	34	subj	_	_
33	mir	ich	P	PPER	1|Sg|_|Dat	34	objd	253	253
34	beschnitt	beschneiden	V	VVFIN	3|Sg|Past|Ind	28	rel	_	_
35	)	)	$	$(	_	0	root	_	_
36	»	»	$	$(	_	0	root	_	_
37	daß	daß	K	KOUS	_	43	konj	_	_
38	ich	ich	P	PPER	1|Sg|_|Nom	43	subj	253	253
39	das	die	A	ART	Def|Neut|Nom|Sg	40	det	_	_
40	All	All	N	NN	Neut|Nom|Sg	43	pred	_	_
41	und	und	K	KON	_	40	kon	_	_
42	Universum	Universum	N	NN	Neut|Nom|Sg	41	cj	268	268
43	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
44	;	;	$	$.	_	0	root	_	_
45	mehr	mehr	P	PIS	_|Dat|_	49	objd	_	_
46	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
47	man	man	P	PIS	_|Nom|Sg	46	subj	_	_
48	nicht	nicht	P	PTKNEG	_	49	adv	_	_
49	werden	werden	V	VAINF	_	46	aux	_	_
50	in	in	P	APPR	Dat	49	pp	_	_
51	der	die	A	ART	Def|Fem|Dat|Sg	52	det	52	52
52	Welt	Welt	N	NN	Fem|Dat|Sg	50	pn	52	52
53	als	als	K	KOKOM	_	49	kom	_	_
54	die	die	A	ART	Def|Fem|_|Sg	55	det	_	_
55	Welt	Welt	N	NN	Fem|_|Sg	53	cj	_	_
56	selber	selber	A	ADV	_	58	adv	_	_
57	(	(	$	$(	_	0	root	_	_
58	§	§	N	NN	Fem|_|Sg	55	app	_	_
59	8	8	C	CARD	_	58	app	_	_
60	)	)	$	$(	_	0	root	_	_
61	und	und	K	KON	_	58	kon	_	_
62	Gott	Gott	N	NN	Fem|_|Sg	61	cj	_	_
63	(	(	$	$(	_	0	root	_	_
64	§	§	N	NN	Fem|_|Sg	62	app	_	_
65	3	3	C	CARD	_	64	app	_	_
66	)	)	$	$(	_	0	root	_	_
67	und	und	K	KON	_	64	kon	_	_
68	die	die	A	ART	Def|Fem|_|Sg	69	det	_	_
69	Geisterwelt	Geisterwelt	N	NN	Fem|_|Sg	67	cj	_	_
70	(	(	$	$(	_	0	root	_	_
71	§	§	N	NN	Fem|_|Sg	69	app	_	_
72	8	8	C	CARD	_	71	app	_	_
73	)	)	$	$(	_	0	root	_	_
74	dazu	dazu	P	PROAV	_	49	pp	_	_
75	.	.	$	$.	_	0	root	_	_

1	Nur	nur	A	ADV	_	4	adv	254	254
2	so	so	A	ADV	_	3	adv	254	254
3	lange	lang	A	ADJA	Pos|Fem|_|Sg|_|	4	attr	254	254
4	Zeit	Zeit	N	NN	Fem|_|Sg	12	obja	254	254
5	(	(	$	$(	_	0	root	254	254
6	die	die	P	PRELS	Fem|Nom|Sg	10	subj	254	254
7	wieder	wieder	A	ADV	_	10	adv	_	_
8	mein	meine	A	PPOSAT	Neut|Nom|Sg	9	det	253	253
9	Werk	Werk	N	NN	Neut|Nom|Sg	10	pred	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	4	par	_	_
11	)	)	$	$(	_	0	root	_	_
12	hätt	hätt	V	VVFIN	1|Sg|_|_	0	root	_	_
13	'	'	$	$(	_	0	root	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	253	253
15	nicht	nicht	P	PTKNEG	_	16	adv	_	_
16	versitzen	versitzen	V	VVINF	_	17	aux	_	_
17	sollen	sollen	V	VMFIN	_|Pl|Pres|_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	ohne	ohne	K	KOUI	_	20	konj	_	_
20	daraufzukommen	daraufkommen	V	VVIZU	_	17	neb	_	_
21	,	,	$	$,	_	0	root	_	_
22	nach	nach	P	APPR	Dat	20	pp	_	_
23	10	10	C	CARD	_	24	attr	_	_
24	Visthnus-Verwandlungen	Visthnus-Verwandlung	N	NN	Fem|Dat|Pl	22	pn	_	_
25	,	,	$	$,	_	0	root	_	_
26	daß	daß	K	KOUS	_	39	konj	_	_
27	ich	ich	P	PPER	1|Sg|_|Nom	39	subj	253	253
28	die	die	A	ART	Def|_|_|_	29	det	_	_
29	natura	natura	F	FM	Masc|Nom|Sg	39	pred	_	_
30	naturans	naturans	F	FM	Masc|Nom|Sg	29	app	_	_
31	und	und	K	KON	_	30	kon	_	_
32	der	die	A	ART	Def|Masc|Nom|Sg	33	det	348	348
33	Demiurgos	Demiurgos	N	NN	Masc|Nom|Sg	31	cj	348	348
34	und	und	K	KON	_	33	kon	_	_
35	der	die	A	ART	Def|Masc|Nom|Sg	36	det	_	_
36	Bewindheber	Bewindheber	N	NN	Masc|Nom|Sg	34	cj	_	_
37	des	die	A	ART	Def|Neut|Gen|Sg	38	det	28	28
38	Universums	Universum	N	NN	Neut|Gen|Sg	36	gmod	28	28
39	bin	sein	V	VAFIN	1|Sg|Pres|Ind	20	objc	_	_
40	.	.	$	$.	_	0	root	_	_

1	Mir	ich	P	PPER	1|Sg|_|Dat	2	objd	253	253
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	jetzt	jetzt	A	ADV	_	2	adv	_	_
4	wie	wie	K	KOKOM	_	2	kom	_	_
5	jenem	jene	A	PDAT	Masc|Dat|Sg	6	det	255	255
