1	Hallo	hallo	ITJ	ITJ	_	0	root	_	-
2	!	!	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	-
3	Tom	Tom	N	NE	_|Nom|Sg	2	pred	_	-
4	Maier	Maier	N	NE	_|Nom|Sg	3	app	_	-
5	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	-
3	13	13	CARD	CARD	_	4	attr	_	-
4	Jahre	Jahr	N	NN	Neut|_|Pl	5	grad	_	-
5	alt	alt	ADV	ADJD	Pos|	2	pred	_	-
6	und	und	KON	KON	_	0	root	_	-
7	Schüler	Schüler	N	NN	Masc|_|_	6	cj	_	-
8	.	.	$.	$.	_	0	root	_	-

1	In	in	PREP	APPR	Dat	4	pp	_	-
2	der	die	ART	ART	Def|Fem|Dat|Sg	3	det	_	-
3	Schule	Schule	N	NN	Fem|Dat|Sg	1	pn	_	-
4	mag	mögen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	-
5	ich	ich	PRO	PPER	1|Sg|_|Nom	4	subj	_	(0)
6	besonders	besonders	ADV	ADV	_	7	adv	_	-
7	Englisch	Englisch	N	NN	Neut|_|Sg	4	obja	_	-
8	,	,	$,	$,	_	0	root	_	-
9	Französisch	Französisch	N	NN	Neut|_|Sg	7	kon	_	-
10	und	und	KON	KON	_	9	kon	_	-
11	Sport	Sport	N	NN	Masc|_|Sg	10	cj	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Meine	meine	ART	PPOSAT	Masc|Nom|Pl	2	det	_	(0)
2	Lehrer	Lehrer	N	NN	Masc|Nom|Pl	3	subj	_	-
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
4	sehr	sehr	ADV	ADV	_	5	adv	_	-
5	nett	nett	ADV	ADJD	Pos|	3	pred	_	-
6	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
2	wohne	wohnen	V	VVFIN	1|Sg|Pres|_	0	root	_	-
3	in	in	PREP	APPR	_	2	objp	_	-
4	Stuttgart	Stuttgart	N	NE	Neut|_|Sg	3	pn	_	(1
5	,	,	$,	$,	_	0	root	_	-
6	Bahnhofstraße	Bahnhofstraße	N	NE	Fem|_|Sg	4	app	_	-
7	20	20	CARD	CARD	_	6	app	_	1)
8	,	,	$,	$,	_	0	root	_	-
9	70001	70001	CARD	CARD	_	0	root	_	-
10	Stuttgart	Stuttgart	N	NE	Neut|_|Sg	0	root	_	-
11	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	-
3	ein	eine	ART	ART	Indef|Neut|_|Sg	4	det	_	-
4	Handy	Handy	N	NN	Neut|_|Sg	2	obja	_	-
5	!	!	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Handy-Nummer	Handy-Nummer	N	NN	Fem|Nom|Sg	3	subj	_	-
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
4	1234	1234	CARD	CARD	_	3	zeit	_	-
5	/	/	$(	$(	_	0	root	_	-
6	567890	567890	CARD	CARD	_	4	kon	_	-
7	.	.	$.	$.	_	0	root	_	-

1	Meine	meine	ART	PPOSAT	Neut|Nom|Pl	2	det	_	(0)
2	Hobbys	Hobby	N	NN	Neut|Nom|Pl	3	subj	_	-
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
4	Fußball	Fußball	N	NN	Masc|Nom|Sg	3	pred	_	-
5	,	,	$,	$,	_	0	root	_	-
6	Schwimmen	Schwimmen	N	NN	Neut|Nom|Sg	4	kon	_	-
7	und	und	KON	KON	_	6	kon	_	-
8	Computerspiele	Computerspiel	N	NN	Neut|Nom|Pl	7	cj	_	-
9	.	.	$.	$.	_	0	root	_	-

1	Mein	meine	ART	PPOSAT	Masc|Nom|Sg	2	det	_	(0)
2	Vater	Vater	N	NN	Masc|Nom|Sg	3	subj	_	-
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
4	Zahnarzt	Zahnarzt	N	NN	Masc|Nom|Sg	3	pred	_	-
5	von	von	PREP	APPR	Dat	4	pp	_	-
6	Beruf	Beruf	N	NN	Masc|Dat|Sg	5	pn	_	-
7	,	,	$,	$,	_	0	root	_	-
8	meine	meine	ART	PPOSAT	Fem|Nom|Sg	9	det	_	(0)
9	Mutter	Mutter	N	NN	Fem|Nom|Sg	10	subj	_	-
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	3	kon	_	-
11	Zahnärztin	Zahnärztin	N	NN	Fem|Nom|Sg	10	pred	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Meine	meine	ART	PPOSAT	_|Nom|Pl	2	det	_	(0)
2	Eltern	Elter	N	NN	_|Nom|Pl	3	subj	_	-
3	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	-
4	eine	eine	ART	ART	Indef|Fem|_|Sg	5	det	_	-
5	Zahnarztpraxis	Zahnarztpraxis	N	NN	Fem|_|Sg	3	obja	_	-
6	in	in	PREP	APPR	Dat	3	pp	_	-
7	der	die	ART	ART	Def|Fem|Dat|Sg	8	det	_	-
8	Königstraße	Königstraß	N	NN	Fem|Dat|Sg	6	pn	_	-
9	in	in	PREP	APPR	_	3	pp	_	-
10	Stuttgart	Stuttgart	N	NE	Neut|_|Sg	9	pn	_	(1)
11	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	-
3	einen	eine	ART	ART	Indef|Masc|Acc|Sg	4	det	_	-
4	Bruder	Bruder	N	NN	Masc|Acc|Sg	2	obja	_	-
5	und	und	KON	KON	_	4	kon	_	-
6	eine	eine	ART	ART	Indef|Fem|Acc|Sg	7	det	_	-
7	Schwester	Schwester	N	NN	Fem|Acc|Sg	5	cj	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Mein	meine	ART	PPOSAT	Masc|Nom|Sg	2	det	_	(0)|(2
2	Bruder	Bruder	N	NN	Masc|Nom|Sg	3	subj	_	2)
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
4	20	20	CARD	CARD	_	5	attr	_	-
5	Jahre	Jahr	N	NN	Neut|_|Pl	6	grad	_	-
6	alt	alt	ADV	ADJD	Pos|	3	pred	_	-
7	und	und	KON	KON	_	3	kon	_	-
8	möchte	mögen	V	VMFIN	_|Sg|Past|Subj	7	cj	_	-
9	auch	auch	ADV	ADV	_	11	adv	_	-
10	Zahnarzt	Zahnarzt	N	NN	Masc|Nom|Sg	11	pred	_	-
11	werden	werden	V	VAINF	_	8	aux	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Er	er	PRO	PPER	3|Sg|Masc|Nom	2	subj	_	(2)
2	studiert	studieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
