1	Hallo	hallo	ITJ	ITJ	_	0	root	_	-
2	Marion	Marion	N	NE	Fem|_|Sg	0	root	_	-
3	,	,	$,	$,	_	0	root	_	-
4	ich	ich	PRO	PPER	1|Sg|_|Nom	5	subj	_	(0)
5	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	-
6	es	es	PRO	PPER	3|Sg|Neut|Nom	5	pred	_	-
7	,	,	$,	$,	_	0	root	_	-
8	dein	deine	ART	PPOSAT	Masc|Nom|Sg	9	det	_	(1)
9	Daniel	Daniel	N	NE	Masc|Nom|Sg	6	kon	_	-
10	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
2	hoffe	hoffen	V	VVFIN	1|Sg|Pres|_	0	root	_	-
3	,	,	$,	$,	_	0	root	_	-
4	es	es	PRO	PPER	3|Sg|Neut|Nom	5	subj	_	-
5	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	2	s	_	-
6	dir	du	PRO	PPER	2|Sg|_|Dat	5	objd	_	(1)
7	gut	gut	ADV	ADJD	Pos|	5	pred	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
2	wohne	wohnen	V	VVFIN	1|Sg|Pres|_	0	root	_	-
3	jetzt	jetzt	ADV	ADV	_	2	adv	_	-
4	in	in	PREP	APPR	_	2	objp	_	-
5	Berlin	Berlin	N	NE	_|_|Sg	4	pn	_	(3)
6	,	,	$,	$,	_	0	root	_	-
7	hier	hier	ADV	ADV	_	8	adv	_	-
8	habe	haben	V	VAFIN	1|Sg|Pres|_	2	kon	_	-
9	ich	ich	PRO	PPER	1|Sg|_|Nom	8	subj	_	(0)
10	einen	eine	ART	ART	Indef|Masc|Acc|Sg	12	det	_	-
11	tollen	toll	ADJA	ADJA	Pos|Masc|Acc|Sg|_|	12	attr	_	-
12	Arbeitsplatz	Arbeitsplatz	N	NN	Masc|Acc|Sg	13	obja	_	-
13	gefunden	finden	V	VVPP	_	8	aux	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	-
3	sehr	sehr	ADV	ADV	_	4	adv	_	-
4	glücklich	glücklich	ADV	ADJD	Pos|	2	pred	_	-
5	mit	mit	PREP	APPR	Dat	2	pp	_	-
6	meiner	meine	ART	PPOSAT	Fem|Dat|Sg	8	det	_	(0)
7	neuen	neu	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	8	attr	_	-
8	Arbeit	Arbeit	N	NN	Fem|Dat|Sg	5	pn	_	-
9	.	.	$.	$.	_	0	root	_	-

1	Meine	meine	ART	PPOSAT	Masc|Nom|Pl	2	det	_	(0)
2	Arbeitskollegen	Arbeitskollege	N	NN	Masc|Nom|Pl	3	subj	_	-
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
4	sehr	sehr	ADV	ADV	_	5	adv	_	-
5	nett	nett	ADV	ADJD	Pos|	3	pred	_	-
6	.	.	$.	$.	_	0	root	_	-

1	Sie	sie	PRO	PPER	3|Pl|_|Nom	2	subj	_	(2)
2	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	-
3	mich	ich	PRO	PPER	1|Sg|_|Acc	2	obja	_	(0)
4	mit	mit	PREP	APPR	Dat	2	pp	_	-
5	offenen	offen	ADJA	ADJA	Pos|_|Dat|_|_|	6	attr	_	-
6	Armen	Arm	N	NN	_|Dat|_	4	pn	_	-
7	empfangen	empfangen	V	VVINF	_	0	root	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Jeden	jede	ART	PIDAT	_|_|Sg	2	det	_	-
2	Tag	Tag	N	NN	_|_|Sg	3	zeit	_	-
3	lerne	lernen	V	VVFIN	1|Sg|Pres|_	0	root	_	-
