1	Ja	ja	PTKANT	PTKANT	_	0	root	_	-
2	,	,	$,	$,	_	0	root	_	-
3	meine	meine	ART	PPOSAT	Fem|Nom|Sg	4	det	_	(0)
4	Gesundheit	Gesundheit	N	NN	Fem|Nom|Sg	5	subj	_	-
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
6	mir	ich	PRO	PPER	1|Sg|_|Dat	5	objd	_	(0)
7	wichtig	wichtig	ADV	ADJD	Pos|	5	pred	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Früher	früh	ADV	ADJD	_|	2	pred	_	-
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
3	das	die	PRO	PDS	Neut|Nom|Sg	2	subj	_	-
4	nicht	nicht	PTKNEG	PTKNEG	_	2	adv	_	-
5	so	so	ADV	ADV	_	2	adv	_	-
6	.	.	$.	$.	_	0	root	_	-

1	Früher	früh	ADV	ADJD	_|	2	adv	_	-
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	-
3	ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
4	oft	oft	ADV	ADV	_	8	adv	_	-
5	Bier	Bier	N	NN	_|_|Sg	8	obja	_	-
6	oder	oder	KON	KON	_	5	kon	_	-
7	Wein	Wein	N	NN	Masc|_|Sg	6	cj	_	-
8	getrunken	trinken	V	VVPP	_	2	aux	_	-
9	.	.	$.	$.	_	0	root	_	-

1	Jetzt	jetzt	ADV	ADV	_	2	adv	_	-
2	trinke	trinken	V	VVFIN	3|Sg|Pres|Subj	0	root	_	-
3	nur	nur	ADV	ADV	_	2	adv	_	-
4	noch	noch	ADV	ADV	_	2	adv	_	-
5	wenig	wenig	ART	PIDAT	Masc|Nom|Sg	6	det	_	(1
6	Alkohol	Alkohol	N	NN	Masc|Nom|Sg	2	subj	_	1)
7	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
2	arbeite	arbeiten	V	VVFIN	1|Sg|Pres|_	0	root	_	-
3	am	an	PREP	APPRART	Dat	2	pp	_	-
4	Vormittag	Vormittag	N	NN	_|Dat|Sg	3	pn	_	-
5	als	als	KOKOM	KOKOM	_	2	kom	_	-
6	Sekretärin	Sekretärin	N	NN	Fem|_|Sg	5	cj	_	-
7	,	,	$,	$,	_	0	root	_	-
8	am	an	PREP	APPRART	Dat	10	pp	_	-
9	Nachmittag	Nachmittag	N	NN	_|Dat|Sg	8	pn	_	-
10	gehe	gehen	V	VVFIN	1|Sg|Pres|_	2	kon	_	-
11	ich	ich	PRO	PPER	1|Sg|_|Nom	10	subj	_	(0)
12	immer	immer	ADV	ADV	_	13	adv	_	-
13	spazieren	spazieren	V	VVINF	_	10	obji	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	-
3	nämlich	nämlich	ADV	ADV	_	2	adv	_	-
4	einen	eine	ART	ART	Indef|Masc|Acc|Sg	5	det	_	-
5	Hund	Hund	N	NN	Masc|Acc|Sg	2	obja	_	-
6	–	–	$(	$(	_	0	root	_	-
7	Fiffi	Fiffi	N	NE	_	0	root	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Er	er	PRO	PPER	3|Sg|Masc|Nom	2	subj	_	(1)
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	noch	noch	ADV	ADV	_	2	adv	_	-
4	sehr	sehr	ADV	ADV	_	5	adv	_	-
5	jung	jung	ADV	ADJD	Pos|	2	pred	_	-
6	und	und	KON	KON	_	2	kon	_	-
7	will	wollen	V	VMFIN	_|Sg|Pres|Ind	6	cj	_	-
8	immer	immer	ADV	ADV	_	11	adv	_	-
9	viel	viel	PRO	PIS	_	10	obja	_	-
10	spazieren	spazieren	V	VVINF	_	11	obji	_	-
11	gehen	gehen	V	VVINF	_	7	aux	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Wir	wir	PRO	PPER	1|Pl|_|Nom	2	subj	_	-
2	gehen	gehen	V	VVFIN	1|Pl|Pres|_	0	root	_	-
3	oft	oft	ADV	ADV	_	2	adv	_	-
4	in	in	PREP	APPR	Acc	2	objp	_	-
5	den	die	ART	ART	Def|Masc|Acc|Sg	6	det	_	-
6	Park	Park	N	NN	Masc|Acc|Sg	4	pn	_	-
7	.	.	$.	$.	_	0	root	_	-

