1	Ihr	ihr	P	PPER	2|Pl|_|Nom	2	subj	172	172
2	sollt	sollen	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	7	objd	171	171
4	mehr	mehr	A	ADV	_	7	adv	_	_
5	für	für	P	APPR	Acc	7	pp	_	_
6	sie	sie	P	PPER	3|_|_|Acc	5	pn	173	173
7	geben	geben	V	VVINF	_	2	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	sonst	sonst	A	ADV	_	10	adv	_	_
10	muss	müssen	V	VMFIN	1|Sg|Pres|Ind	2	kon	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	171	171
12	die	die	A	ART	Def|_|_|_	13	det	164	164
13	Schale	Schal	N	NN	_|_|_	14	obja	164	164
14	weitertragen	weitertragen	V	VVINF	_	10	aux	_	_
15	.	.	$	$.	_	0	root	_	_

1	"	"	$	$(	_	0	root	_	_
2	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	166	166
3	Händler	Händler	N	NN	Masc|Nom|Sg	4	subj	166	166
4	erwiderte	erwidern	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	:	\:	$	$.	_	0	root	_	_
6	"	"	$	$(	_	0	root	_	_
7	Junge	Junge	N	NN	_|_|_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	sie	sie	P	PPER	3|Sg|Fem|Nom	10	subj	164	164
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
11	nicht	nicht	P	PTKNEG	_	14	adv	_	_
12	mehr	mehr	A	ADV	_	11	adv	_	_
13	wert	wert	A	ADJD	Pos|	14	pred	_	_
14	gewesen	sein	V	VAPP	_	10	aux	_	_
15	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	weil	weil	K	KOUS	_	10	konj	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	10	objd	171	171
4	eine	eine	A	ART	Indef|Fem|Nom|Sg	5	det	174	174
5	Sehale	Sehale	N	NN	Fem|Nom|Sg	10	subj	174	174
6	ohne	ohne	P	APPR	Acc	10	pp	_	_
7	die	die	A	ART	Def|_|_|_	8	part	_	_
8	andere	andere	P	PIS	_|Acc|_	6	pn	_	_
9	nichts	nichts	P	PIS	_	10	obja	_	_
10	nützt	nützen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
11	und	und	K	KON	_	0	root	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	11	cj	171	171
13	deren	die	A	PDAT	_	0	root	_	_
14	zwei	zwei	C	CARD	_	15	obja	_	_
15	haben	haben	V	VAINF	_	16	aux	_	_
16	muss	müssen	V	VMFIN	_|Sg|Pres|Ind	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	wenn	wenn	K	KOUS	_	23	konj	_	_
19	ich	ich	P	PPER	1|Sg|_|Nom	23	subj	171	171
20	sie	sie	P	PPER	3|_|_|_	22	obja	174	174
21	wieder	wieder	A	ADV	_	22	adv	_	_
22	verkaufen	verkaufen	V	VVINF	_	23	aux	_	_
23	will	wollen	V	VMFIN	1|Sg|Pres|Ind	25	neb	_	_
24	,	,	$	$,	_	0	root	_	_
25	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
26	ich	ich	P	PPER	1|Sg|_|Nom	25	subj	171	171
27	dir	du	P	PPER	2|Sg|_|Dat	33	objd	_	_
28	zwanzig	zwanzig	C	CARD	_	29	attr	184	184
29	Taler	Taler	N	NN	Masc|_|Pl	33	obja	184	184
30	für	für	P	APPR	Acc	29	pp	184	184
31	diese	diese	A	PDAT	_|Acc|_	30	pn	184	184
32	da	da	A	ADV	_	33	adv	_	_
33	geben	geben	V	VVINF	_	25	aux	_	_
34	.	.	$	$.	_	0	root	_	_

1	"	"	$	$(	_	0	root	_	_
2	Lameth	Lameth	N	NE	_|Nom|Sg	3	subj	24	24
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	sehr	sehr	A	ADV	_	5	adv	_	_
5	froh	froh	A	ADJD	Pos|	3	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	dies	dies	P	PDS	Neut|_|Sg	9	obja	_	_
8	zu	zu	P	PTKZU	_	9	part	_	_
9	hören	hören	V	VVINF	_	3	obji	_	_
10	,	,	$	$,	_	0	root	_	_
11	gab	geben	V	VVFIN	_|Sg|Past|Ind	3	kon	_	_
12	ihm	er	P	PPER	3|Sg|_|Dat	11	objd	24	24
13	die	die	A	ART	Def|_|_|_	14	det	164	164
14	Schale	Schal	N	NN	_|_|_	11	obja	164	164
15	,	,	$	$,	_	0	root	_	_
16	lief	laufen	V	VVFIN	_|Sg|Past|Ind	11	kon	_	_
17	mit	mit	P	APPR	Dat	16	pp	_	_
18	dem	die	A	ART	Def|Neut|Dat|Sg	19	det	175	175
19	Geld	Geld	N	NN	Neut|Dat|Sg	17	pn	175	175
20	zu	zu	P	APPR	Dat	16	pp	_	_
21	seinem	seine	A	PPOSAT	Masc|Dat|Sg	22	det	175	175
22	Vater	Vater	N	NN	Masc|Dat|Sg	20	pn	_	_
23	und	und	K	KON	_	16	kon	_	_
24	rief	rufen	V	VVFIN	_|Sg|Past|Ind	23	cj	_	_
25	ihm	er	P	PPER	3|Sg|_|Dat	24	objd	24	24
26	freudig	freudig	A	ADJD	Pos|	24	adv	_	_
27	entgegen	entgegen	P	PTKVZ	_	24	avz	_	_
28	:	\:	$	$.	_	0	root	_	_
29	"	"	$	$(	_	0	root	_	_
30	Dieser	diese	A	PDAT	Masc|Nom|Sg	31	det	166	166
31	Händler	Händler	N	NN	Masc|Nom|Sg	32	subj	166	166
32	muss	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
33	wohl	wohl	A	ADV	_	37	adv	_	_
34	ein	eine	A	ART	Indef|Masc|Nom|Sg	36	det	_	_
35	ehrlicher	ehrlich	A	ADJA	Pos|Masc|Nom|Sg|St|	36	attr	_	_
36	Mann	Mann	N	NN	Masc|Nom|Sg	37	pred	_	_
37	sein	sein	V	VAINF	_	32	aux	_	_
38	,	,	$	$,	_	0	root	_	_
39	dass	dass	K	KOUS	_	49	konj	_	_
