1	Schafft	schaffen	V	VVIMP	Pl	0	root	_	_
2	Euch	ihr	P	PPER	2|Pl|_|_	1	obja	758	758
3	einmal	einmal	A	ADV	_	2	adv	_	_
4	Ruhe	Ruhe	N	NN	Fem|_|Sg	0	root	439	439
5	,	,	$	$,	_	0	root	_	_
6	tut	tun	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	dem	die	A	ART	Def|Masc|Dat|Sg	8	det	62	62
8	Satan	Satan	N	NN	Masc|Dat|Sg	6	objd	62	62
9	Widerstand	Widerstand	N	NN	Masc|Nom|Sg	6	subj	759	759
10	,	,	$	$,	_	0	root	_	_
11	denn	denn	K	KON	_	6	kon	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	759	759
13	peinigt	peinigen	V	VVFIN	3|Sg|Pres|Ind	11	cj	_	_
14	und	und	K	KON	_	13	kon	_	_
15	martert	martern	V	VVFIN	_|_|Pres|_	14	cj	_	_
16	Euch	ihr	P	PPER	2|Pl|_|_	15	obja	758	758
17	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	764	764
2	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	6	expl	_	_
4	nicht	nicht	P	PTKNEG	_	6	adv	_	_
5	mehr	mehr	A	ADV	_	4	adv	_	_
6	zugeben	zugeben	V	VVINF	_	2	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	dass	dass	K	KOUS	_	12	konj	_	_
9	Ihr	ihr	P	PPER	2|Pl|_|Nom	12	subj	758	758
10	so	so	A	ADV	_	11	adv	_	_
11	allein	allein	A	ADV	_	12	adv	_	_
12	seid	sein	V	VAFIN	2|Pl|Pres|Ind	6	objc	_	_
13	,	,	$	$,	_	0	root	_	_
14	sondern	sondern	K	KON	_	12	kon	_	_
15	Ihr	ihr	P	PPER	2|Pl|_|Nom	16	subj	758	758
16	müsst	müssen	V	VMFIN	2|Pl|Pres|Ind	14	cj	_	_
17	entweder	entweder	K	KON	_	0	root	_	_
18	Leute	Leute	N	NN	_|_|Pl	0	root	760	760
19	um	um	P	APPR	Acc	18	pp	760	760
20	Euch	ihr	P	PPER	2|Pl|_|Acc	19	pn	758	758
21	haben	haben	V	VAINF	_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	dass	dass	K	KOUS	_	28	konj	_	_
24	Ihr	ihre	A	PPOSAT	_|_|Sg	25	det	760	760
25	Euch	Euch	N	NN	_|_|Sg	28	obja	_	_
26	mit	mit	P	APPR	Dat	28	pp	_	_
27	ihnen	sie	P	PPER	3|Pl|_|Dat	26	pn	760	760
