1	Komm	Komm	N	NE	_	0	root	137	137
2	,	,	$	$,	_	0	root	_	_
3	erzähl	erzählen	V	VVIMP	Sg	0	root	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	3	objd	135	135
5	alles	alle	P	PIS	_|_|Sg	4	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	wie	wie	P	PWAV	_	9	adv	_	_
8	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
9	zugegangen	zugehen	V	VVPP	_	10	aux	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	3	objc	_	_
11	.	.	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_

1	Daß	daß	K	KOUS	_	5	konj	_	_
2	die	die	A	ART	Def|Fem|Nom|Sg	3	det	6	6
3	Großmutter	Großmutter	N	NN	Fem|Nom|Sg	5	subj	6	6
4	anhören	anhören	V	VVINF	_	5	aux	_	_
5	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
8	es	es	P	PPER	3|Sg|Neut|_	10	obja	_	_
9	zu	zu	P	PTKZU	_	10	part	_	_
10	berichten	berichten	V	VVINF	_	0	root	_	_
11	und	und	K	KON	_	10	kon	_	_
12	zu	zu	P	PTKZU	_	13	part	_	_
13	klagen	klagen	V	VVINF	_	11	cj	_	_
14	hatte	haben	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	besänftigte	besänftigen	V	VVFIN	3|Sg|Past|_	0	root	_	_
17	das	die	A	ART	Def|Neut|Nom|Sg	18	det	12	12
18	Trini	Trini	N	NN	Neut|Nom|Sg	16	subj	12	12
19	schon	schon	A	ADV	_	16	adv	_	_
20	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
21	wenig	wenig	A	ADV	_	0	root	_	_
22	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	setzte	setzen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	hin	hin	A	APZR	_	0	root	_	_
5	und	und	K	KON	_	0	root	_	_
6	berichtete	berichten	V	VVFIN	_|Sg|Past|_	5	cj	_	_
7	gern	gern	A	ADV	_	6	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	was	was	P	PRELS	Neut|Nom|Sg	12	subj	_	_
10	es	es	P	PPER	3|Sg|Neut|_	11	obja	_	_
11	erlebt	erleben	V	VVPP	_	12	aux	_	_
