1	Jawohl	Jawohl	N	NN	Neut|_|Sg	0	root	703	703
2	!	!	$	$.	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	gab	geben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	Sebastian	Sebastian	N	NE	Masc|Nom|Sg	5	subj	532	532
7	zurück	zurück	P	PTKVZ	_	5	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	der	die	P	PRELS	_|_|Sg	0	root	532	532
10	sich	sie	P	PRF	3|_|_	0	root	_	_
11	im	in	P	APPRART	Dat	0	root	_	_
12	Zimmer	Zimmer	N	NN	Neut|Dat|Sg	11	pn	612	612
13	zu	zu	P	PTKZU	_	0	root	_	_
14	schaffen	schaffen	V	VVINF	_	15	obji	_	_
15	gemacht	machen	V	VVPP	_	16	aux	_	_
16	hatte	haben	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
17	in	in	P	APPR	_	15	pp	_	_
18	Erwartung	Erwartung	N	NN	Fem|_|Sg	17	pn	_	_
19	dieser	diese	A	PDAT	Fem|Gen|Sg	20	det	576	576
20	Frage	Frage	N	NN	Fem|Gen|Sg	18	gmod	576	576
21	.	.	$	$.	_	0	root	_	_

1	Schnell	schnell	A	ADJD	Pos|	4	adv	_	_
2	und	und	K	KON	_	1	kon	_	_
3	leise	leise	A	ADJD	Pos|	2	cj	_	_
4	fasste	fassen	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	4	subj	8	8
6	die	die	A	ART	Def|Neut|_|Pl	8	det	705	705
7	beiden	beide	A	PIDAT	Neut|_|Pl	8	attr	705	705
8	Kätzchen	Kätzchen	N	NN	Neut|_|Pl	4	obja	705	705
9	auf	auf	P	APPR	_	4	pp	_	_
10	Klaras	Klara	N	NN	_|_|Sg	9	pn	_	_
11	Schoß	Schoß	N	NN	_|_|Sg	10	app	_	_
12	und	und	K	KON	_	4	kon	_	_
13	verschwand	verschwinden	V	VVFIN	_|Sg|Past|Ind	12	cj	_	_
14	damit	damit	P	PROAV	_	13	pp	_	_
15	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	_	_
2	besondere	besondere	A	ADJA	_|Fem|Nom|Sg|_	3	attr	_	_
3	Strafrede	Strafrede	N	NN	Fem|Nom|Sg	12	subj	_	_
4	,	,	$	$,	_	0	root	_	_
5	die	die	A	ART	Def|Masc|_|Pl	6	det	93	93
6	Fräulein	Fräulein	N	NN	Masc|_|Pl	11	obja	93	93
7	Rottenmeier	Rottenmeier	N	NN	Masc|_|_	6	app	93	93
8	Heidi	Heidi	N	NE	Masc|_|_	7	app	93	93
9	noch	noch	A	ADV	_	11	adv	_	_
10	zu	zu	P	PTKZU	_	11	part	_	_
11	halten	halten	V	VVINF	_	3	obji	_	_
12	gedachte	gedachte	V	VMFIN	_|Sg|_|_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	verschob	verschieben	V	VVFIN	_|Sg|Past|Ind	12	kon	_	_
15	sie	sie	P	PPER	3|_|_|_	14	obja	93	93
16	auf	auf	P	APPR	Acc	14	pp	_	_
17	den	die	A	ART	Def|Masc|Acc|Sg	19	det	875	875
18	folgenden	folgend	A	ADJA	Pos|Masc|Acc|Sg|_|_	19	attr	875	875
19	Tag	Tag	N	NN	Masc|Acc|Sg	16	pn	875	875
20	,	,	$	$,	_	0	root	_	_
21	denn	denn	K	KON	_	14	kon	_	_
22	heute	heute	A	ADV	_	23	adv	_	_
23	fühlte	fühlen	V	VVFIN	3|Sg|Past|_	21	cj	_	_
24	sie	sie	P	PPER	3|Sg|Fem|Nom	23	subj	93	93
25	sich	sie	P	PRF	3|_|_	23	obja	_	_
26	zu	zu	P	PTKA	_	27	adv	_	_
27	erschöpft	erschöpft	A	ADJD	Pos|	23	pred	_	_
28	nach	nach	P	APPR	Dat	23	pp	_	_
29	all	all	A	PIDAT	Fem|Dat|Pl	32	det	_	_
30	den	die	A	ART	Def|Fem|Dat|Pl	32	det	_	_
31	vorhergegangenen	vorhergegangen	A	ADJA	Pos|Fem|Dat|Pl|_|	32	attr	_	_
32	Gemütsbewegungen	Gemütsbewegung	N	NN	Fem|Dat|Pl	28	pn	_	_
33	von	von	P	APPR	Dat	32	pp	_	_
34	Ärger	Ärger	N	NN	Masc|Dat|Sg	33	pn	_	_
35	,	,	$	$,	_	0	root	_	_
36	Zorn	Zorn	N	NN	Masc|Dat|Sg	34	kon	704	704
37	und	und	K	KON	_	36	kon	_	_
38	Schrecken	Schreck	N	NN	_|Dat|_	37	cj	391	391
39	,	,	$	$,	_	0	root	_	_
40	die	die	P	PRELS	Fem|Nom|Sg	47	subj	391	391
41	ihr	ihre	A	PPOSAT	_|_|Sg	42	det	93	93
42	Heidi	Heidi	N	NN	_|_|Sg	46	obja	93	93
43	ganz	ganz	A	ADV	_	44	adv	_	_
44	unwissentlich	unwissentlich	A	ADJD	_	46	adv	_	_
45	nacheinander	nacheinander	A	ADV	_	46	adv	_	_
