1	Es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
2	is	is	F	FM	_	0	root	_	_
3	ganz	ganz	F	FM	_	2	app	_	_
4	zuawa	zuawa	F	FM	_	3	app	_	_
5	kemma	kemma	F	FM	_	4	app	_	_
6	und	und	K	KON	_	0	root	_	_
7	hat	haben	V	VAFIN	3|Sg|Pres|Ind	6	cj	_	_
8	uns	wir	P	PPER	1|Pl|_|_	7	obja	_	_
9	jetzt	jetzt	A	ADV	_	7	adv	_	_
10	erst	erst	A	ADV	_	7	adv	_	_
11	in	in	P	APPR	_	7	pp	_	_
12	Wind	Wind	N	NN	Masc|_|Sg	11	pn	1008	1008
13	kriagt	kriagt	N	NE	Masc|_|Sg	12	app	1008	1008
14	.	.	$	$.	_	0	root	_	_

1	›	›	A	ADJA	_|_|_|_|_	2	attr	_	_
2	Ja	Ja	N	NN	_|_|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	was	was	P	PWS	Neut|_|Sg	0	root	_	_
5	is	is	F	FM	_	0	root	_	_
6	denn	denn	A	ADV	_	7	adv	_	_
7	das	die	P	PDS	Neut|_|Sg	0	root	_	_
8	?	?	$	$.	_	0	root	_	_
9	‹	‹	F	FM	_|Nom|Sg	10	subj	_	_
10	schreit	schreien	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
11	mei	mei	N	NE	_	10	obja	484	484
12	Gawalier	Gawalier	N	NE	_	11	app	484	484
13	.	.	$	$.	_	0	root	_	_

1	›	›	F	FM	_	0	root	_	_
2	Was	Was	F	FM	_	1	app	_	_
3	habts	habts	F	FM	_	2	app	_	_
4	denn	denn	A	ADV	_	11	adv	49	49
5	ihr	ihre	A	PPOSAT	_|_|Sg	11	det	49	49
6	für	für	P	APPR	Acc	11	pp	_	_
7	Viecher	Viech	N	NN	Neut|Acc|Pl	6	pn	_	_
8	da	da	A	ADV	_	9	adv	_	_
9	herob	herob	C	CARD	_	7	app	_	_
10	'	'	$	$(	_	0	root	_	_
11	n	n	N	NN	_|_|Sg	0	root	_	_
12	?	?	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	mag	mögen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	50	50
4	nimmer	nimmer	A	ADV	_	2	adv	_	_
5	bleib	bleiben	V	VVIMP	Sg	0	root	_	_
6	'	'	$	$(	_	0	root	_	_
7	n.	n.	F	FM	_|Nom|_	5	pred	_	_

1	Gehen	gehen	V	VVFIN	1|Pl|Pres|_	0	root	_	_
2	wir	wir	P	PPER	1|Pl|_|Nom	1	subj	_	_
3	nunter	nunter	V	VVFIN	_	1	s	_	_
4	,	,	$	$,	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	0	root	50	50
6	fahr	fahr	A	ADJD	_	0	root	_	_
7	in	in	P	APPR	_	6	pp	_	_
8	d	d	N	NN	Fem|_|Sg	7	pn	_	_
9	'	'	$	$(	_	0	root	_	_
10	Stadt	Stadt	N	NN	Fem|_|Sg	8	app	_	_
11	nei	nei	N	NE	Fem|_|Sg	10	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	ins	in	P	APPRART	Acc	7	kon	_	_
14	Oktoberfest	Oktoberfest	N	NN	Neut|Acc|Sg	13	pn	53	53
15	.	.	$	$.	_	0	root	_	_
16	‹	‹	F	FM	_	0	root	_	_
