1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	schien	scheinen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
3	beleidigt	beleidigen	V	VVPP	_	5	aux	_	_
4	zu	zu	P	PTKZU	_	5	part	_	_
5	sein	sein	V	VAINF	_	2	obji	_	_
6	durch	durch	P	APPR	Acc	0	root	_	_
7	den	die	A	ART	Def|Masc|Acc|Sg	8	det	_	_
8	Geruch	Geruch	N	NN	Masc|Acc|Sg	6	pn	_	_
9	von	von	P	APPR	Dat	8	pp	_	_
10	Ruß	Ruß	N	NN	Masc|Dat|Sg	9	pn	_	_
11	und	und	K	KON	_	10	kon	_	_
12	Eisenstaub	Eisenstaub	N	NN	Masc|Dat|Sg	11	cj	_	_
13	und	und	K	KON	_	0	root	_	_
14	kläffte	kläffen	V	VVFIN	_|Sg|Past|_	13	cj	_	_
15	den	die	A	ART	Def|Masc|Acc|Sg	17	det	_	_
16	ordinären	ordinär	A	ADJA	Pos|Masc|Acc|Sg|_|	17	attr	_	_
17	Schlosser	Schlosser	N	NN	Masc|Acc|Sg	14	obja	_	_
18	wütend	wütend	A	ADJD	_|_	14	adv	_	_
19	an	an	P	PTKVZ	_	14	avz	_	_
20	.	.	$	$.	_	0	root	_	_

1	Marie	Marie	N	NE	_|Nom|Sg	2	subj	969	969
2	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	2	obja	2	2
4	mit	mit	P	APPR	Dat	2	pp	_	_
5	Kommandostimme	Kommandostimme	N	NN	Fem|Dat|Sg	4	pn	_	_
6	zu	zu	P	APPR	Dat	2	pp	_	_
7	sich	sie	P	PRF	3|_|Dat	6	pn	_	_
8	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	969	969
2	gab	geben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	recht	recht	A	ADJD	Pos|	5	adv	_	_
5	herrisch	herrisch	A	ADJD	Pos|	2	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	um	um	K	KOUI	_	22	konj	_	_
8	auf	auf	P	APPR	_	22	objp	_	_
9	den	die	A	ART	Def|_|_|_	11	det	1045	1045
10	saubern	saubern	A	ADJA	_|_|_|_|_	11	attr	1045	1045
11	Gesellen	Geselle	N	NN	Masc|Acc|Sg	8	pn	1045	1045
12	,	,	$	$,	_	0	root	1045	1045
13	der	die	P	PRELS	Masc|Nom|Sg	16	subj	1045	1045
14	sie	sie	P	PPER	3|_|_|_	16	obja	969	969
15	unbekümmert	unbekümmert	A	ADJD	Pos|	16	adv	_	_
16	ansah	ansehen	V	VVFIN	3|Sg|Past|Ind	11	rel	_	_
17	,	,	$	$,	_	0	root	_	_
18	einen	eine	A	ART	Indef|Masc|Acc|Sg	20	det	_	_
19	stattlichen	stattlich	A	ADJA	Pos|Masc|Acc|Sg|_|	20	attr	_	_
20	Eindruck	Eindruck	N	NN	Masc|Acc|Sg	22	obja	_	_
21	zu	zu	P	PTKZU	_	22	part	_	_
22	machen	machen	V	VVINF	_	2	neb	_	_
23	.	.	$	$.	_	0	root	_	_
